strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,total_execution_cost
SPY_5m_strategy_20,b515bfeac94d,bollinger_bands,SPY_5m,1m,,14,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_20.parquet,0.14469915297405622,1.4484130775611452,-0.03711440705824787,3170,0.49372309899569583,4.564642049654771e-05,0.0
SPY_5m_strategy_21,7ac75d9a0237,bollinger_bands,SPY_5m,1m,,14,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_21.parquet,0.18262047508436918,2.0789979756604264,-0.02763897938150195,2905,0.5136403637430331,6.28641910789567e-05,0.0
SPY_5m_strategy_22,f1ad6d1f3a6b,bollinger_bands,SPY_5m,1m,,14,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_22.parquet,0.05059662021702094,1.036157935668225,-0.038916198738603525,1631,0.5197268588770865,3.1021839495414434e-05,0.0
SPY_5m_strategy_23,0feab640ac62,bollinger_bands,SPY_5m,1m,,14,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_23.parquet,0.00013796690543754764,0.01663428243000994,-0.01914538551093481,698,0.5334928229665071,1.976603229764293e-07,0.0
SPY_5m_strategy_24,b1b13ffa7fb6,bollinger_bands,SPY_5m,1m,,14,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_24.parquet,0.009616990266910763,0.7141853620812029,-0.013972153077336902,258,0.5190839694656488,3.7275156073297533e-05,0.0
SPY_5m_strategy_25,db8d4e8f6787,bollinger_bands,SPY_5m,1m,,15,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_25.parquet,0.12560131344884518,1.263109818489737,-0.04475539214904778,3138,0.49427877947295423,4.0025912507598844e-05,0.0
SPY_5m_strategy_26,e837394fa671,bollinger_bands,SPY_5m,1m,,15,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_26.parquet,0.19060905727344402,2.153994168250013,-0.033604304925070716,2890,0.512645637965331,6.595469109807751e-05,0.0
SPY_5m_strategy_27,de310b1d719c,bollinger_bands,SPY_5m,1m,,15,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_27.parquet,0.03720554759463446,0.7855345998662169,-0.03732611480944281,1673,0.5193965517241379,2.223882103684068e-05,0.0
SPY_5m_strategy_28,7d8028d44776,bollinger_bands,SPY_5m,1m,,15,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_28.parquet,-4.089967573372988e-05,0.009406360129882304,-0.020501015292996305,736,0.535483870967742,-5.557021159474168e-08,0.0
SPY_5m_strategy_29,cc8fd5805152,bollinger_bands,SPY_5m,1m,,15,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_29.parquet,0.0030394680408181163,0.22205393990449018,-0.017532492508110287,288,0.5231788079470199,1.0553708475062903e-05,0.0
