trade_id,position_id,symbol,strategy_id,signal_hash,entry_bar_idx,entry_time,entry_signal_strength,direction,entry_order_id,entry_order_price,entry_order_time,entry_fill_id,entry_fill_price,entry_fill_time,exit_bar_idx,exit_time,exit_reason,exit_signal_strength,pnl,duration_bars,exit_order_id,exit_order_price,exit_order_time,exit_fill_id,exit_fill_price,exit_fill_time,commission,slippage_entry,slippage_exit,duration_time,return,entry_time_to_fill,exit_time_to_fill,cum_pnl,equity,entry_hour,exit_hour,entry_day,is_win,streak
T000001,unknown,SPY_5m,SPY_5m_strategy_0,d63509043abb,27,2024-03-26 15:45:00+00:00,0,unknown,,,,,,,28,2024-03-26 15:50:00+00:00,Strategy reversal signal (short),0,0,1,,,,,,,0,0,0,0:05:00,,,,0,100000,15,15,1,False,1
T000001,unknown,SPY_5m,SPY_5m_strategy_0,d63509043abb,27,2024-03-26 15:45:00+00:00,0,unknown,,,,,,,28,2024-03-26 15:50:00+00:00,Strategy reversal signal (short),0,0,1,,,,,,,0,0,0,0:05:00,,,,0,100000,15,15,1,False,1
T000001,unknown,SPY_5m,SPY_5m_strategy_0,d63509043abb,27,2024-03-26 15:45:00+00:00,0,unknown,,,,,,,28,2024-03-26 15:50:00+00:00,Strategy reversal signal (short),0,0,1,,,,,,,0,0,0,0:05:00,,,,0,100000,15,15,1,False,1
T000001,unknown,SPY_5m,SPY_5m_strategy_0,d63509043abb,27,2024-03-26 15:45:00+00:00,0,unknown,,,,,,,28,2024-03-26 15:50:00+00:00,Strategy reversal signal (short),0,0,1,,,,,,,0,0,0,0:05:00,,,,0,100000,15,15,1,False,1
T000001,unknown,SPY_5m,SPY_5m_strategy_0,d63509043abb,27,2024-03-26 15:45:00+00:00,0,unknown,,,,,,,28,2024-03-26 15:50:00+00:00,Strategy reversal signal (short),0,0,1,,,,,,,0,0,0,0:05:00,,,,0,100000,15,15,1,False,1
T000001,unknown,SPY_5m,SPY_5m_strategy_0,d63509043abb,27,2024-03-26 15:45:00+00:00,0,unknown,,,,,,,28,2024-03-26 15:50:00+00:00,Strategy reversal signal (short),0,0,1,,,,,,,0,0,0,0:05:00,,,,0,100000,15,15,1,False,1
T000001,unknown,SPY_5m,SPY_5m_strategy_0,d63509043abb,27,2024-03-26 15:45:00+00:00,0,unknown,,,,,,,28,2024-03-26 15:50:00+00:00,Strategy reversal signal (short),0,0,1,,,,,,,0,0,0,0:05:00,,,,0,100000,15,15,1,False,1
T000002,unknown,SPY_5m,SPY_5m_strategy_0,d63509043abb,28,2024-03-26 15:50:00+00:00,0,unknown,,,,,,,29,2024-03-26 15:55:00+00:00,Strategy exit signal (FLAT),0,0,1,,,,,,,0,0,0,0:05:00,,,,0,100000,15,15,1,False,1
T000002,unknown,SPY_5m,SPY_5m_strategy_0,d63509043abb,28,2024-03-26 15:50:00+00:00,0,unknown,,,,,,,29,2024-03-26 15:55:00+00:00,Strategy exit signal (FLAT),0,0,1,,,,,,,0,0,0,0:05:00,,,,0,100000,15,15,1,False,1
T000002,unknown,SPY_5m,SPY_5m_strategy_0,d63509043abb,28,2024-03-26 15:50:00+00:00,0,unknown,,,,,,,29,2024-03-26 15:55:00+00:00,Strategy exit signal (FLAT),0,0,1,,,,,,,0,0,0,0:05:00,,,,0,100000,15,15,1,False,1
