num,entry_time,entry_price,exit_time,exit_price,dir,exit_type,return,bars,stop,target
52,2024-04-10 16:50:00+00:00,513.95,2024-04-10 16:55:00+00:00,514.3354625,SHORT,stop,-0.0008499999999998117,1,514.3354625000001,513.43605
53,2024-04-10 17:05:00+00:00,512.16,2024-04-10 17:10:00+00:00,512.67216,LONG,target,0.0008999999999999891,1,511.77588,512.67216
54,2024-04-11 15:35:00+00:00,514.14,2024-04-11 15:40:00+00:00,514.525605,SHORT,stop,-0.0008500000000001071,1,514.525605,513.62586
55,2024-04-11 15:55:00+00:00,515.34,2024-04-11 16:00:00+00:00,515.12,SHORT,signal,0.0003269026273916779,1,515.7265050000001,514.82466
56,2024-04-11 17:00:00+00:00,516.16,2024-04-11 17:05:00+00:00,516.54712,SHORT,stop,-0.0008499999999999646,1,516.54712,515.64384
57,2024-04-11 18:05:00+00:00,519.02,2024-04-11 18:10:00+00:00,518.71,SHORT,signal,0.000497279488266243,1,519.409265,518.50098
58,2024-04-12 13:30:00+00:00,514.98,2024-04-12 13:35:00+00:00,515.15,LONG,signal,0.00023010990718078193,1,514.593765,515.4949799999999
59,2024-04-12 16:10:00+00:00,512.64,2024-04-12 16:15:00+00:00,512.25552,LONG,stop,-0.0008499999999998821,1,512.2555199999999,513.1526399999999
60,2024-04-12 17:20:00+00:00,509.815,2024-04-12 17:25:00+00:00,509.7,LONG,signal,-0.0003255720212234028,1,509.43263874999997,510.32481499999994
61,2024-04-12 18:35:00+00:00,509.83,2024-04-12 18:40:00+00:00,510.33983,LONG,target,0.0009000000000000436,1,509.44762749999995,510.33982999999995
62,2024-04-12 19:40:00+00:00,510.49,2024-04-12 19:50:00+00:00,510.8728675,SHORT,stop,-0.0008499999999999507,2,510.87286750000004,509.97951
63,2024-04-15 13:30:00+00:00,514.4,2024-04-15 13:35:00+00:00,514.7,SHORT,signal,-0.0006832037325040207,1,514.7858,513.8856
64,2024-04-15 16:20:00+00:00,510.7,2024-04-15 16:25:00+00:00,510.6,LONG,signal,-0.0002958096729977793,1,510.31697499999996,511.2106999999999
65,2024-04-15 17:15:00+00:00,508.64,2024-04-15 17:20:00+00:00,508.25852,LONG,stop,-0.0008500000000000207,1,508.25852,509.14863999999994
66,2024-04-16 15:20:00+00:00,504.1293,2024-04-16 15:25:00+00:00,504.1821,SHORT,signal,-0.000204735035237965,1,504.507396975,503.6251707
67,2024-04-16 15:50:00+00:00,505.3,2024-04-16 15:55:00+00:00,504.7947,SHORT,target,0.000900000000000067,1,505.67897500000004,504.79470000000003
68,2024-04-16 17:00:00+00:00,503.93,2024-04-16 17:05:00+00:00,504.43393,LONG,target,0.0008999999999999373,1,503.5520525,504.43393
69,2024-04-16 17:30:00+00:00,503.4701,2024-04-16 17:35:00+00:00,503.9735701,LONG,target,0.0009000000000000308,1,503.092497425,503.97357009999996
70,2024-04-16 18:05:00+00:00,506.295,2024-04-16 18:10:00+00:00,505.788705,SHORT,target,0.0009000000000000451,1,506.67472125,505.788705
71,2024-04-16 19:30:00+00:00,503.855,2024-04-16 19:35:00+00:00,504.358855,LONG,target,0.0008999999999999746,1,503.47710875,504.35885499999995
72,2024-04-17 14:50:00+00:00,502.47,2024-04-17 14:55:00+00:00,502.97247,LONG,target,0.00089999999999992,1,502.0931475,502.97247
73,2024-04-17 18:40:00+00:00,503.87,2024-04-17 18:45:00+00:00,503.36613,SHORT,target,0.0009000000000000123,1,504.2479025,503.36613
74,2024-04-17 19:45:00+00:00,501.63,2024-04-17 19:50:00+00:00,501.12837,SHORT,target,0.0008999999999999549,1,502.00622250000004,501.12837
75,2024-04-18 16:30:00+00:00,501.65,2024-04-18 16:35:00+00:00,502.15165,LONG,target,0.0009000000000000809,1,501.2737625,502.1516499999999
76,2024-04-18 16:45:00+00:00,501.29,2024-04-18 16:50:00+00:00,500.9140325,LONG,stop,-0.0008500000000000031,1,500.9140325,501.79128999999995
77,2024-04-19 14:10:00+00:00,498.85,2024-04-19 14:15:00+00:00,498.4758625,LONG,stop,-0.0008500000000000352,1,498.4758625,499.34884999999997
78,2024-04-19 15:55:00+00:00,497.11,2024-04-19 16:00:00+00:00,497.60711,LONG,target,0.0008999999999999269,1,496.7371675,497.60711
79,2024-04-19 16:10:00+00:00,495.81,2024-04-19 16:15:00+00:00,495.54,LONG,signal,-0.0006445634416409145,1,495.43814249999997,496.30580999999995
80,2024-04-19 16:55:00+00:00,497.1,2024-04-19 17:00:00+00:00,497.472825,SHORT,stop,-0.0008499999999999548,1,497.47282500000006,496.60290000000003
81,2024-04-19 17:50:00+00:00,498.27,2024-04-19 17:55:00+00:00,497.77173,SHORT,target,0.0008999999999999818,1,498.6437025,497.77173
82,2024-04-22 13:30:00+00:00,497.22,2024-04-22 13:35:00+00:00,497.24,SHORT,signal,-0.0001402236434575878,1,497.59291500000006,496.72278
83,2024-04-22 14:20:00+00:00,496.755,2024-04-22 14:25:00+00:00,496.3824338,LONG,stop,-0.000849999899346749,1,496.38243374999996,497.25175499999995
84,2024-04-22 15:35:00+00:00,496.895,2024-04-22 15:40:00+00:00,496.54,SHORT,signal,0.0006144366516063984,1,497.26767125,496.398105
85,2024-04-22 16:55:00+00:00,498.41,2024-04-22 17:00:00+00:00,498.56,SHORT,signal,-0.00040095704339796,1,498.7838075,497.91159000000005
86,2024-04-22 17:25:00+00:00,500.04,2024-04-22 17:30:00+00:00,500.18,SHORT,signal,-0.00037997760179182935,1,500.41503000000006,499.53996
