2025-06-12 20:00:34,049 - __main__ - INFO - Configuration loaded successfully from config/expansive_grid_search.yaml
2025-06-12 20:00:34,049 - __main__ - INFO - Limiting data to 50 bars
2025-06-12 20:00:34,149 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,149 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,150 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,150 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,150 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,150 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,150 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,151 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,151 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,151 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,151 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,151 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,151 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,152 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,152 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,152 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,152 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,152 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,152 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,153 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,153 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,153 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,153 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,153 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,154 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,154 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,154 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,154 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,154 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,154 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,155 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,155 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,155 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,155 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,155 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,155 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,155 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,156 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,156 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,156 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,156 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,156 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,156 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,157 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,157 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,157 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,157 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,157 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,157 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,158 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,158 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,158 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,158 - src.core.coordinator.topology - WARNING - Strategy 'simple_momentum' not found in registry, using hardcoded inference
2025-06-12 20:00:34,158 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,158 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,159 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,159 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,159 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,159 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,159 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,159 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,160 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,160 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
