filter,trades,avg_return_bps,net_2bp,win_rate,trades_per_day
High Vol + Longs,4145,0.6071954735796558,-1.3928045264203441,65.57297949336551,19.765366133982173
High Vol + Shorts,3324,0.2122582380501368,-1.7877417619498632,65.97472924187726,15.850440779096921
Trend Following,13688,0.17249654571543357,-1.8275034542845665,68.92168322618352,65.2710088400357
Extreme RSI Longs,7434,0.1477101467800354,-1.8522898532199645,65.84611245628194,35.448909973467664
Closing Hour,4507,0.034106700347193195,-1.965893299652807,67.51719547370757,21.491557337963243
Counter Trend,17470,-0.08287088648263265,-2.082870886482633,66.20492272467087,83.3054152860479
Low Vol + Mean Rev,9050,-0.0937831276244332,-2.093783127624433,67.29281767955801,43.15478009952682
Extreme RSI Shorts,8265,-0.28677494340177623,-2.286774943401776,64.670296430732,39.41152016824189
High Volume + Shorts,2437,-0.872999828831622,-2.872999828831622,64.54657365613458,11.620795480944404
