entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,bars_held,pnl_decimal,date
2024-03-26 14:31:00+00:00,2024-03-26 14:32:00+00:00,long,520.7824,520.9,0.02258140828106381,1,0.00022581408281063808,2024-03-26
2024-03-26 17:45:00+00:00,2024-03-26 17:46:00+00:00,long,520.56,520.63,0.013447057015536501,1,0.000134470570155365,2024-03-26
2024-03-26 19:29:00+00:00,2024-03-26 19:40:00+00:00,long,520.21,519.88,-0.06343592010918941,11,-0.0006343592010918941,2024-03-26
2024-03-26 19:43:00+00:00,2024-03-26 19:50:00+00:00,long,519.5487,519.22,-0.06326644643707136,7,-0.0006326644643707136,2024-03-26
2024-03-26 19:51:00+00:00,2024-03-26 19:53:00+00:00,long,519.09,519.12,0.00577934462231422,2,5.77934462231422e-05,2024-03-26
2024-03-26 19:55:00+00:00,2024-03-26 20:00:00+00:00,long,518.865,519.13,0.0510730151388028,5,0.000510730151388028,2024-03-26
2024-03-27 13:30:00+00:00,2024-03-27 13:40:00+00:00,short,521.52,521.36,0.030679552078538563,10,0.00030679552078538563,2024-03-27
2024-03-27 13:41:00+00:00,2024-03-27 13:42:00+00:00,short,521.4588,521.4299,0.005542144460890519,1,5.542144460890519e-05,2024-03-27
2024-03-27 13:46:00+00:00,2024-03-27 13:51:00+00:00,short,521.56,521.535,0.0047933123705767855,5,4.7933123705767855e-05,2024-03-27
2024-03-27 14:02:00+00:00,2024-03-27 14:04:00+00:00,long,520.055,520.08,0.004807183855581876,2,4.807183855581876e-05,2024-03-27
2024-03-27 14:12:00+00:00,2024-03-27 14:13:00+00:00,long,519.79,520.07,0.05386790819370546,1,0.0005386790819370546,2024-03-27
2024-03-27 16:30:00+00:00,2024-03-27 16:35:00+00:00,short,520.17,520.255,-0.01634081165773349,5,-0.0001634081165773349,2024-03-27
2024-03-27 16:36:00+00:00,2024-03-27 16:38:00+00:00,short,520.27,520.205,0.012493512983635657,2,0.00012493512983635657,2024-03-27
2024-03-27 17:10:00+00:00,2024-03-27 17:11:00+00:00,long,519.7575,519.845,0.01683477390899135,1,0.00016834773908991352,2024-03-27
2024-03-27 18:17:00+00:00,2024-03-27 18:24:00+00:00,short,520.57,520.7003,-0.025030255297053827,7,-0.00025030255297053827,2024-03-27
2024-03-27 18:25:00+00:00,2024-03-27 18:32:00+00:00,short,520.8178,520.84,-0.004262527125598048,7,-4.262527125598048e-05,2024-03-27
2024-03-27 18:55:00+00:00,2024-03-27 18:56:00+00:00,long,520.1599,520.21,0.009631653651132055,1,9.631653651132055e-05,2024-03-27
2024-03-27 19:28:00+00:00,2024-03-27 19:30:00+00:00,short,520.89,520.79,0.019197911267254675,2,0.00019197911267254675,2024-03-27
2024-03-27 19:32:00+00:00,2024-03-27 19:34:00+00:00,short,521.11,521.05,0.01151388382492069,2,0.0001151388382492069,2024-03-27
2024-03-27 19:35:00+00:00,2024-03-27 19:49:00+00:00,short,521.225,522.1501,-0.17748573073048668,14,-0.0017748573073048668,2024-03-27
2024-03-27 19:50:00+00:00,2024-03-27 19:55:00+00:00,short,522.65,522.67,-0.0038266526356078856,5,-3.8266526356078856e-05,2024-03-27
2024-03-27 19:56:00+00:00,2024-03-28 13:31:00+00:00,short,522.76,522.94,-0.03443262682685244,6,-0.0003443262682685244,2024-03-28
2024-03-28 13:45:00+00:00,2024-03-28 13:48:00+00:00,short,523.478,523.39,0.016810639606623656,3,0.00016810639606623656,2024-03-28
2024-03-28 18:43:00+00:00,2024-03-28 18:44:00+00:00,long,523.06,523.14,0.015294612472760427,1,0.00015294612472760427,2024-03-28
2024-03-28 18:56:00+00:00,2024-03-28 19:03:00+00:00,short,523.8339,524.11,-0.05270754718242898,7,-0.0005270754718242898,2024-03-28
2024-03-28 20:00:00+00:00,2024-04-01 13:30:00+00:00,long,523.01,523.59,0.1108965411751317,1,0.001108965411751317,2024-04-01
2024-04-01 14:04:00+00:00,2024-04-01 14:05:00+00:00,long,523.22,523.4599,0.04585069378080231,1,0.0004585069378080231,2024-04-01
2024-04-01 14:19:00+00:00,2024-04-01 14:20:00+00:00,long,522.9601,523.045,0.016234508139323367,1,0.00016234508139323367,2024-04-01
2024-04-01 14:35:00+00:00,2024-04-01 14:36:00+00:00,long,522.72,522.86,0.026782981328432598,1,0.000267829813284326,2024-04-01
2024-04-01 14:38:00+00:00,2024-04-01 14:42:00+00:00,long,522.42,522.53,0.02105585544198707,4,0.0002105585544198707,2024-04-01
2024-04-01 15:15:00+00:00,2024-04-01 15:22:00+00:00,long,521.7393,521.59,-0.02861582403317353,7,-0.0002861582403317353,2024-04-01
2024-04-01 15:59:00+00:00,2024-04-01 16:01:00+00:00,long,521.1088,521.13,0.004068248319732959,2,4.068248319732959e-05,2024-04-01
2024-04-01 16:30:00+00:00,2024-04-01 16:32:00+00:00,short,522.11,522.04,0.013407136427201483,2,0.00013407136427201483,2024-04-01
2024-04-01 17:20:00+00:00,2024-04-01 17:26:00+00:00,long,521.3499,521.31,-0.007653209485625201,6,-7.653209485625201e-05,2024-04-01
2024-04-02 13:30:00+00:00,2024-04-02 13:58:00+00:00,long,518.42,517.33,-0.21025423401873633,28,-0.0021025423401873633,2024-04-02
2024-04-02 14:12:00+00:00,2024-04-02 14:16:00+00:00,long,516.609,516.7617,0.02955813777925087,4,0.0002955813777925087,2024-04-02
2024-04-02 15:18:00+00:00,2024-04-02 15:20:00+00:00,short,517.7501,517.755,-0.000946402521218026,2,-9.46402521218026e-06,2024-04-02
2024-04-02 16:49:00+00:00,2024-04-02 16:50:00+00:00,short,517.9,517.835,0.012550685460499533,1,0.00012550685460499533,2024-04-02
2024-04-02 19:05:00+00:00,2024-04-02 19:07:00+00:00,short,518.5,518.39,0.02121504339440694,2,0.0002121504339440694,2024-04-02
2024-04-02 19:36:00+00:00,2024-04-02 19:37:00+00:00,short,518.8,518.685,0.02216653816500269,1,0.00022166538165002692,2024-04-02
2024-04-03 14:00:00+00:00,2024-04-03 14:08:00+00:00,short,519.38,519.88,-0.09626862797951219,8,-0.0009626862797951219,2024-04-03
2024-04-03 14:15:00+00:00,2024-04-03 14:16:00+00:00,short,520.39,520.12,0.051884163800219874,1,0.0005188416380021987,2024-04-03
2024-04-03 14:26:00+00:00,2024-04-03 14:27:00+00:00,short,520.6,520.52,0.01536688436419853,1,0.0001536688436419853,2024-04-03
2024-04-03 15:55:00+00:00,2024-04-03 15:56:00+00:00,long,520.13,520.22,0.01730336646608155,1,0.0001730336646608155,2024-04-03
2024-04-03 16:00:00+00:00,2024-04-03 16:06:00+00:00,long,520.01,519.975,-0.006730639795382576,6,-6.730639795382576e-05,2024-04-03
2024-04-03 16:08:00+00:00,2024-04-03 16:09:00+00:00,long,519.9002,520.08,0.03458356046026623,1,0.00034583560460266227,2024-04-03
2024-04-03 16:38:00+00:00,2024-04-03 16:40:00+00:00,long,519.47,520.125,0.1260900533235798,2,0.001260900533235798,2024-04-03
2024-04-03 18:32:00+00:00,2024-04-03 18:33:00+00:00,long,519.9988,520.12,0.023307746094802795,1,0.00023307746094802795,2024-04-03
2024-04-03 19:12:00+00:00,2024-04-03 19:28:00+00:00,long,519.4399,518.52,-0.17709459746930722,16,-0.0017709459746930722,2024-04-03
2024-04-03 19:49:00+00:00,2024-04-03 19:50:00+00:00,short,519.75,519.64,0.02116402116402183,1,0.0002116402116402183,2024-04-03
2024-04-04 13:30:00+00:00,2024-04-04 13:48:00+00:00,short,523.32,522.99,0.06305893143775387,18,0.0006305893143775387,2024-04-04
2024-04-04 13:49:00+00:00,2024-04-04 13:50:00+00:00,short,523.16,523.0501,0.021006957718461283,1,0.00021006957718461283,2024-04-04
2024-04-04 15:41:00+00:00,2024-04-04 15:48:00+00:00,short,523.0,523.0,-0.0,7,-0.0,2024-04-04
2024-04-04 15:50:00+00:00,2024-04-04 15:55:00+00:00,short,523.1201,523.1902,-0.013400364466975567,5,-0.00013400364466975567,2024-04-04
2024-04-04 15:56:00+00:00,2024-04-04 15:59:00+00:00,short,523.24,523.26,-0.003822337741765658,3,-3.822337741765658e-05,2024-04-04
2024-04-04 16:04:00+00:00,2024-04-04 16:12:00+00:00,short,523.43,523.56,-0.02483617675714811,8,-0.0002483617675714811,2024-04-04
2024-04-04 17:32:00+00:00,2024-04-04 17:33:00+00:00,long,523.0,523.04,0.00764818355640795,1,7.64818355640795e-05,2024-04-04
2024-04-04 17:34:00+00:00,2024-04-04 17:35:00+00:00,long,523.0,523.0212,0.004053537284898212,1,4.053537284898212e-05,2024-04-04
2024-04-04 17:40:00+00:00,2024-04-04 17:45:00+00:00,long,522.91,522.665,-0.04685318697290608,5,-0.0004685318697290608,2024-04-04
2024-04-04 17:46:00+00:00,2024-04-04 17:51:00+00:00,long,522.56,522.51,-0.009568279240657063,5,-9.568279240657063e-05,2024-04-04
2024-04-04 17:52:00+00:00,2024-04-04 18:24:00+00:00,long,522.41,519.57,-0.5436343102161012,32,-0.005436343102161012,2024-04-04
2024-04-04 18:26:00+00:00,2024-04-04 18:35:00+00:00,long,519.3,517.16,-0.412093202387831,9,-0.00412093202387831,2024-04-04
2024-04-04 18:44:00+00:00,2024-04-04 18:45:00+00:00,long,516.2,516.86,0.12785741960479324,1,0.0012785741960479324,2024-04-04
2024-04-04 18:55:00+00:00,2024-04-04 18:56:00+00:00,long,515.655,515.99,0.06496591713451849,1,0.0006496591713451849,2024-04-04
2024-04-04 19:00:00+00:00,2024-04-04 19:01:00+00:00,long,514.97,515.05,0.015534885527301867,1,0.00015534885527301867,2024-04-04
2024-04-04 19:28:00+00:00,2024-04-04 19:31:00+00:00,long,513.92,513.83,-0.017512453300105868,3,-0.00017512453300105868,2024-04-04
2024-04-04 19:36:00+00:00,2024-04-04 19:37:00+00:00,long,513.58,513.66,0.015576930565819325,1,0.00015576930565819325,2024-04-04
2024-04-04 19:38:00+00:00,2024-04-04 19:44:00+00:00,long,513.3699,513.3482,-0.004226971624166076,6,-4.226971624166076e-05,2024-04-04
2024-04-05 13:52:00+00:00,2024-04-05 13:53:00+00:00,short,516.03,515.97,0.011627230974931013,1,0.00011627230974931013,2024-04-05
2024-04-05 13:54:00+00:00,2024-04-05 13:55:00+00:00,short,516.24,516.18,0.01162250116225616,1,0.0001162250116225616,2024-04-05
