strategy,filter,total_trades,trades_per_day,avg_bps,net_bps,win_rate,annual_return,avg_duration_min,long_trades,long_bps,short_trades,short_bps,best_trade_bps,worst_trade_bps,std_bps
keltner_rsi70,RSI < 70,972,3.1661237785016287,0.6106743817147953,-0.38932561828520473,64.09465020576131,-3.106285806034241,455.01851851851853,486,2.089372352682992,486,-0.8680235892534022,378.3712520717197,-214.36282627116745,38.87879115555751
keltner_directional,(Long: RSI<40) or (Short: RSI>60),1042,3.3941368078175898,0.10460567715277354,-0.8953943228472264,63.91554702495201,-7.658508888290426,424.4510556621881,521,1.4845542716741778,521,-1.2753429173686308,378.3712520717197,-214.36282627116745,37.70870173399383
keltner_baseline,No filter,3698,12.045602605863191,0.04644102937768145,-0.9535589706223185,65.71119524067063,-28.945204901858506,20.482422931314225,1731,0.2736270933762047,1967,-0.15348732689148156,142.5560239627232,-179.30394672955552,9.706771212190109
