strategy_id,num_signals,num_trades,total_return,log_return,first_bar_idx,last_bar_idx,avg_trade_duration,win_rate,avg_win,avg_loss,return_quintile
SPY_5m_compiled_strategy_1087,292,155,0.0198729134044191,0.0196780248320652,34,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_1187,292,155,0.0198729134044191,0.0196780248320652,34,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_1287,292,155,0.0198729134044191,0.0196780248320652,40,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_1387,292,155,0.0198729134044191,0.0196780248320652,40,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_1487,292,155,0.0198729134044191,0.0196780248320652,40,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_187,292,155,0.0198729134044191,0.0196780248320652,16,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_287,292,155,0.0198729134044191,0.0196780248320652,16,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_387,292,155,0.0198729134044191,0.0196780248320652,22,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_487,292,155,0.0198729134044191,0.0196780248320652,22,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_587,292,155,0.0198729134044191,0.0196780248320652,22,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_687,292,155,0.0198729134044191,0.0196780248320652,28,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_787,292,155,0.0198729134044191,0.0196780248320652,28,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_87,292,155,0.0198729134044191,0.0196780248320652,16,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_887,292,155,0.0198729134044191,0.0196780248320652,28,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_987,292,155,0.0198729134044191,0.0196780248320652,34,16522,1.6193548387096774,0.535483870967742,0.0012252943629317,-0.0011391862123787,Q5 (Best)
SPY_5m_compiled_strategy_1088,196,103,0.0167284478776059,0.0165900685090884,34,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1089,196,103,0.0167284478776059,0.0165900685090884,34,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1090,196,103,0.0167284478776059,0.0165900685090884,34,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1091,196,103,0.0167284478776059,0.0165900685090884,34,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1188,196,103,0.0167284478776059,0.0165900685090884,34,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1189,196,103,0.0167284478776059,0.0165900685090884,34,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1190,196,103,0.0167284478776059,0.0165900685090884,34,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1191,196,103,0.0167284478776059,0.0165900685090884,34,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1288,196,103,0.0167284478776059,0.0165900685090884,40,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1289,196,103,0.0167284478776059,0.0165900685090884,40,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1290,196,103,0.0167284478776059,0.0165900685090884,40,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1291,196,103,0.0167284478776059,0.0165900685090884,40,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1388,196,103,0.0167284478776059,0.0165900685090884,40,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1389,196,103,0.0167284478776059,0.0165900685090884,40,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
SPY_5m_compiled_strategy_1390,196,103,0.0167284478776059,0.0165900685090884,40,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969,-0.0010633851648242,Q5 (Best)
