stop_loss_bps,stop_loss_pct,num_trades,total_return,avg_return_per_trade_bps,win_rate,stopped_trades,stop_rate,stopped_winners,stopped_losers,pct_stopped_were_winners,avg_win_bps,avg_loss_bps,avg_max_profit_when_stopped
None,,1173,0.0505079219445721,0.4200663460579005,0.7698209718670077,0,0.0,0,0,0.0,9.081796473340393,-29.64663227500176,0
1.0,0.0001,1168,1.2127546254272183,6.799984385419886,0.7696917808219178,228,0.1952054794520548,0,228,0.0,9.104620237821877,-0.9369568788858768,0
2.0,0.0002,1168,1.1647564123895262,6.612224687724146,0.7696917808219178,207,0.17722602739726026,0,207,0.0,9.104620237821877,-1.7836878708110642,0
2.9999999999999996,0.0003,1168,1.1225016558544336,6.443453932761029,0.7696917808219178,192,0.1643835616438356,0,192,0.0,9.104620237821877,-2.5447853294864333,0
5.0,0.0005,1168,1.0460473061577895,6.129364628008414,0.7696917808219178,172,0.14726027397260275,0,172,0.0,9.104620237821877,-3.961218950919081,0
10.0,0.001,1168,0.8926034146462491,5.4619293604411325,0.7696917808219178,140,0.11986301369863013,0,140,0.0,9.104620237821877,-6.97112008033446,0
20.0,0.002,1169,0.6828296214798062,4.45232399550926,0.7698887938408896,104,0.08896492728828058,0,104,0.0,9.095869129874318,-11.51164272639599,0
30.0,0.003,1169,0.5384404914398258,3.684937856584797,0.7698887938408896,78,0.06672369546621043,0,78,0.0,9.095869129874318,-14.975250434514514,0
50.0,0.005,1171,0.371647294201797,2.6986543301239743,0.7702818104184458,44,0.037574722459436376,0,44,0.0,9.090150588961855,-19.456338265129034,0
75.0,0.0075,1171,0.2544175377092841,1.9357075275041968,0.7702818104184458,28,0.02391118701964133,0,28,0.0,9.090150588961855,-22.905800449946643,0
100.0,0.01,1171,0.18234677794582654,1.430412111977743,0.7702818104184458,19,0.016225448334756618,0,19,0.0,9.090150588961855,-25.190360031342305,0
200.0,0.02,1173,0.07935968738370658,0.6510484506388939,0.7698209718670077,4,0.0034100596760443308,0,4,0.0,9.081796473340393,-28.60454762625751,0
500.0,0.05,1173,0.0505079219445721,0.4200663460579005,0.7698209718670077,0,0.0,0,0,0.0,9.081796473340393,-29.64663227500176,0
