entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,win,volume_ratio,returns_5m,returns_10m,returns_30m,volatility_20,high_low_range,price_position,hour,minutes_from_open,minutes_to_close,day_of_week,price_vs_sma20,trend_strength,prev_win,prev_pnl,win_streak,loss_streak,price_range_5m,price_range_30m,trend_aligned,volume_increasing
2024-03-26 14:58:00+00:00,2024-03-26 15:04:00+00:00,short,521.28,521.2,0.0153468385512445,1,0.7513319962101169,0.0002878360485867,0.0006144426855119,0.0001726817475391,0.0001455297917677,0.0001438766114179,0.6666666666666666,14.0,328.0,62.0,1.0,0.0003450296090365,-0.0001132571325658,,,0,0,0.0002878360485867,0.0001726817475391,True,False
2024-03-26 15:51:00+00:00,2024-03-26 16:02:00+00:00,short,521.3601,521.3099,0.0096286616486418,1,2.0499861425001633,0.0004223433242507,0.0002496019031905,0.0001440670650412,0.0001331296746518,0.0002205769102775,0.7834782608695617,15.0,381.0,9.0,1.0,0.0003018978698787,-6.11893326107573e-05,1.0,0.0153468385512445,1,0,0.0004223433242507,0.0001440670650412,True,True
2024-03-27 13:54:00+00:00,2024-03-27 14:15:00+00:00,long,521.03,520.345,-0.1314703567932618,0,2.234779488222258,-0.0012268292215384,-0.0007862841362382,0.0041725689726614,0.0001876191865973,0.0008348847475192,0.3563218390804417,13.0,264.0,126.0,2.0,-0.0008224330408113,0.002138162686586,1.0,0.0096286616486418,2,0,0.0012268292215384,0.0041725689726614,False,True
2024-03-27 15:09:00+00:00,2024-03-27 15:15:00+00:00,short,520.016,519.89,0.0242300236915737,1,0.8039259634000824,0.0003193228816003,0.0003289442045224,-0.0004593901067746,0.0001220991225802,0.0002884526629951,0.5733333333330706,15.0,339.0,51.0,2.0,0.0003288191261371,-0.0002174732749929,0.0,-0.1314703567932618,0,1,0.0003193228816003,0.0004593901067746,False,False
2024-03-27 15:17:00+00:00,2024-03-27 15:25:00+00:00,short,520.13,519.91,0.0422971180281894,1,1.2592742616425534,0.0006252344629236,0.0003942876376401,0.0004520143490511,0.000163685819628,0.0003076154038412,0.8750000000000888,15.0,347.0,43.0,2.0,0.0004424312537961,-0.0001158973227802,1.0,0.0242300236915737,1,0,0.0006252344629236,0.0004520143490511,True,True
2024-03-27 16:18:00+00:00,2024-03-27 16:44:00+00:00,short,519.815,520.22,-0.0779123341958065,0,0.3562546328523093,0.0003849003589195,0.0002622774418117,-0.000317319896919,0.0001376217430074,0.000247780460356,0.8928571428575212,16.0,408.0,-18.0,2.0,0.0003015828016827,-0.0001917700330179,1.0,0.0422971180281894,2,0,0.0003849003589195,0.000317319896919,False,False
2024-03-27 17:00:00+00:00,2024-03-27 17:03:00+00:00,long,520.17,520.34,0.0326816233154669,1,1.130729317252169,-0.0002690703618996,-0.0004419677171406,0.0,0.0001547796538431,0.0003850664205932,0.0014977533695693,17.0,450.0,-60.0,2.0,-0.0003044231297006,0.0004015846142199,0.0,-0.0779123341958065,0,1,0.0002690703618996,0.0,False,True
2024-03-27 17:05:00+00:00,2024-03-27 17:16:00+00:00,long,520.18,520.105,-0.0144180860471299,0,1.1134971299509078,1.92244843031375e-05,-0.0002498510503353,-0.0001441600753477,0.0001878691411892,0.0002403014341189,0.2399999999997817,17.0,455.0,-65.0,2.0,-0.0003097102707549,0.000293791674618,1.0,0.0326816233154669,1,0,1.92244843031375e-05,0.0001441600753477,True,True
2024-03-27 17:51:00+00:00,2024-03-27 17:55:00+00:00,long,520.16,520.2399,0.0153606582590004,1,1.4149558730115823,-0.0002465940517979,-0.0001826027621071,-0.000317109498871,0.000105007303151,0.0001922485389111,0.2999999999996589,17.0,501.0,-111.0,2.0,-0.0002498414393865,0.0001092971529896,0.0,-0.0144180860471299,0,1,0.0002465940517979,0.000317109498871,True,True
2024-03-28 14:28:00+00:00,2024-03-28 14:32:00+00:00,short,523.2899,523.11,0.0343786493872677,1,0.540034387015853,0.00047778372591,0.0004037633342743,9.53673266570476e-05,0.000123840079845,0.0002770930606535,0.7579310344825266,14.0,298.0,92.0,3.0,0.0003164161486453,-0.0002888287269977,1.0,0.0153606582590004,1,0,0.00047778372591,9.53673266570476e-05,True,False
