strategy_idx,period,multiplier,total_trades,trades_per_day,avg_return_bps,net_return_1bp,net_return_2bp,net_return_4bp,win_rate,avg_bars_held,profitable_1bp,profitable_2bp,profitable_4bp
0,10,1.5,3624,17.28098597576632,-0.05912292129327224,-1.0591229212932722,-2.0591229212932722,-4.059122921293272,61.120309050772626,2.211644591611479,False,False,False
1,10,2.0,6177,29.45492559942289,0.06422504190293864,-0.9357749580970613,-1.9357749580970613,-3.9357749580970616,68.88457179860774,3.7286708758296907,False,False,False
2,10,2.5,6434,30.680425984569673,0.03215517733029634,-0.9678448226697036,-1.9678448226697036,-3.967844822669704,71.852657755673,5.099626981659932,False,False,False
3,20,1.5,1139,5.4313032633548115,0.10399701738060714,-0.8960029826193928,-1.896002982619393,-3.8960029826193927,58.82352941176471,1.9139596136962247,False,False,False
4,20,2.0,3698,17.63385379094477,0.05132083009089682,-0.9486791699091032,-1.9486791699091033,-3.948679169909103,65.71119524067063,3.3193618171984856,False,False,False
5,20,2.5,4657,22.206829936297943,0.03885010543817834,-0.9611498945618216,-1.9611498945618218,-3.9611498945618218,69.93772815117029,4.489156109083101,False,False,False
6,30,1.5,272,1.2970276449802536,-0.14014936262359814,-1.1401493626235981,-2.1401493626235983,-4.140149362623598,55.88235294117647,1.8419117647058822,False,False,False
7,30,2.0,2080,9.918446696907822,0.02854301683182224,-0.9714569831681777,-1.9714569831681779,-3.971456983168178,63.99038461538461,3.0245192307692306,False,False,False
8,30,2.5,3077,14.672625233839119,0.004427845633957471,-0.9955721543660425,-1.9955721543660425,-3.9955721543660427,67.1758206044849,4.18329541761456,False,False,False
