signal_count,strategy_count,avg_trades,avg_return_bps,avg_total_return,avg_win_rate,avg_sharpe,avg_long_bps,avg_short_bps,long_win_rate,short_win_rate,filter_reduction,return_improvement
47,11,23.0,4.089710912873914,0.009450713707157554,0.6086956521739131,0.24295084527644853,7.103331517393583,1.7715412170895521,0.5,0.6923076923076923,98.64981327204826,1647.6364685887922
161,11,80.0,0.050542089776474786,0.00040441847332117753,0.55,0.0031197705391078304,1.8531378218668404,-1.4243089637520068,0.5277777777777778,0.5681818181818182,95.37489227233553,-78.40209218358038
303,11,151.0,0.7648769149913764,0.011616596043821703,0.5960264900662252,0.04537275791352624,2.5111051485046736,-0.8694136112454272,0.6301369863013698,0.5641025641025641,91.29560471128985,226.85116848058016
529,11,264.0,-0.013480695748563762,-0.00035582704629721906,0.6022727272727273,-0.0006173914157938381,0.976932708223757,-0.9041402316948947,0.608,0.5971223021582733,84.80321746624533,-105.760640791988
535,11,267.0,0.1220069106979065,0.0032628962102709824,0.5767790262172284,0.007294387256735859,1.0071731518070695,-0.5476912322465254,0.5739130434782609,0.5789473684210527,84.63085320310255,-47.863374429641226
587,11,293.0,-0.15790790514612843,-0.004616014924575196,0.590443686006826,-0.008335801648384605,0.4588722506160699,-0.7222819038827807,0.5571428571428572,0.6209150326797386,83.1370295891985,-167.47802463081868
871,11,436.0,-0.6398204168556274,-0.027510665043041782,0.6169724770642202,-0.026814331193814496,-1.5307756769768694,0.03558115130079827,0.6223404255319149,0.6129032258064516,74.97845446710716,-373.4113773970436
914,11,457.0,-0.019976315155959237,-0.0009125010201308514,0.6301969365426696,-0.0009095530181710852,0.3152928029879059,-0.283214958698603,0.6417910447761194,0.62109375,73.74317724791726,-108.53638255082546
1155,11,578.0,-0.02720921504943761,-0.001571456596855092,0.6366782006920415,-0.0012943537416930842,-0.23556374382813763,0.1407766237783894,0.6511627906976745,0.625,66.81987934501579,-111.62718282908087
1202,11,601.0,0.2219441703799135,0.013428203902398295,0.6955074875207987,0.009543222788232143,0.6051536053772386,-0.05475719815683712,0.7142857142857143,0.6819484240687679,65.46969261706406,-5.157666541752571
1315,11,658.0,-0.0659253753291918,-0.004328494642962255,0.6884498480243161,-0.0032043533875421664,-0.13765866723911055,-0.011115755505259629,0.6947368421052632,0.6836461126005362,62.223498994541806,-128.1715731466547
1500,11,751.0,0.4149926019613302,0.03165668734017513,0.6324900133155792,0.023131853869122133,0.7647202684282635,0.12412154277785623,0.6363636363636364,0.6292682926829268,56.90893421430623,77.3367900159287
1510,11,756.0,-0.33763580440948476,-0.025202251378198093,0.7235449735449735,-0.012756995157232248,1.2523890991578788,-1.6652294132133032,0.75,0.7014563106796117,56.62166044240161,-244.2802822639312
1535,11,769.0,0.18819231675884332,0.014577215392061582,0.6671001300390117,0.009783136154643476,0.3074591193307397,0.09564348150674802,0.6815476190476191,0.6558891454965358,55.903476012640056,-19.58068360268279
1745,11,875.0,-0.1627473430026443,-0.014139477713306037,0.7405714285714285,-0.0060274317263607725,1.0311445471392946,-1.186807478071314,0.7648514851485149,0.7197452229299363,49.87072680264292,-169.54603830359267
1781,11,893.0,-0.381951428101911,-0.03353313317424933,0.6741321388577828,-0.017686989631769196,-0.12112733502270634,-0.5832620872443927,0.6812339331619537,0.6686507936507936,48.83654122378627,-263.21746431495245
2073,11,1044.0,0.29978745518259886,0.031792736661882426,0.7586206896551724,0.010673750882512047,0.8535044357779056,-0.157125857476465,0.75,0.7657342657342657,40.44814708417122,28.106729464252076
2107,11,1057.0,0.14300317288702552,0.015230251335762501,0.6679280983916746,0.007144391787836102,0.6652643968317875,-0.2640792289419729,0.673866090712743,0.6632996632996633,39.47141625969549,-38.89114282514111
2305,11,1173.0,0.4200663460579005,0.0505079219445721,0.7698209718670077,0.014230311401607488,1.8784803845620555,-0.8807448850595158,0.7902350813743219,0.7516129032258064,33.78339557598391,79.50492864585996
2326,11,1170.0,0.31596087713512977,0.03765921607392353,0.7196581196581197,0.014129360757052942,0.7858401759878325,-0.050931178133418964,0.7270955165692008,0.7138508371385084,33.1801206549842,35.01803997696873
2337,11,1173.0,0.08508401020276557,0.010030324234270749,0.6760443307757886,0.004279098844704194,0.7037298511615808,-0.40416567776161044,0.6891891891891891,0.665648854961832,32.864119505889114,-63.641459679690996
2826,11,1429.0,0.6780880696683932,0.10174885463854211,0.7368789363191043,0.025029533397485298,1.1597160261077966,0.2565055933625111,0.7511244377811095,0.7244094488188977,18.81643205975294,189.76410917873517
3261,11,1644.0,0.5456453203791243,0.09385055522587571,0.7062043795620438,0.023773972953285698,0.9941396713854799,0.15722172240199708,0.7182175622542595,0.695800227014756,6.320022981901752,133.1679869615205
3262,11,1638.0,0.454462943417572,0.0772818144825076,0.6794871794871795,0.02469604723609768,0.9112816444810605,0.0742916754184275,0.6948924731182796,0.6666666666666666,6.291295604711289,94.20346094355835
3481,11,1752.0,0.23401382303359322,0.041851294771783065,0.684931506849315,0.012385959452038938,0.880302925213622,-0.3281266447110423,0.7042944785276074,0.6680896478121665,0.0,0.0
