strategy_id,num_signals,num_trades,trades_per_day,total_return,avg_return_per_trade_bps,win_rate,avg_win_bps,avg_loss_bps,stopped_trades,stop_rate,eod_exits,eod_exit_rate,meets_criteria
SPY_5m_compiled_strategy_0,3262,1638,6.5,0.1933325153076333,1.0790587683020005,0.6794871794871795,6.894135380643314,-11.445105457708006,30,0.018315018315018316,0,0.0,True
SPY_5m_compiled_strategy_1,3481,1752,6.9523809523809526,0.18066637919105166,0.9479395388508137,0.684931506849315,7.0210496102481255,-12.434686507777803,35,0.01997716894977169,0,0.0,False
SPY_5m_compiled_strategy_10,535,267,1.0595238095238095,0.011105612336474557,0.4136478585488966,0.5767790262172284,8.178684920112387,-10.352013508691462,3,0.011235955056179775,0,0.0,False
SPY_5m_compiled_strategy_11,1155,578,2.2936507936507935,0.04507650616395953,0.7628044009876428,0.6366782006920415,8.216204321859411,-12.537195372201001,10,0.01730103806228374,0,0.0,False
SPY_5m_compiled_strategy_12,1535,769,3.0515873015873014,0.06742312047514631,0.848471329479063,0.6671001300390117,7.74558777615351,-13.178619352370443,14,0.018205461638491547,0,0.0,False
SPY_5m_compiled_strategy_13,1781,893,3.5436507936507935,0.05780195906600816,0.6292623926911581,0.6741321388577828,7.783494607057651,-14.318515405470496,23,0.025755879059350503,0,0.0,False
SPY_5m_compiled_strategy_14,1745,875,3.4722222222222223,0.1644146517331495,1.7396401815508218,0.7405714285714285,8.770280629159405,-18.493140839281445,31,0.03542857142857143,0,0.0,True
SPY_5m_compiled_strategy_15,161,80,0.31746031746031744,0.0030256875346850176,0.3776399193034175,0.55,8.329043485296369,-10.189900600265663,1,0.0125,0,0.0,False
SPY_5m_compiled_strategy_16,587,293,1.1626984126984128,0.00740379619047471,0.25175845144473036,0.590443686006826,8.322168455980473,-11.775602729407895,5,0.017064846416382253,0,0.0,False
SPY_5m_compiled_strategy_17,871,436,1.7301587301587302,0.018219985745609346,0.41412822936348276,0.6169724770642202,8.723648457558,-13.370997080744589,10,0.022935779816513763,0,0.0,False
SPY_5m_compiled_strategy_18,1315,658,2.611111111111111,0.04854216870965389,0.7203767276815047,0.6884498480243161,7.72279128629444,-14.89860377279286,18,0.02735562310030395,0,0.0,False
SPY_5m_compiled_strategy_19,1510,756,3.0,0.1135742809307283,1.4229486098244735,0.7235449735449735,8.44962331330677,-17.298511235860985,27,0.03571428571428571,0,0.0,True
SPY_5m_compiled_strategy_2,3261,1644,6.523809523809524,0.27280934847281024,1.4673147373686157,0.7062043795620438,7.896186343073915,-14.191611168224398,38,0.023114355231143552,0,0.0,True
SPY_5m_compiled_strategy_20,47,23,0.09126984126984126,0.009450713707157554,4.089710912873915,0.6086956521739131,11.595882056011988,-7.586555309785313,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_21,303,151,0.5992063492063492,0.01630694987465331,1.0712198375361035,0.5960264900662252,8.940327617093061,-10.714588167840397,2,0.013245033112582781,0,0.0,False
SPY_5m_compiled_strategy_22,529,264,1.0476190476190477,0.015385770115676767,0.5783564153514358,0.6022727272727273,9.599336629064796,-13.466749317338467,7,0.026515151515151516,0,0.0,False
SPY_5m_compiled_strategy_23,914,457,1.8134920634920635,0.040644658880541806,0.871780862690765,0.6301969365426696,8.904059320732106,-13.288130246142128,11,0.024070021881838075,0,0.0,False
SPY_5m_compiled_strategy_24,1202,601,2.384920634920635,0.07882040617020603,1.2623665178691719,0.6955074875207987,9.046228246417705,-16.886263294766646,18,0.029950083194675542,0,0.0,True
SPY_5m_compiled_strategy_25,2107,1057,4.194444444444445,0.11231448818574807,1.0070290346355688,0.6679280983916746,7.632400598881104,-12.56989864302402,24,0.02270577105014191,0,0.0,True
SPY_5m_compiled_strategy_26,2337,1173,4.654761904761905,0.11707050417161402,0.9438161749164738,0.6760443307757886,7.584046066874393,-13.120460315118637,28,0.023870417732310314,0,0.0,False
SPY_5m_compiled_strategy_27,2326,1170,4.642857142857143,0.1854640860096579,1.4541395870259244,0.7196581196581197,8.046104211823204,-15.756137979921746,29,0.024786324786324785,0,0.0,True
SPY_5m_compiled_strategy_28,1155,578,2.2936507936507935,0.04507650616395953,0.7628044009876428,0.6366782006920415,8.216204321859411,-12.537195372201001,10,0.01730103806228374,0,0.0,False
SPY_5m_compiled_strategy_29,1535,769,3.0515873015873014,0.06742312047514631,0.848471329479063,0.6671001300390117,7.74558777615351,-13.178619352370443,14,0.018205461638491547,0,0.0,False
SPY_5m_compiled_strategy_3,2826,1429,5.670634920634921,0.37872672496297577,2.2474486366916073,0.7368789363191043,8.862378536282026,-16.541839180736954,45,0.031490552834149754,0,0.0,True
SPY_5m_compiled_strategy_30,1781,893,3.5436507936507935,0.05780195906600816,0.6292623926911581,0.6741321388577828,7.783494607057651,-14.318515405470496,23,0.025755879059350503,0,0.0,False
SPY_5m_compiled_strategy_31,587,293,1.1626984126984128,0.00740379619047471,0.25175845144473036,0.590443686006826,8.322168455980473,-11.775602729407895,5,0.017064846416382253,0,0.0,False
SPY_5m_compiled_strategy_32,871,436,1.7301587301587302,0.018219985745609346,0.41412822936348276,0.6169724770642202,8.723648457558,-13.370997080744589,10,0.022935779816513763,0,0.0,False
SPY_5m_compiled_strategy_33,1315,658,2.611111111111111,0.04854216870965389,0.7203767276815047,0.6884498480243161,7.72279128629444,-14.89860377279286,18,0.02735562310030395,0,0.0,False
SPY_5m_compiled_strategy_34,2107,1057,4.194444444444445,0.11231448818574807,1.0070290346355688,0.6679280983916746,7.632400598881104,-12.56989864302402,24,0.02270577105014191,0,0.0,True
