entry_time,exit_time,direction,pnl_pct,bars_held,volatility,atr_pct,vwap_position,vwap_distance,trend,volume_ratio,hour
2025-01-27 19:43:00+00:00,2025-01-27 19:57:00+00:00,long,-0.09369092034600124,14,unknown,0,unknown,0,unknown,1.0,19
2025-01-28 17:40:00+00:00,2025-01-28 17:51:00+00:00,long,0.043091660934924114,11,unknown,0,unknown,0,unknown,1.0,17
2025-01-29 15:02:00+00:00,2025-01-29 15:21:00+00:00,short,0.043081458906146786,19,unknown,0,unknown,0,unknown,1.0,15
2025-01-29 16:36:00+00:00,2025-01-29 16:44:00+00:00,short,0.04976362279175417,8,unknown,0,unknown,0,unknown,1.0,16
2025-01-29 17:39:00+00:00,2025-01-29 18:08:00+00:00,long,-0.23553609341825377,29,unknown,0,unknown,0,unknown,1.0,17
2025-01-29 19:31:00+00:00,2025-01-29 19:35:00+00:00,short,0.11822102336114249,4,unknown,0,unknown,0,unknown,1.0,19
2025-01-29 19:38:00+00:00,2025-01-29 19:55:00+00:00,short,-0.21214818758890086,17,unknown,0,unknown,0,unknown,1.0,19
2025-01-29 20:03:00+00:00,2025-01-29 20:11:00+00:00,long,0.10392331290893786,8,unknown,0,unknown,0,unknown,1.0,20
2025-01-30 19:04:00+00:00,2025-01-30 19:08:00+00:00,long,0.033078627898519564,4,unknown,0,unknown,0,unknown,1.0,19
2025-01-31 17:45:00+00:00,2025-01-31 17:50:00+00:00,long,0.032831018746515284,5,unknown,0,unknown,0,unknown,1.0,17
2025-01-31 20:47:00+00:00,2025-01-31 20:54:00+00:00,short,0.04483113605419087,7,unknown,0,unknown,0,unknown,1.0,20
2025-02-03 15:21:00+00:00,2025-02-03 15:54:00+00:00,short,-0.8710771983726273,33,unknown,0,unknown,0,unknown,1.0,15
2025-02-03 16:03:00+00:00,2025-02-03 16:06:00+00:00,long,0.07201715013063215,3,unknown,0,unknown,0,unknown,1.0,16
2025-02-03 16:56:00+00:00,2025-02-03 17:09:00+00:00,long,-0.06356322031346728,13,unknown,0,unknown,0,unknown,1.0,16
2025-02-03 17:21:00+00:00,2025-02-03 17:29:00+00:00,short,0.055208873571688244,8,unknown,0,unknown,0,unknown,1.0,17
2025-02-03 17:51:00+00:00,2025-02-03 17:56:00+00:00,short,0.09311395286557556,5,unknown,0,unknown,0,unknown,1.0,17
2025-02-03 19:37:00+00:00,2025-02-03 19:40:00+00:00,long,0.05172528866046466,3,unknown,0,unknown,0,unknown,1.0,19
2025-02-04 14:52:00+00:00,2025-02-04 15:23:00+00:00,short,-0.33997978498574444,31,unknown,0,unknown,0,unknown,1.0,14
2025-02-04 18:58:00+00:00,2025-02-04 19:26:00+00:00,long,0.15312661240660663,28,unknown,0,unknown,0,unknown,1.0,18
2025-02-04 19:47:00+00:00,2025-02-04 19:55:00+00:00,long,0.030744430687912327,8,unknown,0,unknown,0,unknown,1.0,19
2025-02-05 15:24:00+00:00,2025-02-05 15:31:00+00:00,short,0.038320559813398436,7,unknown,0,unknown,0,unknown,1.0,15
2025-02-05 17:20:00+00:00,2025-02-05 17:30:00+00:00,long,0.03485882177183264,10,unknown,0,unknown,0,unknown,1.0,17
2025-02-05 17:41:00+00:00,2025-02-05 17:43:00+00:00,long,0.02158034528552122,2,unknown,0,unknown,0,unknown,1.0,17
2025-02-05 17:46:00+00:00,2025-02-05 17:52:00+00:00,short,0.03483800328470954,6,unknown,0,unknown,0,unknown,1.0,17
2025-02-05 18:55:00+00:00,2025-02-05 18:58:00+00:00,long,0.041146794341195836,3,unknown,0,unknown,0,unknown,1.0,18
2025-02-05 19:33:00+00:00,2025-02-05 19:39:00+00:00,long,0.01989455883815161,6,unknown,0,unknown,0,unknown,1.0,19
2025-02-06 16:09:00+00:00,2025-02-06 16:28:00+00:00,short,-0.05948938279765059,19,unknown,0,unknown,0,unknown,1.0,16
2025-02-06 17:17:00+00:00,2025-02-06 17:29:00+00:00,short,0.014044363666410042,12,unknown,0,unknown,0,unknown,1.0,17
2025-02-06 19:50:00+00:00,2025-02-06 19:58:00+00:00,short,0.05958686440677985,8,unknown,0,unknown,0,unknown,1.0,19
2025-02-07 17:38:00+00:00,2025-02-07 17:51:00+00:00,short,0.01909743845227574,13,unknown,0,unknown,0,unknown,1.0,17
2025-02-07 19:38:00+00:00,2025-02-07 19:54:00+00:00,short,-0.003542914760967797,16,unknown,0,unknown,0,unknown,1.0,19
2025-02-07 20:00:00+00:00,2025-02-07 20:18:00+00:00,long,-0.06157532992727699,18,unknown,0,unknown,0,unknown,1.0,20
2025-02-07 20:33:00+00:00,2025-02-07 20:38:00+00:00,short,0.025800867242053993,5,unknown,0,unknown,0,unknown,1.0,20
2025-02-10 16:05:00+00:00,2025-02-10 16:11:00+00:00,long,0.02811311394079752,6,unknown,0,unknown,0,unknown,1.0,16
2025-02-10 18:47:00+00:00,2025-02-10 19:03:00+00:00,short,-0.011572734637210758,16,unknown,0,unknown,0,unknown,1.0,18
2025-02-10 20:14:00+00:00,2025-02-10 20:33:00+00:00,short,0.04377210809546339,19,unknown,0,unknown,0,unknown,1.0,20
2025-02-11 15:01:00+00:00,2025-02-11 15:09:00+00:00,short,0.0770644936897491,8,unknown,0,unknown,0,unknown,1.0,15
2025-02-11 19:11:00+00:00,2025-02-11 19:16:00+00:00,long,0.01488784490175643,5,unknown,0,unknown,0,unknown,1.0,19
2025-02-11 20:06:00+00:00,2025-02-11 20:12:00+00:00,long,0.009910966484416583,6,unknown,0,unknown,0,unknown,1.0,20
2025-02-11 21:00:00+00:00,2025-02-12 14:44:00+00:00,short,0.7568371478145819,15,unknown,0,unknown,0,unknown,1.0,21
2025-02-12 17:32:00+00:00,2025-02-12 17:34:00+00:00,long,0.0494837843660445,2,unknown,0,unknown,0,unknown,1.0,17
2025-02-12 17:37:00+00:00,2025-02-12 17:45:00+00:00,long,0.008285965232102122,8,unknown,0,unknown,0,unknown,1.0,17
2025-02-12 19:27:00+00:00,2025-02-12 19:58:00+00:00,short,-0.1260134967087323,31,unknown,0,unknown,0,unknown,1.0,19
2025-02-12 20:15:00+00:00,2025-02-12 20:23:00+00:00,long,0.016533306827026806,8,unknown,0,unknown,0,unknown,1.0,20
2025-02-13 16:25:00+00:00,2025-02-13 16:36:00+00:00,long,-0.01812340390476841,11,unknown,0,unknown,0,unknown,1.0,16
2025-02-13 17:43:00+00:00,2025-02-13 17:44:00+00:00,long,0.023088213467015173,1,unknown,0,unknown,0,unknown,1.0,17
2025-02-14 15:01:00+00:00,2025-02-14 15:14:00+00:00,long,0.06882312456983897,13,unknown,0,unknown,0,unknown,1.0,15
2025-02-14 15:49:00+00:00,2025-02-14 16:00:00+00:00,short,0.0019330635781300565,11,unknown,0,unknown,0,unknown,1.0,15
2025-02-14 17:48:00+00:00,2025-02-14 18:01:00+00:00,short,-0.028215223097127762,13,unknown,0,unknown,0,unknown,1.0,17
2025-02-14 18:27:00+00:00,2025-02-14 18:29:00+00:00,long,0.03032415189956339,2,unknown,0,unknown,0,unknown,1.0,18
2025-02-18 18:51:00+00:00,2025-02-18 18:58:00+00:00,short,0.022956088282555243,7,unknown,0,unknown,0,unknown,1.0,18
2025-02-18 20:18:00+00:00,2025-02-18 20:20:00+00:00,long,0.018043139506285222,2,unknown,0,unknown,0,unknown,1.0,20
2025-02-18 20:43:00+00:00,2025-02-18 20:45:00+00:00,long,0.03608627901254824,2,unknown,0,unknown,0,unknown,1.0,20
2025-02-19 14:49:00+00:00,2025-02-19 14:54:00+00:00,long,0.04622689946396363,5,unknown,0,unknown,0,unknown,1.0,14
2025-02-19 15:55:00+00:00,2025-02-19 16:00:00+00:00,long,0.008193363375652574,5,unknown,0,unknown,0,unknown,1.0,15
2025-02-19 17:12:00+00:00,2025-02-19 17:36:00+00:00,long,-0.06867794947263972,24,unknown,0,unknown,0,unknown,1.0,17
2025-02-19 17:43:00+00:00,2025-02-19 18:01:00+00:00,short,-0.03762350323888164,18,unknown,0,unknown,0,unknown,1.0,17
2025-02-19 18:51:00+00:00,2025-02-19 19:03:00+00:00,long,0.009809531594884291,12,unknown,0,unknown,0,unknown,1.0,18
2025-02-19 19:12:00+00:00,2025-02-19 19:30:00+00:00,short,-0.13891158686061278,18,unknown,0,unknown,0,unknown,1.0,19
2025-02-20 15:36:00+00:00,2025-02-20 16:00:00+00:00,long,-0.14458939896815348,24,unknown,0,unknown,0,unknown,1.0,15
2025-02-20 16:08:00+00:00,2025-02-20 16:15:00+00:00,short,0.031249486028184226,7,unknown,0,unknown,0,unknown,1.0,16
2025-02-20 17:49:00+00:00,2025-02-20 18:07:00+00:00,long,-0.06735905663797226,18,unknown,0,unknown,0,unknown,1.0,17
2025-02-20 18:14:00+00:00,2025-02-20 18:16:00+00:00,short,0.05431745718700309,2,unknown,0,unknown,0,unknown,1.0,18
2025-02-20 19:31:00+00:00,2025-02-20 19:42:00+00:00,long,0.01640528509641026,11,unknown,0,unknown,0,unknown,1.0,19
2025-02-21 16:01:00+00:00,2025-02-21 16:03:00+00:00,short,0.08565874872334955,2,unknown,0,unknown,0,unknown,1.0,16
2025-02-21 19:52:00+00:00,2025-02-21 19:54:00+00:00,short,0.08824068061867862,2,unknown,0,unknown,0,unknown,1.0,19
2025-02-21 20:44:00+00:00,2025-02-21 20:51:00+00:00,long,0.05666288914072393,7,unknown,0,unknown,0,unknown,1.0,20
2025-02-24 17:57:00+00:00,2025-02-24 18:08:00+00:00,long,0.014145801609299902,11,unknown,0,unknown,0,unknown,1.0,17
2025-02-24 18:46:00+00:00,2025-02-24 19:03:00+00:00,long,-0.02661521059285077,17,unknown,0,unknown,0,unknown,1.0,18
2025-02-25 15:39:00+00:00,2025-02-25 16:12:00+00:00,short,0.028701671450270805,33,unknown,0,unknown,0,unknown,1.0,15
2025-02-25 17:21:00+00:00,2025-02-25 17:47:00+00:00,long,0.28195647402455837,26,unknown,0,unknown,0,unknown,1.0,17
2025-02-25 19:34:00+00:00,2025-02-25 19:35:00+00:00,short,0.09007568040813041,1,unknown,0,unknown,0,unknown,1.0,19
2025-02-25 19:37:00+00:00,2025-02-25 19:57:00+00:00,short,-0.15818790703934216,20,unknown,0,unknown,0,unknown,1.0,19
2025-02-25 20:10:00+00:00,2025-02-25 20:14:00+00:00,long,0.05850293018987429,4,unknown,0,unknown,0,unknown,1.0,20
2025-02-26 14:30:00+00:00,2025-02-26 14:42:00+00:00,short,-0.056288330672948916,12,unknown,0,unknown,0,unknown,1.0,14
2025-02-26 16:00:00+00:00,2025-02-26 16:16:00+00:00,short,-0.021698853299056964,16,unknown,0,unknown,0,unknown,1.0,16
2025-02-26 16:23:00+00:00,2025-02-26 16:36:00+00:00,long,-0.03505608974357921,13,unknown,0,unknown,0,unknown,1.0,16
2025-02-26 19:56:00+00:00,2025-02-26 20:06:00+00:00,long,-0.04043535397783016,10,unknown,0,unknown,0,unknown,1.0,19
2025-02-27 16:11:00+00:00,2025-02-27 16:25:00+00:00,short,-0.13118283186732693,14,unknown,0,unknown,0,unknown,1.0,16
2025-02-27 18:43:00+00:00,2025-02-27 18:53:00+00:00,long,0.04712138806144406,10,unknown,0,unknown,0,unknown,1.0,18
2025-02-28 15:00:00+00:00,2025-02-28 15:03:00+00:00,short,0.17900066485961874,3,unknown,0,unknown,0,unknown,1.0,15
2025-02-28 15:43:00+00:00,2025-02-28 15:45:00+00:00,long,0.1354044249143982,2,unknown,0,unknown,0,unknown,1.0,15
