strategy_idx,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,exit_threshold
0,730,2.3856209150326797,0.4808219178082192,-0.0545637135799113,-0.06477952858716973,-7.315540175250216e-05,1.9589041095890412,20.0,2.0,0.002,0.001
1,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,20.0,2.0,0.002,0.0015
2,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,20.0,2.0,0.002,0.002
3,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,20.0,2.0,0.002,0.0025
20,730,2.3856209150326797,0.4808219178082192,-0.0545637135799113,-0.06477952858716973,-7.315540175250216e-05,1.9589041095890412,20.0,3.0,0.003,0.001
21,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,20.0,3.0,0.003,0.0015
22,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,20.0,3.0,0.003,0.002
23,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,20.0,3.0,0.003,0.0025
40,730,2.3856209150326797,0.4808219178082192,-0.0545637135799113,-0.06477952858716973,-7.315540175250216e-05,1.9589041095890412,20.0,4.0,0.004,0.001
41,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,20.0,4.0,0.004,0.0015
42,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,20.0,4.0,0.004,0.002
43,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,20.0,4.0,0.004,0.0025
