strategy_id,num_signals,num_trades,trades_per_day,total_return,avg_return_per_trade_bps,win_rate,avg_win_bps,avg_loss_bps,stopped_trades,stop_rate,eod_exits,eod_exit_rate,meets_criteria
SPY_5m_compiled_strategy_0,3262,1638,6.5,0.1933325153076333,1.0790587683020005,0.6794871794871795,6.894135380643314,-11.445105457708006,30,0.018315018315018316,0,0.0,True
SPY_5m_compiled_strategy_14,1745,875,3.4722222222222223,0.1644146517331495,1.7396401815508218,0.7405714285714285,8.770280629159405,-18.493140839281445,31,0.03542857142857143,0,0.0,True
SPY_5m_compiled_strategy_19,1510,756,3.0,0.1135742809307283,1.4229486098244735,0.7235449735449735,8.44962331330677,-17.298511235860985,27,0.03571428571428571,0,0.0,True
SPY_5m_compiled_strategy_2,3261,1644,6.523809523809524,0.27280934847281024,1.4673147373686157,0.7062043795620438,7.896186343073915,-14.191611168224398,38,0.023114355231143552,0,0.0,True
SPY_5m_compiled_strategy_24,1202,601,2.384920634920635,0.07882040617020603,1.2623665178691719,0.6955074875207987,9.046228246417705,-16.886263294766646,18,0.029950083194675542,0,0.0,True
SPY_5m_compiled_strategy_25,2107,1057,4.194444444444445,0.11231448818574807,1.0070290346355688,0.6679280983916746,7.632400598881104,-12.56989864302402,24,0.02270577105014191,0,0.0,True
SPY_5m_compiled_strategy_27,2326,1170,4.642857142857143,0.1854640860096579,1.4541395870259244,0.7196581196581197,8.046104211823204,-15.756137979921746,29,0.024786324786324785,0,0.0,True
SPY_5m_compiled_strategy_3,2826,1429,5.670634920634921,0.37872672496297577,2.2474486366916073,0.7368789363191043,8.862378536282026,-16.541839180736954,45,0.031490552834149754,0,0.0,True
SPY_5m_compiled_strategy_34,2107,1057,4.194444444444445,0.11231448818574807,1.0070290346355688,0.6679280983916746,7.632400598881104,-12.56989864302402,24,0.02270577105014191,0,0.0,True
SPY_5m_compiled_strategy_36,2326,1170,4.642857142857143,0.1854640860096579,1.4541395870259244,0.7196581196581197,8.046104211823204,-15.756137979921746,29,0.024786324786324785,0,0.0,True
SPY_5m_compiled_strategy_4,2305,1171,4.646825396825397,0.3718162394888267,2.6997060982135075,0.7702818104184458,9.090150588961855,-19.451582973882523,44,0.037574722459436376,0,0.0,True
SPY_5m_compiled_strategy_6,2107,1057,4.194444444444445,0.11231448818574807,1.0070290346355688,0.6679280983916746,7.632400598881104,-12.56989864302402,24,0.02270577105014191,0,0.0,True
SPY_5m_compiled_strategy_8,2326,1170,4.642857142857143,0.1854640860096579,1.4541395870259244,0.7196581196581197,8.046104211823204,-15.756137979921746,29,0.024786324786324785,0,0.0,True
SPY_5m_compiled_strategy_9,2073,1043,4.138888888888889,0.27554118669668304,2.3333705532782596,0.7593480345158198,8.808070462360652,-18.31567064161456,36,0.03451581975071908,0,0.0,True
