strategy_id,num_signals,num_trades,total_return,log_return,first_bar_idx,last_bar_idx,avg_trade_duration,win_rate,avg_win,avg_loss
SPY_5m_compiled_strategy_847,245,125,-0.010776347684445686,-0.01083483307123978,28,16522,1.544,0.472,0.0011105589968627772,-0.0011569365740324797
SPY_5m_compiled_strategy_848,118,60,0.012059386642281122,0.011987251596372974,28,16522,1.75,0.48333333333333334,0.001457935049207383,-0.0009771891880851979
SPY_5m_compiled_strategy_849,118,60,0.012059386642281122,0.011987251596372974,28,16522,1.75,0.48333333333333334,0.001457935049207383,-0.0009771891880851979
SPY_5m_compiled_strategy_85,346,182,0.010131860633204814,0.010080877413975911,16,16548,1.5934065934065933,0.5274725274725275,0.0011524210710756944,-0.0011692040163871016
SPY_5m_compiled_strategy_850,118,60,0.012059386642281122,0.011987251596372974,28,16522,1.75,0.48333333333333334,0.001457935049207383,-0.0009771891880851979
SPY_5m_compiled_strategy_851,118,60,0.012059386642281122,0.011987251596372974,28,16522,1.75,0.48333333333333334,0.001457935049207383,-0.0009771891880851979
SPY_5m_compiled_strategy_852,82,42,0.014300011364054788,0.014198730603652716,28,16521,1.8095238095238095,0.47619047619047616,0.0017474056015183894,-0.0009431537012143217
SPY_5m_compiled_strategy_853,82,42,0.014300011364054788,0.014198730603652716,28,16521,1.8095238095238095,0.47619047619047616,0.0017474056015183894,-0.0009431537012143217
SPY_5m_compiled_strategy_854,82,42,0.014300011364054788,0.014198730603652716,28,16521,1.8095238095238095,0.47619047619047616,0.0017474056015183894,-0.0009431537012143217
SPY_5m_compiled_strategy_855,82,42,0.014300011364054788,0.014198730603652716,28,16521,1.8095238095238095,0.47619047619047616,0.0017474056015183894,-0.0009431537012143217
SPY_5m_compiled_strategy_856,57,29,0.005595299235062523,0.005579703695725781,28,16521,2.0,0.4482758620689655,0.00187062235331455,-0.0011711491810852104
SPY_5m_compiled_strategy_857,57,29,0.005595299235062523,0.005579703695725781,28,16521,2.0,0.4482758620689655,0.00187062235331455,-0.0011711491810852104
SPY_5m_compiled_strategy_858,57,29,0.005595299235062523,0.005579703695725781,28,16521,2.0,0.4482758620689655,0.00187062235331455,-0.0011711491810852104
SPY_5m_compiled_strategy_859,57,29,0.005595299235062523,0.005579703695725781,28,16521,2.0,0.4482758620689655,0.00187062235331455,-0.0011711491810852104
SPY_5m_compiled_strategy_86,346,182,0.010131860633204814,0.010080877413975911,16,16548,1.5934065934065933,0.5274725274725275,0.0011524210710756944,-0.0011692040163871016
SPY_5m_compiled_strategy_860,620,322,-0.03592984797963661,-0.03659121521397463,28,16609,1.704968944099379,0.4720496894409938,0.0010752165560529614,-0.0011766125396119106
SPY_5m_compiled_strategy_861,620,322,-0.03592984797963661,-0.03659121521397463,28,16609,1.704968944099379,0.4720496894409938,0.0010752165560529614,-0.0011766125396119106
SPY_5m_compiled_strategy_862,540,282,-0.04343572481229818,-0.04440729404515789,28,16609,1.7269503546099292,0.4574468085106383,0.0010724357808724896,-0.001194454312272608
SPY_5m_compiled_strategy_863,390,204,-0.03195825476326286,-0.03248006739086351,28,16609,1.7549019607843137,0.4362745098039216,0.0012139231147339242,-0.001221906300888546
SPY_5m_compiled_strategy_864,334,173,-0.02305005047311326,-0.023319856985585825,28,16548,1.5549132947976878,0.47398843930635837,0.0010500524431731417,-0.0012024632673163017
SPY_5m_compiled_strategy_865,334,173,-0.02305005047311326,-0.023319856985585825,28,16548,1.5549132947976878,0.47398843930635837,0.0010500524431731417,-0.0012024632673163017
SPY_5m_compiled_strategy_866,334,173,-0.02305005047311326,-0.023319856985585825,28,16548,1.5549132947976878,0.47398843930635837,0.0010500524431731417,-0.0012024632673163017
SPY_5m_compiled_strategy_867,280,146,-0.013628982408582235,-0.013722709567496461,28,16522,1.5753424657534247,0.4726027397260274,0.0011184247773951132,-0.0011804418078929775
SPY_5m_compiled_strategy_868,171,89,0.009281753076664012,0.009238942308669909,28,16522,1.595505617977528,0.48314606741573035,0.001278481591417886,-0.0009942557852673736
SPY_5m_compiled_strategy_869,171,89,0.009281753076664012,0.009238942308669909,28,16522,1.595505617977528,0.48314606741573035,0.001278481591417886,-0.0009942557852673736
SPY_5m_compiled_strategy_87,292,155,0.0198729134044191,0.019678024832065287,16,16522,1.6193548387096774,0.535483870967742,0.001225294362931709,-0.0011391862123787024
SPY_5m_compiled_strategy_870,171,89,0.009281753076664012,0.009238942308669909,28,16522,1.595505617977528,0.48314606741573035,0.001278481591417886,-0.0009942557852673736
SPY_5m_compiled_strategy_871,171,89,0.009281753076664012,0.009238942308669909,28,16522,1.595505617977528,0.48314606741573035,0.001278481591417886,-0.0009942557852673736
SPY_5m_compiled_strategy_872,82,42,0.014300011364054788,0.014198730603652716,28,16521,1.8095238095238095,0.47619047619047616,0.0017474056015183894,-0.0009431537012143217
SPY_5m_compiled_strategy_873,82,42,0.014300011364054788,0.014198730603652716,28,16521,1.8095238095238095,0.47619047619047616,0.0017474056015183894,-0.0009431537012143217
SPY_5m_compiled_strategy_874,82,42,0.014300011364054788,0.014198730603652716,28,16521,1.8095238095238095,0.47619047619047616,0.0017474056015183894,-0.0009431537012143217
SPY_5m_compiled_strategy_875,82,42,0.014300011364054788,0.014198730603652716,28,16521,1.8095238095238095,0.47619047619047616,0.0017474056015183894,-0.0009431537012143217
SPY_5m_compiled_strategy_876,57,29,0.005595299235062523,0.005579703695725781,28,16521,2.0,0.4482758620689655,0.00187062235331455,-0.0011711491810852104
SPY_5m_compiled_strategy_877,57,29,0.005595299235062523,0.005579703695725781,28,16521,2.0,0.4482758620689655,0.00187062235331455,-0.0011711491810852104
SPY_5m_compiled_strategy_878,57,29,0.005595299235062523,0.005579703695725781,28,16521,2.0,0.4482758620689655,0.00187062235331455,-0.0011711491810852104
SPY_5m_compiled_strategy_879,57,29,0.005595299235062523,0.005579703695725781,28,16521,2.0,0.4482758620689655,0.00187062235331455,-0.0011711491810852104
SPY_5m_compiled_strategy_88,196,103,0.016728447877605968,0.016590068509088413,16,16522,1.5825242718446602,0.5436893203883495,0.0011887352009969465,-0.0010633851648242675
SPY_5m_compiled_strategy_880,624,323,0.007673540577935567,0.007644248718186022,28,16609,1.7647058823529411,0.5139318885448917,0.0011560633596400176,-0.0011736450253634198
