strategy_id,num_signals,num_trades,trades_per_day,total_return,avg_return_per_trade_bps,win_rate,avg_win_bps,avg_loss_bps,stopped_trades,stop_rate,eod_exits,eod_exit_rate,meets_criteria
SPY_5m_compiled_strategy_1417,57,29,0.11507936507936507,0.005600634962548812,1.9258654207797443,0.4482758620689655,18.724012234203045,-11.722628865126687,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1418,57,29,0.11507936507936507,0.005600634962548812,1.9258654207797443,0.4482758620689655,18.724012234203045,-11.722628865126687,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1419,57,29,0.11507936507936507,0.005600634962548812,1.9258654207797443,0.4482758620689655,18.724012234203045,-11.722628865126687,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_142,527,277,1.0992063492063493,-0.03981750593925715,-1.4668561229836137,0.45126353790613716,10.424880872185254,-11.246245099273798,2,0.007220216606498195,0,0.0,False
SPY_5m_compiled_strategy_1420,565,292,1.1587301587301588,0.00768043776969396,0.2620237453313386,0.4897260273972603,10.84945808177444,-9.899070953402646,1,0.003424657534246575,0,0.0,False
SPY_5m_compiled_strategy_1421,565,292,1.1587301587301588,0.00768043776969396,0.2620237453313386,0.4897260273972603,10.84945808177444,-9.899070953402646,1,0.003424657534246575,0,0.0,False
SPY_5m_compiled_strategy_1422,476,244,0.9682539682539683,-0.010329296066755811,-0.42553333910727376,0.45901639344262296,11.038900745369189,-10.152931956238817,1,0.004098360655737705,0,0.0,False
SPY_5m_compiled_strategy_1423,336,169,0.6706349206349206,-0.01908494049366649,-1.1402017033124456,0.41420118343195267,13.058026422840053,-11.179352903622291,1,0.005917159763313609,0,0.0,False
SPY_5m_compiled_strategy_1424,192,97,0.38492063492063494,-0.0017338808407749706,-0.1789057476257069,0.4639175257731959,12.748857448056743,-11.36639312850475,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1425,192,97,0.38492063492063494,-0.0017338808407749706,-0.1789057476257069,0.4639175257731959,12.748857448056743,-11.36639312850475,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1426,192,97,0.38492063492063494,-0.0017338808407749706,-0.1789057476257069,0.4639175257731959,12.748857448056743,-11.36639312850475,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1427,192,97,0.38492063492063494,-0.0017338808407749706,-0.1789057476257069,0.4639175257731959,12.748857448056743,-11.36639312850475,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1428,116,59,0.23412698412698413,0.01321043912842712,2.224396986348309,0.4915254237288136,14.593214739288513,-9.732126841493889,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1429,116,59,0.23412698412698413,0.01321043912842712,2.224396986348309,0.4915254237288136,14.593214739288513,-9.732126841493889,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_143,360,184,0.7301587301587301,-0.024652080299255585,-1.3565777672872206,0.41847826086956524,12.63400618893016,-11.424568090920285,2,0.010869565217391304,0,0.0,False
SPY_5m_compiled_strategy_1430,116,59,0.23412698412698413,0.01321043912842712,2.224396986348309,0.4915254237288136,14.593214739288513,-9.732126841493889,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1431,116,59,0.23412698412698413,0.01321043912842712,2.224396986348309,0.4915254237288136,14.593214739288513,-9.732126841493889,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1432,82,42,0.16666666666666666,0.014313706835876072,3.383864976195846,0.47619047619047616,17.49067298536851,-9.440505941233843,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1433,82,42,0.16666666666666666,0.014313706835876072,3.383864976195846,0.47619047619047616,17.49067298536851,-9.440505941233843,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1434,82,42,0.16666666666666666,0.014313706835876072,3.383864976195846,0.47619047619047616,17.49067298536851,-9.440505941233843,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1435,82,42,0.16666666666666666,0.014313706835876072,3.383864976195846,0.47619047619047616,17.49067298536851,-9.440505941233843,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1436,57,29,0.11507936507936507,0.005600634962548812,1.9258654207797443,0.4482758620689655,18.724012234203045,-11.722628865126687,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1437,57,29,0.11507936507936507,0.005600634962548812,1.9258654207797443,0.4482758620689655,18.724012234203045,-11.722628865126687,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1438,57,29,0.11507936507936507,0.005600634962548812,1.9258654207797443,0.4482758620689655,18.724012234203045,-11.722628865126687,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_1439,57,29,0.11507936507936507,0.005600634962548812,1.9258654207797443,0.4482758620689655,18.724012234203045,-11.722628865126687,0,0.0,0,0.0,False
SPY_5m_compiled_strategy_144,303,156,0.6190476190476191,-0.016691478220228984,-1.0789968412233426,0.4935897435897436,9.866046670830242,-11.746950644111012,1,0.00641025641025641,0,0.0,False
SPY_5m_compiled_strategy_1440,607,317,1.257936507936508,-0.032276045231222295,-1.0349653964626384,0.4668769716088328,10.501592554978826,-11.137986561038595,2,0.006309148264984227,0,0.0,False
SPY_5m_compiled_strategy_1441,607,317,1.257936507936508,-0.032276045231222295,-1.0349653964626384,0.4668769716088328,10.501592554978826,-11.137986561038595,2,0.006309148264984227,0,0.0,False
SPY_5m_compiled_strategy_1442,527,277,1.0992063492063493,-0.03981750593925715,-1.4668561229836137,0.45126353790613716,10.424880872185254,-11.246245099273798,2,0.007220216606498195,0,0.0,False
SPY_5m_compiled_strategy_1443,360,184,0.7301587301587301,-0.024652080299255585,-1.3565777672872206,0.41847826086956524,12.63400618893016,-11.424568090920285,2,0.010869565217391304,0,0.0,False
SPY_5m_compiled_strategy_1444,303,156,0.6190476190476191,-0.016691478220228984,-1.0789968412233426,0.4935897435897436,9.866046670830242,-11.746950644111012,1,0.00641025641025641,0,0.0,False
SPY_5m_compiled_strategy_1445,303,156,0.6190476190476191,-0.016691478220228984,-1.0789968412233426,0.4935897435897436,9.866046670830242,-11.746950644111012,1,0.00641025641025641,0,0.0,False
SPY_5m_compiled_strategy_1446,303,156,0.6190476190476191,-0.016691478220228984,-1.0789968412233426,0.4935897435897436,9.866046670830242,-11.746950644111012,1,0.00641025641025641,0,0.0,False
