strategy,description,total_trades,trades_per_day,avg_bps,net_bps,win_rate,annual_return,avg_duration_min,median_duration_min,long_trades,long_bps,short_trades,short_bps,best_trade_bps,worst_trade_bps,std_bps
kb_rsi_volume,Exit allowed + RSI<70 & Vol>1.1x,1978,6.44299674267101,0.20794482531810132,-0.7920551746818987,66.0768452982811,-12.8600864544378,28.98736097067745,2.0,1239,0.3346721868581934,739,-0.004525000051552366,133.31114562532213,-120.0791295746784,10.245433868335635
kb_rsi_entry,Exit allowed + RSI<70,3086,10.052117263843648,0.17704088214830002,-0.8229591178517,66.52624756966947,-20.846653521106422,19.510369410239793,2.0,1731,0.2585377924745361,1355,0.07292933102304942,133.31114562532213,-120.0791295746784,8.732931608321932
kb_fast_10,Faster period (10),1139,3.7100977198697067,0.10032766537477038,-0.8996723346252297,58.82352941176471,-8.41143813885376,7.446005267778753,1.0,568,0.12275361833136747,571,0.07801953703966151,121.82213583264449,-45.50683448369289,7.8410022535913315
kb_volume,Exit allowed + Volume>1.2x,2329,7.586319218241043,0.09034533494373732,-0.9096546650562627,65.04937741519966,-17.39034528204694,31.044654358093602,2.0,1165,0.5005739408451272,1164,-0.32023570103145116,142.5560239627232,-179.30394672955552,11.655363093997735
kb_slow_50,Slower period (50),4936,16.078175895765472,0.07771889000648594,-0.9222811099935141,74.81766612641815,-37.36806673778021,35.69813614262561,2.0,2362,0.3239715110629475,2574,-0.14825185239264468,174.7998512341682,-204.83523762212297,12.204746682276767
kb_tight_1p5,Tighter bands (1.5x),6178,20.123778501628664,0.05985637959814403,-0.940143620401856,68.88960828747167,-47.676489781249245,22.893331175137586,2.0,2944,0.28265150179274484,3234,-0.14296020659261188,142.5560239627232,-185.927590425209,9.061163868302682
kb_baseline,No filter,3698,12.045602605863191,0.04644102937768145,-0.9535589706223185,65.71119524067063,-28.945204901858506,20.482422931314225,2.0,1731,0.2736270933762047,1967,-0.15348732689148156,142.5560239627232,-179.30394672955552,9.706771212190109
kb_vwap,Exit allowed + VWAP<0.2%,3698,12.045602605863191,0.04644102937768145,-0.9535589706223185,65.71119524067063,-28.945204901858506,20.482422931314225,2.0,1731,0.2736270933762047,1967,-0.15348732689148156,142.5560239627232,-179.30394672955552,9.706771212190109
kb_wide_2p5,Wider bands (2.5x),2080,6.7752442996742674,0.021602627622091287,-0.9783973723779087,63.99038461538461,-16.704780674449662,18.0375,2.0,979,0.32491116947252346,1101,-0.2480967933330163,115.78282586645875,-179.30394672955552,10.91060207343885
