strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,target_threshold
108,SPY_15m_compiled_strategy_108,587,1.9183006535947713,0.4752981260647359,-0.09004831442353423,-0.10652345069755476,-0.00015578989484411237,2.2964224872231687,35.0,4.0,0.004,0.0025
109,SPY_15m_compiled_strategy_109,487,1.591503267973856,0.4784394250513347,-0.060659743665411825,-0.07197279222011332,-0.00012304278148944452,2.248459958932238,35.0,4.0,0.004,0.003
110,SPY_15m_compiled_strategy_110,315,1.0294117647058822,0.48253968253968255,-0.0008521365134581682,-0.0010170496032176901,3.1272767563708375e-06,2.2444444444444445,35.0,4.0,0.004,0.004
111,SPY_15m_compiled_strategy_111,220,0.7189542483660131,0.45,-0.035422124050288106,-0.04213442094617825,-0.0001604688917200416,2.081818181818182,35.0,4.0,0.004,0.005
112,SPY_15m_compiled_strategy_112,1423,4.650326797385621,0.5214335910049192,-0.08124267542820462,-0.09619345516566846,-5.5706542488443915e-05,2.7498243148278285,35.0,4.0,0.005,0.0005
113,SPY_15m_compiled_strategy_113,1197,3.911764705882353,0.5012531328320802,-0.15355763639285447,-0.1804447085192612,-0.00013539107039870456,2.4837092731829573,35.0,4.0,0.005,0.001
114,SPY_15m_compiled_strategy_114,962,3.1437908496732025,0.498960498960499,-0.12048144181021025,-0.14207502519196946,-0.00012908164977554846,2.3908523908523907,35.0,4.0,0.005,0.0015
115,SPY_15m_compiled_strategy_115,762,2.4901960784313726,0.49081364829396323,-0.08908268547711828,-0.1053916016704246,-0.00011794952804167281,2.325459317585302,35.0,4.0,0.005,0.002
116,SPY_15m_compiled_strategy_116,574,1.8758169934640523,0.47038327526132406,-0.12125175007691402,-0.1429718359814891,-0.00021995375280447858,2.3763066202090593,35.0,4.0,0.005,0.0025
117,SPY_15m_compiled_strategy_117,485,1.5849673202614378,0.47216494845360824,-0.09089662816856459,-0.10751759840925412,-0.00019079200477576058,2.3092783505154637,35.0,4.0,0.005,0.003
118,SPY_15m_compiled_strategy_118,317,1.0359477124183007,0.4794952681388013,-0.016193296036386196,-0.01929832745800597,-4.544698267620234e-05,2.277602523659306,35.0,4.0,0.005,0.004
119,SPY_15m_compiled_strategy_119,223,0.7287581699346405,0.4484304932735426,-0.041050559853870294,-0.04880215068762506,-0.00018442158599365905,2.094170403587444,35.0,4.0,0.005,0.005
