strategy,stop_loss,total_trades,total_return,avg_return,win_rate,max_win,max_loss,sharpe,long_trades,short_trades,long_return,short_return,stopped_out
SPY_5m_compiled_strategy_0,0.001,1638,-1.1769646629855328,-0.000718537645290313,0.033577533577533576,0.011233687609309751,-0.0010000000000001078,-135.59536336104372,744,894,-0.5494941399534159,-0.627470523032117,982
SPY_5m_compiled_strategy_0,0.002,1638,-1.7184403747457004,-0.001049108897891148,0.033577533577533576,0.011233687609309751,-0.002000000000000109,-150.96253417748017,744,894,-0.8439623114182857,-0.8744780633274147,441
SPY_5m_compiled_strategy_0,0.003,1638,-1.970675948100147,-0.0012030988694140092,0.033577533577533576,0.011233687609309751,-0.003000000000000104,-143.23223850944683,744,894,-0.9814593494020853,-0.9892165986980618,230
SPY_5m_compiled_strategy_0,0.005,1638,-2.1883706286386557,-0.001336001604785504,0.033577533577533576,0.011233687609309751,-0.0050000000000001025,-129.093893911805,744,894,-1.0893204670741055,-1.0990501615645507,77
SPY_5m_compiled_strategy_0,0.01,1638,-2.341725627502546,-0.0014296249252152297,0.033577533577533576,0.011233687609309751,-0.01000000000000011,-112.89987336682906,744,894,-1.1688376277417998,-1.1728879997607464,13
SPY_5m_compiled_strategy_0,,1638,-2.4052140482211355,-0.0014683846448236481,0.033577533577533576,0.011233687609309751,-0.02589424315486995,-100.26823248653562,744,894,-1.2063502664530505,-1.198863781768085,0
SPY_5m_compiled_strategy_1,0.001,1752,-1.202477138129702,-0.0006863453984758572,0.04223744292237443,0.011295055644759433,-0.0010000000000001089,-122.39310406722541,815,937,-0.5861147150249213,-0.6163624231047805,1017
SPY_5m_compiled_strategy_1,0.002,1752,-1.7521476260526472,-0.0010000842614455749,0.04223744292237443,0.011295055644759433,-0.002000000000000109,-138.62658696618865,815,937,-0.8858249491118725,-0.8663226769407747,448
SPY_5m_compiled_strategy_1,0.003,1752,-2.03052402353826,-0.0011589748992798287,0.04223744292237443,0.011295055644759433,-0.0030000000000001076,-133.45772811192575,815,937,-1.0307752946538766,-0.9997487288843836,254
SPY_5m_compiled_strategy_1,0.005,1752,-2.286913623481192,-0.0013053159951376667,0.04223744292237443,0.011295055644759433,-0.005000000000000106,-121.36201667368896,815,937,-1.1593942263341277,-1.1275193971470643,90
SPY_5m_compiled_strategy_1,0.01,1752,-2.4913130121897566,-0.0014219823128936966,0.04223744292237443,0.011295055644759433,-0.01000000000000011,-105.30730180503149,815,937,-1.2616044391998193,-1.2297085729899373,21
SPY_5m_compiled_strategy_1,,1752,-2.5643544365079123,-0.0014636726235775755,0.04223744292237443,0.011295055644759433,-0.023417115302044374,-95.54578761528286,815,937,-1.2984087260198613,-1.2659457104880514,0
SPY_5m_compiled_strategy_10,0.001,267,-0.18288638984446895,-0.0006849677522264754,0.08239700374531835,0.009898719663672968,-0.001000000000000102,-97.23272853936766,115,152,-0.07376220715063864,-0.1091241826938303,194
SPY_5m_compiled_strategy_10,0.002,267,-0.30520327767574096,-0.0011430834369877939,0.08239700374531835,0.009898719663672968,-0.0020000000000001085,-130.35533124721405,115,152,-0.1475633033110365,-0.1576399743647044,110
SPY_5m_compiled_strategy_10,0.003,267,-0.36534016758908683,-0.0013683152344160555,0.08239700374531835,0.009898719663672968,-0.0030000000000000946,-132.22269637784632,115,152,-0.19077340476741345,-0.17456676282167344,56
SPY_5m_compiled_strategy_10,0.005,267,-0.4110796675201161,-0.001539624222921783,0.08239700374531835,0.009898719663672968,-0.005000000000000088,-124.65525340890579,115,152,-0.22553989752555684,-0.18553976999455923,18
SPY_5m_compiled_strategy_10,0.01,267,-0.43892606022688574,-0.0016439178285651151,0.08239700374531835,0.009898719663672968,-0.010000000000000075,-113.70835528384875,115,152,-0.2486477999412066,-0.1902782602856791,3
SPY_5m_compiled_strategy_10,,267,-0.4417019450194202,-0.0016543144008217983,0.08239700374531835,0.009898719663672968,-0.011739604661398019,-111.81219542668322,115,152,-0.24968408007234308,-0.19201786494707707,0
SPY_5m_compiled_strategy_11,0.001,578,-0.4138273527530363,-0.0007159642781194399,0.058823529411764705,0.00910845233500584,-0.0010000000000001078,-114.05004142668709,258,320,-0.1947784315395717,-0.21904892121346461,398
SPY_5m_compiled_strategy_11,0.002,578,-0.6503442401481878,-0.0011251630452390792,0.058823529411764705,0.00910845233500584,-0.00200000000000011,-141.23553968645467,258,320,-0.3322088128922011,-0.3181354272559868,202
SPY_5m_compiled_strategy_11,0.003,578,-0.7717278824342405,-0.0013351693467720425,0.058823529411764705,0.00910845233500584,-0.003000000000000104,-139.3037151748632,258,320,-0.40328405237384185,-0.36844383006039866,112
SPY_5m_compiled_strategy_11,0.005,578,-0.8678413288577957,-0.0015014555862591622,0.058823529411764705,0.00910845233500584,-0.005000000000000101,-129.49631650307245,258,320,-0.46139097230424275,-0.4064503565535529,34
SPY_5m_compiled_strategy_11,0.01,578,-0.9367533606295324,-0.0016206805547223744,0.058823529411764705,0.00910845233500584,-0.010000000000000045,-114.0574320364341,258,320,-0.5144585566077013,-0.4222948040218311,8
SPY_5m_compiled_strategy_11,,578,-0.9700112199106803,-0.001678220103651696,0.058823529411764705,0.00910845233500584,-0.023072313224131065,-100.46851543687053,258,320,-0.547232976353041,-0.42277824355763927,0
SPY_5m_compiled_strategy_12,0.001,769,-0.5441278436695269,-0.0007075784703114785,0.05201560468140442,0.00910845233500584,-0.0010000000000001078,-123.23212323496395,336,433,-0.2566043040656492,-0.28752353960387766,491
