strategy_id,period,multiplier,trades,win_rate,avg_return_pct,total_return_pct,annual_return_pct,compound_annual_pct
0,10,0.5,2547,68.38177533385704,0.003287321329792664,8.369520105652104,9.901967448940518,9.738948590128338
1,11,0.5,2446,68.83435582822086,0.00350810162499638,8.577308473116151,10.147801573827559,10.013226479609227
10,20,0.5,1838,73.54382144801306,0.009786271422639868,17.977380603389452,21.269013671615692,22.840700210241714
100,28,1.5,1169,70.74422583404619,0.0017982400214757333,2.1021425851051307,2.487041931673676,2.169466383200036
101,29,1.5,1163,71.6867469879518,0.003401596950650204,3.952655656655536,4.676381340268522,4.42708633651554
102,30,1.5,1155,72.09705372616985,0.0038316511761000726,4.421725457219479,5.231337160654031,5.002843880911101
103,31,1.5,1157,72.40484429065745,0.004179279692489741,4.831247324518135,5.71584190506371,5.51170516415207
104,32,1.5,1161,72.67241379310346,0.005363532996403855,6.221698275828472,7.360882467177348,7.21304536279217
105,33,1.5,1135,73.10405643738977,0.005068915701397953,5.74815040538527,6.800628648624826,6.605817816926929
106,34,1.5,1124,73.10774710596615,0.004777083056014344,5.3646642719041076,6.346926744224578,6.1157546978522825
107,35,1.5,1107,73.05605786618446,0.004766866781478673,5.27215466031541,6.237478753049217,6.001738298451187
108,36,1.5,1093,73.44322344322345,0.004987610511445557,5.446470678498548,6.443711788646168,6.219313276504135
109,37,1.5,1094,73.46752058554438,0.0036214562180582025,3.958251646337616,4.683001947779715,4.368328004305599
11,21,0.5,1791,74.63687150837988,0.01228805064355849,21.995610651969734,26.022975982612078,28.797096169720838
110,38,1.5,1077,73.14126394052045,0.0013813977326091076,1.4863839602873998,1.7585387699174873,1.3515698749120064
111,39,1.5,1083,74.21441774491682,0.002588764317826341,2.8010429918880977,3.3139100185718333,2.9106986680414115
112,40,1.5,1090,74.10468319559229,0.003510182600840963,3.822588852315803,4.522499487246866,4.160822950734611
113,41,1.5,1090,74.01285583103765,0.0027430973958466505,2.9872330640769973,3.5341912307389833,3.141601726528709
114,42,1.5,1090,74.83930211202939,0.003623683041361545,3.946190832042719,4.668732815374485,4.295413556830852
115,43,1.5,1073,75.09328358208955,0.0031876487588109216,3.417159469445304,4.042836555400077,3.6423684904632214
116,44,1.5,1063,74.76459510357816,0.0029152989455772968,3.0960474802030893,3.6629294131980212,3.2420128773996026
117,45,1.5,1052,75.16650808753568,0.0030353910892091693,3.1901960347588334,3.7743164354893244,3.364020016476954
118,46,1.5,1047,75.62141491395793,0.002427100548635431,2.538747173872659,3.003588205708498,2.5628527294004666
119,47,1.5,1044,76.0306807286673,0.003958504284225588,4.128719968447281,4.884682779571431,4.492394276084566
12,22,0.5,1761,75.68181818181819,0.012660407591308645,22.282317360703214,26.362178285902395,29.228369712324387
120,48,1.5,1044,76.3183125599233,0.005978235995021714,6.235300142807659,7.376974816842864,7.131853826986734
121,49,1.5,1031,76.2135922330097,0.00568441110059186,5.8549434336096216,6.926975329904342,6.640884487214205
122,50,1.5,1028,76.33885102239533,0.005139090060567735,5.277845492203073,6.244211568240256,5.915582200761338
123,10,2.0,267,57.67790262172284,0.0012908689333978743,0.3446620052172329,0.4077691329330643,0.36430870178354446
124,11,2.0,341,57.77126099706745,0.007777871999271152,2.65225435175146,3.137878387987643,3.1171537302961516
125,12,2.0,422,60.90047393364929,0.005785971983946267,2.441680177225321,2.888748378689112,2.8456576432754233
126,13,2.0,477,63.312368972746334,0.004558480749175068,2.174395317356507,2.5725240374358673,2.510531866291865
127,14,2.0,532,62.78195488721805,0.00019541927316044032,0.10396305332135301,0.12299854195765708,0.01016081395173174
128,15,2.0,576,63.541666666666664,-0.0010896314068219678,-0.6276276903294538,-0.7425454364461143,-0.886191687743898
129,16,2.0,608,64.63815789473685,-0.0006745345601989228,-0.41011701260094646,-0.48520885997858454,-0.6469051283325644
13,23,0.5,1727,75.20278099652376,0.011142431626426781,19.23183698721262,22.7531592524769,24.646537418287462
130,17,2.0,660,65.30303030303031,-0.00022472501317551258,-0.14831850869583776,-0.17547541873873765,-0.34609210466304274
131,18,2.0,701,64.76462196861627,-0.002434127344263123,-1.7063232683284504,-2.0187486554871805,-2.1495151358264075
132,19,2.0,738,65.71815718157181,0.00017018952244638884,0.12559986756543545,0.14859702641544476,-0.012617809672121894
133,20,2.0,765,66.53594771241829,0.0011508352387891378,0.8803889576736847,1.041586935839289,0.8807307129687914
134,21,2.0,789,66.92015209125475,-0.0029400766762883116,-2.3197204975914767,-2.7444580534885077,-2.887969399023871
135,22,2.0,798,67.91979949874687,-0.003901482147176955,-3.1133827534472114,-3.683438750557264,-3.7956406256869135
136,23,2.0,829,68.27503015681545,-0.002142317806548748,-1.7759814616289074,-2.10116116587082,-2.2721031586943274
