signal_count,strategy_count,avg_trades,avg_return_bps,avg_total_return,avg_win_rate,avg_sharpe,avg_long_bps,avg_short_bps,long_win_rate,short_win_rate,filter_reduction,return_improvement,filter_type
47,11,23.0,4.089710912873914,0.0094507137071575,0.6086956521739131,0.2429508452764485,7.103331517393583,1.771541217089552,0.5,0.6923076923076923,98.64981327204826,1647.6364685887922,Master Regime (Vol+VWAP+Time)
303,11,151.0,0.7648769149913764,0.0116165960438217,0.5960264900662252,0.0453727579135262,2.5111051485046736,-0.8694136112454272,0.6301369863013698,0.5641025641025641,91.29560471128984,226.85116848058016,RSI/Volume Combination
2826,11,1429.0,0.6780880696683932,0.1017488546385421,0.7368789363191043,0.0250295333974852,1.1597160261077966,0.2565055933625111,0.7511244377811095,0.7244094488188977,18.81643205975294,189.76410917873517,Minimal RSI Filter
3261,11,1644.0,0.5456453203791243,0.0938505552258757,0.7062043795620438,0.0237739729532856,0.99413967138548,0.157221722401997,0.7182175622542595,0.695800227014756,6.320022981901752,133.1679869615205,Unknown
3262,11,1638.0,0.454462943417572,0.0772818144825076,0.6794871794871795,0.0246960472360976,0.9112816444810604,0.0742916754184275,0.6948924731182796,0.6666666666666666,6.291295604711289,94.20346094355835,Baseline (No Filter)
2305,11,1173.0,0.4200663460579005,0.0505079219445721,0.7698209718670077,0.0142303114016074,1.8784803845620557,-0.8807448850595158,0.7902350813743219,0.7516129032258064,33.78339557598391,79.50492864585996,Light Volume Filter
1500,11,751.0,0.4149926019613302,0.0316566873401751,0.6324900133155792,0.0231318538691221,0.7647202684282635,0.1241215427778562,0.6363636363636364,0.6292682926829268,56.90893421430623,77.3367900159287,Long-Only Variant
2326,11,1170.0,0.3159608771351297,0.0376592160739235,0.7196581196581197,0.0141293607570529,0.7858401759878325,-0.0509311781334189,0.7270955165692008,0.7138508371385084,33.1801206549842,35.01803997696873,Unknown
2073,11,1044.0,0.2997874551825988,0.0317927366618824,0.7586206896551724,0.010673750882512,0.8535044357779056,-0.157125857476465,0.75,0.7657342657342657,40.44814708417122,28.106729464252076,Unknown
3481,11,1752.0,0.2340138230335932,0.041851294771783,0.684931506849315,0.0123859594520389,0.880302925213622,-0.3281266447110423,0.7042944785276074,0.6680896478121665,0.0,0.0,Baseline (No Filter)
1202,11,601.0,0.2219441703799135,0.0134282039023982,0.6955074875207987,0.0095432227882321,0.6051536053772386,-0.0547571981568371,0.7142857142857143,0.6819484240687679,65.46969261706406,-5.157666541752571,Unknown
1535,11,769.0,0.1881923167588433,0.0145772153920615,0.6671001300390117,0.0097831361546434,0.3074591193307397,0.095643481506748,0.6815476190476191,0.6558891454965358,55.903476012640056,-19.58068360268279,Unknown
2107,11,1057.0,0.1430031728870255,0.0152302513357625,0.6679280983916746,0.0071443917878361,0.6652643968317875,-0.2640792289419729,0.673866090712743,0.6632996632996633,39.47141625969549,-38.89114282514111,Unknown
535,11,267.0,0.1220069106979065,0.0032628962102709,0.5767790262172284,0.0072943872567358,1.0071731518070697,-0.5476912322465254,0.5739130434782609,0.5789473684210527,84.63085320310255,-47.863374429641226,Time of Day Filter
2337,11,1173.0,0.0850840102027655,0.0100303242342707,0.6760443307757886,0.0042790988447041,0.7037298511615808,-0.4041656777616104,0.6891891891891891,0.665648854961832,32.864119505889114,-63.64145967969099,Unknown
161,11,80.0,0.0505420897764747,0.0004044184733211,0.55,0.0031197705391078,1.8531378218668404,-1.4243089637520068,0.5277777777777778,0.5681818181818182,95.37489227233552,-78.40209218358038,Strong Volatility Filter
529,11,264.0,-0.0134806957485637,-0.0003558270462972,0.6022727272727273,-0.0006173914157938,0.976932708223757,-0.9041402316948948,0.608,0.5971223021582733,84.80321746624533,-105.760640791988,VWAP Positioning
914,11,457.0,-0.0199763151559592,-0.0009125010201308,0.6301969365426696,-0.000909553018171,0.3152928029879059,-0.283214958698603,0.6417910447761194,0.62109375,73.74317724791726,-108.53638255082546,Unknown
1155,11,578.0,-0.0272092150494376,-0.001571456596855,0.6366782006920415,-0.001294353741693,-0.2355637438281376,0.1407766237783894,0.6511627906976745,0.625,66.81987934501579,-111.62718282908088,Unknown
1315,11,658.0,-0.0659253753291918,-0.0043284946429622,0.6884498480243161,-0.0032043533875421,-0.1376586672391105,-0.0111157555052596,0.6947368421052632,0.6836461126005362,62.223498994541806,-128.1715731466547,Unknown
587,11,293.0,-0.1579079051461284,-0.0046160149245751,0.590443686006826,-0.0083358016483846,0.4588722506160699,-0.7222819038827807,0.5571428571428572,0.6209150326797386,83.1370295891985,-167.47802463081868,Directional RSI
1745,11,875.0,-0.1627473430026443,-0.014139477713306,0.7405714285714285,-0.0060274317263607,1.0311445471392946,-1.186807478071314,0.7648514851485149,0.7197452229299363,49.87072680264292,-169.54603830359267,Unknown
1510,11,756.0,-0.3376358044094847,-0.025202251378198,0.7235449735449735,-0.0127569951572322,1.2523890991578788,-1.6652294132133032,0.75,0.7014563106796117,56.62166044240161,-244.2802822639312,Unknown
1781,11,893.0,-0.381951428101911,-0.0335331331742493,0.6741321388577828,-0.0176869896317691,-0.1211273350227063,-0.5832620872443927,0.6812339331619537,0.6686507936507936,48.83654122378627,-263.21746431495245,Unknown
871,11,436.0,-0.6398204168556274,-0.0275106650430417,0.6169724770642202,-0.0268143311938144,-1.5307756769768694,0.0355811513007982,0.6223404255319149,0.6129032258064516,74.97845446710716,-373.4113773970436,Unknown
