strategy_id,completed_trades,trading_days,trades_per_day,avg_return_pct,total_return_pct,win_rate,signal_frequency,annualized_return_pct
1029,401,212.47435897435898,1.887286550413323,0.03341340791766185,13.398776574982401,0.7855361596009975,0.04881433657153201,15.891290192352264
1054,372,212.47435897435898,1.7507994931515114,0.03408471843007285,12.6795152559871,0.7903225806451613,0.04531466843661377,15.03822795339905
1203,773,212.65384615384616,3.6350153734852593,0.015214972077597054,11.761173415982523,0.741267787839586,0.09489359136673299,13.937277667121991
1004,427,212.47435897435898,2.009654256923912,0.027092691228574807,11.568579154601444,0.775175644028103,0.051951970071803535,13.72062944927569
77,1104,212.57692307692307,5.193414148724444,0.010475715383195635,11.56518978304798,0.7164855072463768,0.1341897352391291,13.709991579252826
1153,917,212.92307692307693,4.306719653179191,0.012162666209392554,11.153164914012972,0.7382769901853872,0.11229527938342967,13.200060786960439
1178,834,212.92307692307693,3.916907514450867,0.013333746138892658,11.120344279836477,0.7398081534772182,0.10211946050096339,13.161216712696639
652,752,212.9102564102564,3.5320045763834527,0.014373136249822107,10.808598459866225,0.6901595744680851,0.0911061600529897,12.793027718861355
2504,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,0.786618444846293,0.06678733031674208,12.728005445075041
2354,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,0.786618444846293,0.06678733031674208,12.728005445075041
2429,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,0.786618444846293,0.06678733031674208,12.728005445075041
2404,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,0.786618444846293,0.06678733031674208,12.728005445075041
2329,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,0.786618444846293,0.06678733031674208,12.728005445075041
2479,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,0.786618444846293,0.06678733031674208,12.728005445075041
2304,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,0.786618444846293,0.06678733031674208,12.728005445075041
2379,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,0.786618444846293,0.06678733031674208,12.728005445075041
2454,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,0.786618444846293,0.06678733031674208,12.728005445075041
1127,535,212.57692307692307,2.5167360231590377,0.01967114652523089,10.524063390998526,0.7233644859813084,0.06513479283517279,12.475784935375854
1103,639,212.92307692307693,3.0010838150289016,0.01621093156110108,10.358785267543592,0.7417840375586855,0.07779383429672447,12.25989181230954
1126,559,212.57692307692307,2.629636330740004,0.018483034450085922,10.332016257598031,0.7245080500894454,0.06796936252337012,12.248122040850788
103,1395,212.97435897435898,6.55008427642668,0.007370309053014453,10.281581128955162,0.7433691756272401,0.1701179869973513,12.165588651019906
1101,619,212.57692307692307,2.9118870996924193,0.016570551989718487,10.257171681635745,0.7221324717285945,0.07520656172727821,12.159397296558241
78,1250,212.97435897435898,5.869251143751505,0.008189984296976585,10.23748037122073,0.7464,0.15229954249939803,12.113406824988843
1128,592,212.57692307692307,2.7848742536638325,0.017252799388459635,10.213657237968105,0.7432432432432432,0.07225137205234908,12.107812958778185
753,811,212.92307692307693,3.808887283236994,0.012502190120355656,10.139276187608438,0.7287299630086314,0.09838631984585741,12.000097106432529
76,1102,212.57692307692307,5.184005789759364,0.009164353339382333,10.099117379999331,0.6996370235934665,0.13370725529220193,11.97203131423116
1102,587,212.57692307692307,2.761353356251131,0.017173203253231663,10.080670309646985,0.717206132879046,0.07146734213859236,11.95016317510531
1202,854,212.65384615384616,4.015916078856936,0.011790260153659336,10.068882171225072,0.7072599531615925,0.10447941158738772,11.931871221896666
54,608,212.5,2.8611764705882354,0.0162843026050618,9.900855983877573,0.7845394736842105,0.07378582202111614,11.741250390292462
627,939,212.9102564102564,4.410308905883062,0.010404627412475952,9.76994514031492,0.6890308839190629,0.11410850846028783,11.563680476788708
128,851,212.92307692307693,3.9967485549132946,0.01144334091029565,9.738283114661597,0.72737955346651,0.10428709055876687,11.525511374144289
27,577,212.23076923076923,2.7187386734324033,0.01682094111541933,9.705683023596952,0.7140381282495667,0.06977165639724538,11.524399269772967
1177,942,212.65384615384616,4.429734129137276,0.01022632549063342,9.633198612176683,0.7070063694267515,0.11509013082534515,11.415575566464392
153,791,212.65384615384616,3.719659974678965,0.012071225857505193,9.548339653286607,0.7243994943109987,0.09718454211129197,11.315015628202904
2703,791,212.65384615384616,3.719659974678965,0.012071225857505193,9.548339653286607,0.7243994943109987,0.09718454211129197,11.315015628202904
728,922,212.92307692307693,4.330202312138728,0.010255816142149703,9.455862483062026,0.720173535791757,0.11235549132947976,11.191259210444796
1078,712,212.92307692307693,3.34393063583815,0.013071383251643094,9.306824875169884,0.7345505617977528,0.08664499036608864,11.014869324803662
1201,854,212.64102564102564,4.016158205715664,0.010880752780050634,9.29216287416324,0.7072599531615925,0.10418425177860846,11.012103789614896
752,929,212.9102564102564,4.363340759920516,0.009966044263178838,9.258455120493142,0.697524219590958,0.11260311916661649,10.958282281472464
754,608,212.75641025641025,2.8577282313949985,0.015101404498275321,9.181653934951397,0.7582236842105263,0.07423922868333835,10.875238912046077
303,1395,212.97435897435898,6.55008427642668,0.006505305663804389,9.074901401007123,0.7383512544802867,0.1701179869973513,10.737795686142306
253,1395,212.97435897435898,6.55008427642668,0.006505305663804389,9.074901401007123,0.7383512544802867,0.1701179869973513,10.737795686142306
3,1395,212.97435897435898,6.55008427642668,0.006505305663804389,9.074901401007123,0.7383512544802867,0.1701179869973513,10.737795686142306
