strategy_id,completed_trades,trading_days,trades_per_day,avg_return_pct,total_return_simple_pct,total_return_compound_pct,win_rate,signal_frequency,annualized_simple_pct,annualized_compound_pct,annualized_by_trade_pct,geometric_mean_return_pct
1029,401,212.47435897435898,1.887286550413323,0.03341340791766185,13.398776574982401,14.090938106141259,0.7855361596009975,0.04881433657153201,15.891290192352264,16.923369670221746,16.923369670220477,0.03287963037443831
1054,372,212.47435897435898,1.7507994931515114,0.03408471843007285,12.6795152559871,13.27968737879508,0.7903225806451613,0.04531466843661377,15.03822795339905,15.937972292334578,15.937972292336223,0.03352435047532243
1203,773,212.65384615384616,3.6350153734852593,0.015214972077597054,11.761173415982523,12.0406033557372,0.741267787839586,0.09489359136673299,13.937277667121991,14.42241261154722,14.422412611555412,0.014708862962953262
1004,427,212.47435897435898,2.009654256923912,0.027092691228574807,11.568579154601444,12.019848467084792,0.775175644028103,0.051951970071803535,13.72062944927569,14.410294231846276,14.410294231845278,0.02658570856337583
77,1104,212.57692307692307,5.193414148724444,0.010475715383195635,11.56518978304798,11.958700519131327,0.7164855072463768,0.1341897352391291,13.709991579252826,14.32883697705054,14.328836977038595,0.010232395932141536
1153,917,212.92307692307693,4.306719653179191,0.012162666209392554,11.153164914012972,11.336626407715777,0.7382769901853872,0.11229527938342967,13.200060786960439,13.552671051323761,13.552671051324005,0.01171149232792601
1178,834,212.92307692307693,3.916907514450867,0.013333746138892658,11.120344279836477,11.311182258967523,0.7398081534772182,0.10211946050096339,13.161216712696639,13.521958498133756,13.52195849812281,0.012849690823291127
652,752,212.9102564102564,3.5320045763834527,0.014373136249822107,10.808598459866225,11.185077466703364,0.6901595744680851,0.0911061600529897,12.793027718861355,13.370618410144619,13.370618410136249,0.014100194965438462
2379,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,11.059865847128613,0.786618444846293,0.06678733031674208,12.728005445075041,13.246663023265004,13.246663023263539,0.018970913516636045
2429,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,11.059865847128613,0.786618444846293,0.06678733031674208,12.728005445075041,13.246663023265004,13.246663023263539,0.018970913516636045
2404,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,11.059865847128613,0.786618444846293,0.06678733031674208,12.728005445075041,13.246663023265004,13.246663023263539,0.018970913516636045
2504,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,11.059865847128613,0.786618444846293,0.06678733031674208,12.728005445075041,13.246663023265004,13.246663023263539,0.018970913516636045
2454,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,11.059865847128613,0.786618444846293,0.06678733031674208,12.728005445075041,13.246663023265004,13.246663023263539,0.018970913516636045
2304,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,11.059865847128613,0.786618444846293,0.06678733031674208,12.728005445075041,13.246663023265004,13.246663023263539,0.018970913516636045
2329,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,11.059865847128613,0.786618444846293,0.06678733031674208,12.728005445075041,13.246663023265004,13.246663023263539,0.018970913516636045
2354,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,11.059865847128613,0.786618444846293,0.06678733031674208,12.728005445075041,13.246663023265004,13.246663023263539,0.018970913516636045
2479,553,212.5,2.6023529411764708,0.019408573416849265,10.732941099517644,11.059865847128613,0.786618444846293,0.06678733031674208,12.728005445075041,13.246663023265004,13.246663023263539,0.018970913516636045
1127,535,212.57692307692307,2.5167360231590377,0.01967114652523089,10.524063390998526,10.880100243622115,0.7233644859813084,0.06513479283517279,12.475784935375854,13.02430800098444,13.024308000988949,0.01930639681433366
1126,559,212.57692307692307,2.629636330740004,0.018483034450085922,10.332016257598031,10.69475024698514,0.7245080500894454,0.06796936252337012,12.248122040850788,12.800369946826917,12.800369946819302,0.018178079447150886
1101,619,212.57692307692307,2.9118870996924193,0.016570551989718487,10.257171681635745,10.603950147803353,0.7221324717285945,0.07520656172727821,12.159397296558241,12.690691521972731,12.690691521979813,0.016283331743149887
1103,639,212.92307692307693,3.0010838150289016,0.01621093156110108,10.358785267543592,10.596504787440985,0.7417840375586855,0.07779383429672447,12.25989181230954,12.659828845611965,12.659828845604327,0.015763104581245635
1128,592,212.57692307692307,2.7848742536638325,0.017252799388459635,10.213657237968105,10.443795248265708,0.7432432432432432,0.07225137205234908,12.107812958778185,12.497279386174043,12.49727938618248,0.016781233107843185
1102,587,212.57692307692307,2.761353356251131,0.017173203253231663,10.080670309646985,10.380570522121936,0.717206132879046,0.07146734213859236,11.95016317510531,12.420939937169484,12.420939937162668,0.016826618364862433
76,1102,212.57692307692307,5.184005789759364,0.009164353339382333,10.099117379999331,10.373166705295112,0.6996370235934665,0.13370725529220193,11.97203131423116,12.41200087482679,12.412000874831008,0.008956559252459861
78,1250,212.97435897435898,5.869251143751505,0.008189984296976585,10.23748037122073,10.380683782134682,0.7464,0.15229954249939803,12.113406824988843,12.396516737079777,12.396516737092123,0.00790150949723234
753,811,212.92307692307693,3.808887283236994,0.012502190120355656,10.139276187608438,10.342603909954518,0.7287299630086314,0.09838631984585741,12.000097106432529,12.35378888523675,12.353788885231488,0.01213636161800924
103,1395,212.97435897435898,6.55008427642668,0.007370309053014453,10.281581128955162,10.304122050908692,0.7433691756272401,0.1701179869973513,12.165588651019906,12.304277196070856,12.304277196062374,0.00703043428054162
1202,854,212.65384615384616,4.015916078856936,0.011790260153659336,10.068882171225072,10.258198697838349,0.7072599531615925,0.10447941158738772,11.931871221896666,12.268506121447121,12.268506121441325,0.011435629249167967
