strategy_id,period,multiplier,filter_id,trades,total_return,annual_return,win_rate
0,10,1.0,0,1623,8.931205800037038,10.56649700286072,0.6800246609124537
10,10,2.0,0,267,0.2583492209659993,0.3056525994527316,0.575187969924812
20,10,3.0,0,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
30,10,1.5,1,325,2.8036144727032424,3.3169523339024276,0.6265432098765432
40,10,2.5,1,35,0.5159073307546296,0.6103692363857589,0.5294117647058824
50,10,1.0,2,743,6.6628444114916485,7.8828018389478665,0.6940700808625337
60,10,2.0,2,115,1.0491106423784713,1.2412013233773462,0.5701754385964912
70,10,3.0,2,10,0.805386786619698,0.9528519729021779,0.5555555555555556
80,10,1.5,3,354,2.3413620561610684,2.7700621509511234,0.6288951841359773
90,10,2.5,3,36,0.5159073307546296,0.6103692363857589,0.5142857142857142
100,10,1.0,4,1459,7.642958863175056,9.042373866291616,0.6803840877914952
110,10,2.0,4,135,1.2633426108794623,1.4946588635757019,0.5597014925373134
120,10,3.0,4,10,0.805386786619698,0.9528519729021779,0.5555555555555556
130,10,1.5,5,490,1.1925435444795276,1.410896587834934,0.6359918200408998
140,10,2.5,5,67,-0.0023692520948984377,-0.00280305881649956,0.5303030303030303
150,10,1.0,6,857,4.473652922551883,5.292772471751523,0.6728971962616822
160,10,2.0,6,205,0.9726227920255653,1.15070865535419,0.5882352941176471
170,10,3.0,6,22,0.7999070109431794,0.9463688580172827,0.5714285714285714
180,10,1.5,7,340,1.5242582750869549,1.8033478184127354,0.6489675516224189
190,10,2.5,7,55,0.12121401295423671,0.14340812800219555,0.5370370370370371
200,10,1.0,8,371,2.262981623119842,2.6773303710150245,0.6756756756756757
210,10,2.0,8,105,0.6311295152081241,0.7466884405279215,0.625
220,10,3.0,8,19,0.701667847607023,0.8301422422392948,0.5555555555555556
230,10,1.5,9,748,2.554655647629305,3.0224094986036847,0.6305220883534136
240,10,2.5,9,80,-0.1151187468128382,-0.13619682721518886,0.5443037974683544
250,10,1.0,10,1623,8.931205800037038,10.56649700286072,0.6800246609124537
260,10,2.0,10,267,0.2583492209659993,0.3056525994527316,0.575187969924812
270,10,3.0,10,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
280,10,1.5,11,748,2.554655647629305,3.0224094986036847,0.6305220883534136
290,10,2.5,11,80,-0.1151187468128382,-0.13619682721518886,0.5443037974683544
300,10,1.0,12,1623,8.931205800037038,10.56649700286072,0.6800246609124537
310,10,2.0,12,267,0.2583492209659993,0.3056525994527316,0.575187969924812
320,10,3.0,12,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
330,10,1.5,13,748,2.554655647629305,3.0224094986036847,0.6305220883534136
340,10,2.5,13,80,-0.1151187468128382,-0.13619682721518886,0.5443037974683544
350,10,1.0,14,1623,8.931205800037038,10.56649700286072,0.6800246609124537
360,10,2.0,14,267,0.2583492209659993,0.3056525994527316,0.575187969924812
370,10,3.0,14,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
380,10,1.5,15,605,2.405496938715694,2.8459400401706803,0.6208609271523179
390,10,2.5,15,79,-0.1151187468128382,-0.13619682721518886,0.5512820512820513
400,10,1.0,16,942,2.8747066994593005,3.401061447247623,0.6769394261424017
410,10,2.0,16,251,0.5174723722130029,0.6122208347308766,0.572
420,10,3.0,16,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
430,10,1.5,17,539,1.944098602380294,2.30006031830908,0.6152416356877324
440,10,2.5,17,79,-0.1151187468128382,-0.13619682721518886,0.5512820512820513
450,10,1.0,18,501,0.4735837118169809,0.5602962224313577,0.664
460,10,2.0,18,233,0.4515927370175578,0.5342787311193642,0.5818965517241379
470,10,3.0,18,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
480,10,1.5,19,692,2.9999583727168715,3.549246525467848,0.6338639652677279
490,10,2.5,19,79,-0.1151187468128382,-0.13619682721518886,0.5512820512820513
500,10,1.0,20,1097,4.193311868347198,4.961101365368516,0.6742700729927007
510,10,2.0,20,262,-0.07620839431821598,-0.09016204398211468,0.5708812260536399
520,10,3.0,20,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
530,10,1.5,21,626,2.5385600363814698,3.0033668036062457,0.6304
540,10,2.5,21,79,-0.1151187468128382,-0.13619682721518886,0.5512820512820513
550,10,1.0,22,660,1.9395082769527578,2.2946295107610095,0.6631259484066768
560,10,2.0,22,244,-0.14208802951366106,-0.16810414759362718,0.5802469135802469
570,10,3.0,22,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
580,10,1.5,23,731,2.847730772457007,3.3691462660054734,0.626027397260274
590,10,2.5,23,79,-0.1151187468128382,-0.13619682721518886,0.5512820512820513
600,10,1.0,24,1288,8.222188382173393,9.727659494402323,0.6783216783216783
610,10,2.0,24,266,0.2583492209659993,0.3056525994527316,0.5773584905660377
620,10,3.0,24,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
630,10,1.5,25,665,2.3863324361216036,2.823266544143869,0.6219879518072289
640,10,2.5,25,79,-0.1151187468128382,-0.13619682721518886,0.5512820512820513
650,10,1.0,26,852,6.240570895580392,7.383210637024689,0.6721504112808461
660,10,2.0,26,248,0.19246958577055395,0.22771049584121875,0.5870445344129555
670,10,3.0,26,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
680,10,1.5,27,743,2.3811269349155277,2.817107922998652,0.6293800539083558
690,10,2.5,27,80,-0.1151187468128382,-0.13619682721518886,0.5443037974683544
700,10,1.0,28,1407,7.994840318682995,9.458684320695374,0.6813655761024182
710,10,2.0,28,267,0.2583492209659993,0.3056525994527316,0.575187969924812
720,10,3.0,28,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
730,10,1.5,29,677,1.9197285985801276,2.271228201137052,0.6257396449704142
740,10,2.5,29,80,-0.1151187468128382,-0.13619682721518886,0.5443037974683544
750,10,1.0,30,971,5.784823785448722,6.844016872925249,0.6762886597938145
760,10,2.0,30,249,0.19246958577055395,0.22771049584121875,0.5846774193548387
770,10,3.0,30,23,0.9151891380251048,1.0827589801987154,0.5909090909090909
780,10,1.5,31,420,1.7607398893234976,2.0831288831432926,0.6348448687350835
790,10,2.5,31,48,-0.18692399888043879,-0.22114951980220926,0.574468085106383
800,10,1.0,32,902,6.925339709754791,8.193359656611303,0.6759156492785794
810,10,2.0,32,161,1.0638709216713957,1.2586641890196795,0.5875
820,10,3.0,32,18,1.1798371021182716,1.3958636137737297,0.6470588235294118
830,10,1.5,33,413,1.2435458415431346,1.4712373336566662,0.6286407766990292
840,10,2.5,33,47,-0.13412878564644226,-0.15868757738452324,0.5869565217391305
850,10,1.0,34,903,7.478582539333939,8.847900469071138,0.6773835920177383
860,10,2.0,34,160,0.9114664823986608,1.0783547115702465,0.5849056603773585
870,10,3.0,34,18,1.1798371021182716,1.3958636137737297,0.6470588235294118
880,10,1.5,35,414,2.1945527516899497,2.596372269605011,0.6319612590799032
890,10,2.5,35,47,-0.13412878564644226,-0.15868757738452324,0.5869565217391305
900,10,1.0,36,891,6.863987518949244,8.120773966080797,0.6730337078651686
910,10,2.0,36,159,0.6201151204776969,0.7336573256355851,0.5822784810126582
920,10,3.0,36,18,1.1798371021182716,1.3958636137737297,0.6470588235294118
930,10,1.5,37,415,2.270289783126115,2.6859766448252627,0.6328502415458938
940,10,2.5,37,48,-0.04346572437762507,-0.05142423729183811,0.5957446808510638
950,10,1.0,38,890,7.5173489096422434,8.893764907182373,0.6749156355455568
960,10,2.0,38,159,1.1995397320162715,1.4191737674558706,0.5822784810126582
970,10,3.0,38,18,1.3232953766210853,1.565588896284101,0.7058823529411765
980,10,1.5,39,408,1.7530957353457548,2.0740850953386394,0.6265356265356266
990,10,2.5,39,47,0.00932948885637155,0.011037705125848032,0.6086956521739131
1000,10,1.0,40,504,3.554813177117308,4.205694463068364,0.6779324055666004
1010,10,2.0,40,105,1.7479482745187216,2.067995141684121,0.5961538461538461
1020,10,3.0,40,10,0.805386786619698,0.9528519729021779,0.5555555555555556
1030,10,1.5,41,243,0.9779458786068695,1.157006391591226,0.6322314049586777
1040,10,2.5,41,34,0.6283135013020323,0.743356818441841,0.5151515151515151
1050,10,1.0,42,421,3.653275766333359,4.322185413690171,0.6738095238095239
1060,10,2.0,42,101,1.570760192754439,1.858364171709477,0.58
1070,10,3.0,42,10,0.805386786619698,0.9528519729021779,0.5555555555555556
1080,10,1.5,43,266,1.2969719121452197,1.5344456425380062,0.6377358490566037
1090,10,2.5,43,35,0.6980776983161208,0.8258947416697767,0.5294117647058824
