strategy,total_signals,long_signals,short_signals,neutral_signals,long_pct,short_pct,signal_frequency,avg_trade_duration_bars,freq_bin
SPY_5m_compiled_strategy_854,1300,0,0,0,0.0,0.0,0.07835573503706829,0,5-10%
SPY_5m_compiled_strategy_855,837,0,0,0,0.0,0.0,0.05041257604047461,0,5-10%
SPY_5m_compiled_strategy_856,1200,0,0,0,0.0,0.0,0.07226738934056007,0,5-10%
SPY_5m_compiled_strategy_857,1337,0,0,0,0.0,0.0,0.08051306756594002,0,5-10%
SPY_5m_compiled_strategy_858,1358,0,0,0,0.0,0.0,0.08173829300589865,0,5-10%
SPY_5m_compiled_strategy_859,1168,0,0,0,0.0,0.0,0.07031061882976161,0,5-10%
SPY_5m_compiled_strategy_875,1797,0,0,0,0.0,0.0,0.1082204155374887,0,10-15%
SPY_5m_compiled_strategy_876,1908,0,0,0,0.0,0.0,0.11489822955558232,0,10-15%
SPY_5m_compiled_strategy_877,1786,0,0,0,0.0,0.0,0.10754501113988077,0,10-15%
SPY_5m_compiled_strategy_878,1599,0,0,0,0.0,0.0,0.09625571875752469,0,5-10%
SPY_5m_compiled_strategy_879,1290,0,0,0,0.0,0.0,0.07775299861370623,0,5-10%
SPY_5m_compiled_strategy_880,829,0,0,0,0.0,0.0,0.049930735409263384,0,0-5%
SPY_5m_compiled_strategy_881,1190,0,0,0,0.0,0.0,0.0716651610960554,0,5-10%
SPY_5m_compiled_strategy_882,1323,0,0,0,0.0,0.0,0.07966999879561604,0,5-10%
SPY_5m_compiled_strategy_883,1342,0,0,0,0.0,0.0,0.0807752497893343,0,5-10%
SPY_5m_compiled_strategy_884,1162,0,0,0,0.0,0.0,0.0699494341439923,0,5-10%
SPY_5m_compiled_strategy_900,1785,0,0,0,0.0,0.0,0.10749774164408311,0,10-15%
SPY_5m_compiled_strategy_901,1897,0,0,0,0.0,0.0,0.11423581837889919,0,10-15%
SPY_5m_compiled_strategy_902,1779,0,0,0,0.0,0.0,0.1071235021376528,0,10-15%
SPY_5m_compiled_strategy_903,1588,0,0,0,0.0,0.0,0.09559354683361425,0,5-10%
SPY_5m_compiled_strategy_904,1285,0,0,0,0.0,0.0,0.0774516304020252,0,5-10%
SPY_5m_compiled_strategy_905,823,0,0,0,0.0,0.0,0.049569354935854966,0,0-5%
SPY_5m_compiled_strategy_906,1180,0,0,0,0.0,0.0,0.07106293285155074,0,5-10%
SPY_5m_compiled_strategy_907,1314,0,0,0,0.0,0.0,0.07912802601469349,0,5-10%
SPY_5m_compiled_strategy_908,1335,0,0,0,0.0,0.0,0.0803539183820874,0,5-10%
