strategy_id,strategy_hash,strategy_type,symbol,timeframe,param_period,param_std_dev,param_fast_period,param_slow_period,param_multiplier,full_config,constraints,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades
SPY_5m_bollinger_bands_13_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_13_25.parquet,-0.008336420544640455,-0.3891407156084313,-0.024311175922985373,667
SPY_5m_bollinger_bands_13_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_13_30.parquet,0.004403479392209642,0.3559318213596063,-0.014821774378004027,199
SPY_5m_bollinger_bands_14_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_14_10.parquet,0.14469915297405622,1.4484130775611452,-0.03711440705824787,3171
SPY_5m_bollinger_bands_14_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_14_15.parquet,0.18262047508436918,2.0789979756604264,-0.02763897938150195,2906
SPY_5m_bollinger_bands_14_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_14_20.parquet,0.05059662021702094,1.036157935668225,-0.038916198738603525,1632
SPY_5m_bollinger_bands_14_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_14_25.parquet,0.00013796690543754764,0.01663428243000994,-0.01914538551093481,699
SPY_5m_bollinger_bands_14_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_14_30.parquet,0.009616990266910763,0.7141853620812029,-0.013972153077336902,259
SPY_5m_bollinger_bands_15_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_15_10.parquet,0.12560131344884518,1.263109818489737,-0.04475539214904778,3139
SPY_5m_bollinger_bands_15_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_15_15.parquet,0.19060905727344402,2.153994168250013,-0.033604304925070716,2891
SPY_5m_bollinger_bands_15_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_15_20.parquet,0.03720554759463446,0.7855345998662169,-0.03732611480944281,1674
SPY_5m_bollinger_bands_15_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_15_25.parquet,-4.089967573372988e-05,0.009406360129882304,-0.020501015292996305,737
SPY_5m_bollinger_bands_15_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_15_30.parquet,0.0030394680408181163,0.22205393990449018,-0.017532492508110287,289
SPY_5m_bollinger_bands_16_10,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_16_10.parquet,0.09138534328254377,0.9398024969854452,-0.04973733417540638,3082
SPY_5m_bollinger_bands_16_15,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_16_15.parquet,0.20929915599213755,2.336025219728495,-0.037725323536951905,2922
SPY_5m_bollinger_bands_16_20,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_16_20.parquet,0.065040576722871,1.3455064804359351,-0.04375745958183952,1656
SPY_5m_bollinger_bands_16_25,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_16_25.parquet,-0.013128539493321822,-0.5365572015946266,-0.026721147942228685,721
SPY_5m_bollinger_bands_16_30,a2cd50f59ab7,bollinger_bands,SPY_5m,1m,,,,,,"{""type"": ""bollinger_bands"", ""parameters"": {""_strategy_type"": ""bollinger_bands""}}",,traces/signals/bollinger_bands/SPY_5m_bollinger_bands_16_30.parquet,0.00734765956558836,0.515586178785261,-0.015469241828562907,303
