,total_return,buy_hold_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,signal_changes,avg_signal,signal_std,positive_signals,negative_signals,zero_signals,start_time,end_time
Default Ensemble,0.08393237248233354,-0.05456897565565555,0.03779934584123045,-0.0530486205420943,2044,0.5080833756990341,4.106280454125907e-05,3184,0.028099724839489703,0.9146138775957963,5189,4852,1952,2025-02-27 15:39:00+00:00,2025-04-02 19:23:00+00:00
Custom Ensemble,-0.0030270740150224462,-0.053614974521132286,-0.0005662770849681742,-0.08823717461003983,2499,0.4998149861239593,-1.2113141316616431e-06,3056,0.06808333333333333,0.956830333312086,5929,5112,959,2025-02-27 15:32:00+00:00,2025-04-02 19:23:00+00:00
