strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades
SPY_5m_strategy_0,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_0.parquet,0.22556054173136797,2.223487443014875,-0.029412224603227788,3096
SPY_5m_strategy_1,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_1.parquet,0.18476604001609442,2.550948406164982,-0.029885325527822415,2808
SPY_5m_strategy_2,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_2.parquet,0.023346366486667547,0.6993434033235009,-0.02152451645815423,1485
SPY_5m_strategy_3,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_3.parquet,0.008219796018453795,0.4494155165807731,-0.015172665822283604,481
SPY_5m_strategy_4,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_4.parquet,0.0,0.0,0.0,1
SPY_5m_strategy_5,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_5.parquet,0.19632211038031144,1.9485422708623126,-0.03595173333019486,3137
SPY_5m_strategy_6,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_6.parquet,0.1896643053132938,2.539301330855786,-0.03202328099584906,2873
SPY_5m_strategy_7,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_7.parquet,0.031009179395610875,0.7635533165625684,-0.03125882871156038,1537
SPY_5m_strategy_8,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_8.parquet,-0.0038339453581914817,-0.18529783194747565,-0.022165453485295195,569
SPY_5m_strategy_9,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_9.parquet,0.009542675595842764,0.904883104325123,-0.00795388709082756,89
SPY_5m_strategy_10,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_10.parquet,0.16605347030764483,1.6655720338771458,-0.03518186040522708,3167
SPY_5m_strategy_11,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_11.parquet,0.19005571577651326,2.193361547471307,-0.031015825450407708,2889
SPY_5m_strategy_12,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_12.parquet,0.023785931625283085,0.5557937746099885,-0.03344650777497882,1591
SPY_5m_strategy_13,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_13.parquet,0.0004735787770975275,0.0330333054948681,-0.022426024148068713,631
SPY_5m_strategy_14,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_14.parquet,0.011767795155436689,1.0593930380618275,-0.009427907739967933,141
SPY_5m_strategy_15,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_15.parquet,0.13147232251561847,1.3353023449620212,-0.03484735865951882,3158
SPY_5m_strategy_16,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_16.parquet,0.18030890985554415,2.0383889729814224,-0.033003776722028144,2923
SPY_5m_strategy_17,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_17.parquet,0.03706356254673948,0.7710780106568504,-0.03032743573949659,1612
SPY_5m_strategy_18,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_18.parquet,-0.008336420544640455,-0.3891407156084313,-0.024311175922985373,667
SPY_5m_strategy_19,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_19.parquet,0.004403479392209642,0.3559318213596063,-0.014821774378004027,199
SPY_5m_strategy_20,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_20.parquet,0.14469915297405622,1.4484130775611452,-0.03711440705824787,3171
SPY_5m_strategy_21,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_21.parquet,0.18262047508436918,2.0789979756604264,-0.02763897938150195,2906
SPY_5m_strategy_22,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_22.parquet,0.05059662021702094,1.036157935668225,-0.038916198738603525,1632
SPY_5m_strategy_23,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_23.parquet,0.00013796690543754764,0.01663428243000994,-0.01914538551093481,699
SPY_5m_strategy_24,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_24.parquet,0.009616990266910763,0.7141853620812029,-0.013972153077336902,259
SPY_5m_strategy_25,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_25.parquet,0.12560131344884518,1.263109818489737,-0.04475539214904778,3139
SPY_5m_strategy_26,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_26.parquet,0.19060905727344402,2.153994168250013,-0.033604304925070716,2891
SPY_5m_strategy_27,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_27.parquet,0.03720554759463446,0.7855345998662169,-0.03732611480944281,1674
SPY_5m_strategy_28,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_28.parquet,-4.089967573372988e-05,0.009406360129882304,-0.020501015292996305,737
SPY_5m_strategy_29,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_29.parquet,0.0030394680408181163,0.22205393990449018,-0.017532492508110287,289
SPY_5m_strategy_30,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_30.parquet,0.09138534328254377,0.9398024969854452,-0.04973733417540638,3082
SPY_5m_strategy_31,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_31.parquet,0.20929915599213755,2.336025219728495,-0.037725323536951905,2922
SPY_5m_strategy_32,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_32.parquet,0.065040576722871,1.3455064804359351,-0.04375745958183952,1656
SPY_5m_strategy_33,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_33.parquet,-0.013128539493321822,-0.5365572015946266,-0.026721147942228685,721
SPY_5m_strategy_34,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_34.parquet,0.00734765956558836,0.515586178785261,-0.015469241828562907,303
SPY_5m_strategy_35,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_35.parquet,0.0868020048207585,0.895664043223159,-0.05501261864183438,3075
SPY_5m_strategy_36,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_36.parquet,0.20517481579638086,2.313853136050524,-0.03697080381035367,2897
SPY_5m_strategy_37,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_37.parquet,0.0627331845939747,1.2806166241930548,-0.043833519437434854,1652
SPY_5m_strategy_38,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_38.parquet,-0.008131305185102411,-0.31739564207403403,-0.02228446408683682,733
SPY_5m_strategy_39,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_39.parquet,0.008083077266787031,0.5726860531076494,-0.015567216391758953,319
SPY_5m_strategy_40,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_40.parquet,0.07274310357733027,0.7580456365113825,-0.06098555679411277,3042
SPY_5m_strategy_41,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_41.parquet,0.17071268097860948,1.940813547247403,-0.034542151100673935,2847
SPY_5m_strategy_42,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_42.parquet,0.07876332057143531,1.5113549562811521,-0.04443254960415988,1661
SPY_5m_strategy_43,455502cf79db,bollinger_bands,SPY_5m,1m,,traces/signals/bollinger_bands/SPY_5m_strategy_43.parquet,0.006377266090950906,0.26950126475993197,-0.023020363030601176,743
