strategy_id,strategy_name,strategy_type,current_regime,trading_days,avg_daily_return_pct,daily_volatility_pct,annualized_sharpe_ratio,total_return_pct,win_days_pct
adx_trend_strength_adx_trend_strength_trend_grid_18_25_000,adx_trend_strength_trend_grid_18_25,adx_trend_strength,neutral,205,-0.0062,0.2224,-0.44,-1.26,54.1
adx_trend_strength_adx_trend_strength_trend_grid_18_30_000,adx_trend_strength_trend_grid_18_30,adx_trend_strength,low_vol_bullish,205,0.0233,0.3653,1.013,4.78,46.8
adx_trend_strength_adx_trend_strength_trend_grid_18_30_000,adx_trend_strength_trend_grid_18_30,adx_trend_strength,low_vol_bearish,205,-0.0323,0.3635,-1.412,-6.63,50.2
adx_trend_strength_adx_trend_strength_trend_grid_18_30_000,adx_trend_strength_trend_grid_18_30,adx_trend_strength,neutral,205,0.0074,0.1545,0.757,1.51,51.2
adx_trend_strength_adx_trend_strength_trend_grid_18_35_000,adx_trend_strength_trend_grid_18_35,adx_trend_strength,low_vol_bullish,205,-0.0046,0.329,-0.222,-0.94,46.3
adx_trend_strength_adx_trend_strength_trend_grid_18_35_000,adx_trend_strength_trend_grid_18_35,adx_trend_strength,low_vol_bearish,205,-0.0224,0.3158,-1.124,-4.59,48.3
adx_trend_strength_adx_trend_strength_trend_grid_18_35_000,adx_trend_strength_trend_grid_18_35,adx_trend_strength,neutral,205,0.0056,0.1337,0.663,1.15,51.2
adx_trend_strength_adx_trend_strength_trend_grid_22_20_000,adx_trend_strength_trend_grid_22_20,adx_trend_strength,low_vol_bullish,205,0.0051,0.4341,0.187,1.05,51.2
adx_trend_strength_adx_trend_strength_trend_grid_22_20_000,adx_trend_strength_trend_grid_22_20,adx_trend_strength,neutral,205,0.0109,0.2263,0.766,2.24,47.8
adx_trend_strength_adx_trend_strength_trend_grid_22_20_000,adx_trend_strength_trend_grid_22_20,adx_trend_strength,low_vol_bearish,205,-0.0099,0.4759,-0.329,-2.02,50.2
adx_trend_strength_adx_trend_strength_trend_grid_22_25_000,adx_trend_strength_trend_grid_22_25,adx_trend_strength,low_vol_bullish,205,0.0125,0.3755,0.527,2.55,50.7
adx_trend_strength_adx_trend_strength_trend_grid_22_25_000,adx_trend_strength_trend_grid_22_25,adx_trend_strength,neutral,205,0.0158,0.2184,1.151,3.25,48.8
adx_trend_strength_adx_trend_strength_trend_grid_22_25_000,adx_trend_strength_trend_grid_22_25,adx_trend_strength,low_vol_bearish,205,-0.0019,0.3921,-0.077,-0.39,50.2
adx_trend_strength_adx_trend_strength_trend_grid_22_30_000,adx_trend_strength_trend_grid_22_30,adx_trend_strength,low_vol_bullish,205,0.0036,0.3208,0.18,0.75,53.7
adx_trend_strength_adx_trend_strength_trend_grid_22_30_000,adx_trend_strength_trend_grid_22_30,adx_trend_strength,low_vol_bearish,205,-0.0158,0.3147,-0.794,-3.23,47.8
adx_trend_strength_adx_trend_strength_trend_grid_22_30_000,adx_trend_strength_trend_grid_22_30,adx_trend_strength,neutral,205,0.0164,0.2144,1.216,3.37,47.8
adx_trend_strength_adx_trend_strength_trend_grid_22_35_000,adx_trend_strength_trend_grid_22_35,adx_trend_strength,low_vol_bullish,205,0.007,0.2875,0.385,1.43,48.3
adx_trend_strength_adx_trend_strength_trend_grid_22_35_000,adx_trend_strength_trend_grid_22_35,adx_trend_strength,low_vol_bearish,205,-0.0272,0.272,-1.586,-5.57,41.0
adx_trend_strength_adx_trend_strength_trend_grid_22_35_000,adx_trend_strength_trend_grid_22_35,adx_trend_strength,neutral,205,0.0032,0.1015,0.502,0.66,48.8
aroon_crossover_aroon_crossover_grid_14_000,aroon_crossover_grid_14,aroon_crossover,low_vol_bullish,205,0.0244,0.5572,0.694,5.0,55.1
aroon_crossover_aroon_crossover_grid_14_000,aroon_crossover_grid_14,aroon_crossover,low_vol_bearish,205,0.012,0.5481,0.348,2.47,49.8
aroon_crossover_aroon_crossover_grid_14_000,aroon_crossover_grid_14,aroon_crossover,neutral,205,-0.0125,0.2399,-0.827,-2.56,50.7
aroon_crossover_aroon_crossover_grid_25_000,aroon_crossover_grid_25,aroon_crossover,low_vol_bullish,205,0.0389,0.5091,1.213,7.98,54.1
aroon_crossover_aroon_crossover_grid_25_000,aroon_crossover_grid_25,aroon_crossover,low_vol_bearish,205,-0.028,0.5575,-0.797,-5.74,49.8
aroon_crossover_aroon_crossover_grid_25_000,aroon_crossover_grid_25,aroon_crossover,neutral,205,0.0046,0.229,0.319,0.94,47.3
aroon_crossover_aroon_crossover_grid_35_000,aroon_crossover_grid_35,aroon_crossover,low_vol_bullish,205,0.0367,0.4972,1.173,7.53,53.7
aroon_crossover_aroon_crossover_grid_35_000,aroon_crossover_grid_35,aroon_crossover,low_vol_bearish,205,-0.0665,0.5616,-1.878,-13.62,49.8
aroon_crossover_aroon_crossover_grid_35_000,aroon_crossover_grid_35,aroon_crossover,neutral,205,0.0236,0.2356,1.587,4.83,48.8
aroon_oscillator_aroon_oscillator_grid_14_30_000,aroon_oscillator_grid_14_30,aroon_oscillator,low_vol_bearish,205,0.0192,0.4992,0.61,3.93,47.3
aroon_oscillator_aroon_oscillator_grid_14_30_000,aroon_oscillator_grid_14_30,aroon_oscillator,neutral,205,-0.0206,0.2245,-1.46,-4.23,44.9
aroon_oscillator_aroon_oscillator_grid_14_30_000,aroon_oscillator_grid_14_30,aroon_oscillator,low_vol_bullish,205,0.0594,0.4879,1.934,12.19,58.0
aroon_oscillator_aroon_oscillator_grid_14_40_000,aroon_oscillator_grid_14_40,aroon_oscillator,low_vol_bullish,205,0.0653,0.4527,2.29,13.39,58.5
