strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,total_execution_cost,profit_factor,avg_winner,avg_loser,pf_bin,trades_per_day
SPY_5m_strategy_6,7ffc4afaadf1,bollinger_bands,SPY_5m,1m,,11,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_6.parquet,-0.01680424680904602,-0.32009519243088774,-0.049018353427384476,1414,0.574964639321075,-1.126608346209465e-05,0.14140000000000003,0.9712755279995929,0.0006625554339736988,-0.0009227750579634259,0.8-1.0,5.5234375
SPY_5m_strategy_1,3bee7e1ff576,bollinger_bands,SPY_5m,1m,,10,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_1.parquet,-0.021513443544887823,-0.427598400030017,-0.0649850166119641,1379,0.564902102973169,-1.5067979530032418e-05,0.13790000000000002,0.9615665888473539,0.0006673478456213295,-0.0009010711925182172,0.8-1.0,5.38671875
SPY_5m_strategy_32,bb047773debb,bollinger_bands,SPY_5m,1m,,16,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_32.parquet,-0.022654408210795007,-0.6045065754079719,-0.042725798816108385,802,0.5523690773067331,-2.7872456987007162e-05,0.08020000000000002,0.9291511085978829,0.0006617579788439718,-0.0008788648889455691,0.8-1.0,3.1328125
SPY_5m_strategy_47,8baa1f123457,bollinger_bands,SPY_5m,1m,,19,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_47.parquet,-0.023077606038799825,-0.6051961010674822,-0.03845436309653527,814,0.558968058968059,-2.7969476699077265e-05,0.08140000000000001,0.9289788411574179,0.0006545086901714196,-0.0008929487689722697,0.8-1.0,3.1796875
SPY_5m_strategy_52,49cbed903ac4,bollinger_bands,SPY_5m,1m,,20,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_52.parquet,-0.02770465119227561,-0.7389224393756617,-0.04267768963940133,819,0.5470085470085471,-3.360923089360143e-05,0.08190000000000003,0.9147762271961182,0.0006595057337074806,-0.0008705782447515119,0.8-1.0,3.19921875
SPY_5m_strategy_37,8e87066c3723,bollinger_bands,SPY_5m,1m,,17,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_37.parquet,-0.02780520074591586,-0.7488142347094696,-0.038984993207091145,800,0.54,-3.4549627004750905e-05,0.08000000000000002,0.9127309055904813,0.0006691629548392782,-0.0008606470056912198,0.8-1.0,3.125
SPY_5m_strategy_42,5c7108270d04,bollinger_bands,SPY_5m,1m,,18,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_42.parquet,-0.029091535325639906,-0.7524355913720254,-0.04528690665145385,805,0.5565217391304348,-3.592131778007119e-05,0.08050000000000002,0.9118690520024783,0.0006678426666743886,-0.0009190761218013543,0.8-1.0,3.14453125
SPY_5m_strategy_12,3f61275abdc4,bollinger_bands,SPY_5m,1m,,12,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_12.parquet,-0.026264590047659464,-0.7749040549368653,-0.041045891665541956,770,0.5181818181818182,-3.395853089471882e-05,0.07700000000000001,0.907235256237377,0.0006409198065139943,-0.0007597710824474856,0.8-1.0,3.0078125
SPY_5m_strategy_7,b9277649d929,bollinger_bands,SPY_5m,1m,,11,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_7.parquet,-0.027198158226439673,-0.7993875965600341,-0.038229284898450344,744,0.5241935483870968,-3.6428428394251555e-05,0.07440000000000002,0.901725577126552,0.0006376504200393849,-0.0007790576681940205,0.8-1.0,2.90625
SPY_5m_strategy_22,f1ad6d1f3a6b,bollinger_bands,SPY_5m,1m,,14,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_22.parquet,-0.028659272935705582,-0.843507543402298,-0.03706555787118326,787,0.5133418043202033,-3.634749757476748e-05,0.07870000000000002,0.9011664927102476,0.0006456077148711336,-0.0007556945101808878,0.8-1.0,3.07421875
SPY_5m_strategy_31,1729defe80ec,bollinger_bands,SPY_5m,1m,,16,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_31.parquet,-0.052972541691921005,-0.99236606701932,-0.06324054762016351,1448,0.5911602209944752,-3.677032212551985e-05,0.14480000000000004,0.9093268677151173,0.000623783146020465,-0.0009918949314717412,0.8-1.0,5.65625
SPY_5m_strategy_27,de310b1d719c,bollinger_bands,SPY_5m,1m,,15,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_27.parquet,-0.0342754973088758,-0.9973820760788057,-0.037001125794050016,812,0.5307881773399015,-4.2349817436181384e-05,0.08120000000000002,0.8871763669143805,0.0006273937461799876,-0.0007999862371699579,0.8-1.0,3.171875
SPY_5m_strategy_21,7ac75d9a0237,bollinger_bands,SPY_5m,1m,,14,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_21.parquet,-0.05476437894022257,-1.0165378125017004,-0.06715100715737632,1440,0.5965277777777778,-3.827239813608242e-05,0.14400000000000004,0.9066645065002554,0.0006232392418433586,-0.0010163076799645503,0.8-1.0,5.625
SPY_5m_strategy_11,f9a95a9ec1bb,bollinger_bands,SPY_5m,1m,,12,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_11.parquet,-0.0523823693976615,-1.0533176293412856,-0.06927163026597116,1423,0.5804638088545326,-3.7085522056423415e-05,0.14230000000000004,0.9081653257551459,0.0006318114268622761,-0.0009625610326206539,0.8-1.0,5.55859375
