stop_loss_pct,regime,total_return,avg_return_per_trade,win_rate,num_trades,stopped_out_count,stopped_out_rate,avg_winner,avg_loser,profit_factor,avg_duration_minutes,avg_duration_winners,avg_duration_losers,avg_duration_stopped,strategy_hash,strategy_type
0.01,Low Vol,-0.05490684777318725,-0.00011910379126504826,0.10629067245119306,461,404,0.8763557483731019,0.0005360287372520849,-0.0001970200385886879,0.3235761755615415,2.4837310195227764,7.142857142857143,1.9296116504854368,1.868811881188119,b3883b4a99a3,bollinger_bands
0.01,Medium Vol,-0.0625448465521618,-0.00015914719224468653,0.06361323155216285,393,367,0.9338422391857506,0.0004372770341011377,-0.00019966514240404956,0.14878070299983162,1.8447837150127226,6.2,1.548913043478261,1.5395095367847411,b3883b4a99a3,bollinger_bands
0.01,High Vol,-0.042883253153146034,-0.00015650822318666435,0.058394160583941604,274,258,0.9416058394160584,0.0005447966779282414,-0.00019999999999999188,0.16892920245837628,1.7335766423357664,5.9375,1.4728682170542635,1.4728682170542635,b3883b4a99a3,bollinger_bands
0.02,Low Vol,-0.05909757733219621,-0.00012819431091582692,0.2017353579175705,461,356,0.7722342733188721,0.0005191742274684044,-0.0002917955991487984,0.4496447402942456,4.154013015184382,6.935483870967742,3.4510869565217392,3.3707865168539324,b3883b4a99a3,bollinger_bands
0.02,Medium Vol,-0.07584814778754714,-0.00019299783152047618,0.1475826972010178,393,333,0.8473282442748091,0.00041673230961732045,-0.0002985630499861246,0.24165973831695878,3.4478371501272265,6.982758620689655,2.8358208955223883,2.8078078078078077,b3883b4a99a3,bollinger_bands
0.02,High Vol,-0.04111840819735351,-0.0001500671832020201,0.1386861313868613,274,234,0.8540145985401459,0.0007677246564867105,-0.0002978472251857988,0.4150338546869488,2.9562043795620436,6.315789473684211,2.4152542372881354,2.393162393162393,b3883b4a99a3,bollinger_bands
0.03,Low Vol,-0.0727946022366779,-0.0001579058616847677,0.24945770065075923,461,326,0.7071583514099783,0.0005114394791723777,-0.0003803761339349749,0.4468921548022429,5.249457700650759,7.0,4.667630057803469,4.539877300613497,b3883b4a99a3,bollinger_bands
0.03,Medium Vol,-0.0767655862880636,-0.0001953322806312051,0.22646310432569974,393,296,0.7531806615776081,0.000472268571723348,-0.00039078121437974197,0.353811374100003,5.025445292620865,7.022471910112359,4.440789473684211,4.3074324324324325,b3883b4a99a3,bollinger_bands
0.03,High Vol,-0.04925163923335722,-0.00017975050815093876,0.19343065693430658,274,216,0.7883211678832117,0.0007067893647196221,-0.00039235961793437647,0.4320055227604659,4.0510948905109485,6.509433962264151,3.4615384615384617,3.425925925925926,b3883b4a99a3,bollinger_bands
0.04,Low Vol,-0.07513773236455652,-0.00016298857345890786,0.3080260303687636,461,295,0.6399132321041214,0.0005198617840127674,-0.0004669533093867382,0.4955780887901244,6.48590021691974,7.676056338028169,5.956112852664577,5.813559322033898,b3883b4a99a3,bollinger_bands
0.04,Medium Vol,-0.0863986989713438,-0.00021984401773878827,0.272264631043257,393,274,0.6972010178117048,0.00048034227967322233,-0.000481801828309016,0.3729925141485738,6.106870229007634,6.962616822429907,5.786713286713287,5.529197080291971,b3883b4a99a3,bollinger_bands
0.04,High Vol,-0.04882027860434052,-0.0001781761992859143,0.24817518248175183,274,199,0.7262773722627737,0.0007511127639111967,-0.0004849317793703975,0.5112886929825785,5.602189781021898,7.205882352941177,5.072815533980583,5.050251256281407,b3883b4a99a3,bollinger_bands
0.05,Low Vol,-0.05883741801239333,-0.00012762997399651482,0.37093275488069416,461,262,0.5683297180043384,0.0005864847693035351,-0.0005487114260803373,0.6302470867648878,7.960954446854664,8.304093567251462,7.758620689655173,7.652671755725191,b3883b4a99a3,bollinger_bands
0.05,Medium Vol,-0.07576927212851634,-0.00019279713009800594,0.3435114503816794,393,243,0.6183206106870229,0.0005279816336409809,-0.0005699488087986387,0.48472679510574995,7.684478371501272,8.11111111111111,7.461240310077519,7.160493827160494,b3883b4a99a3,bollinger_bands
0.05,High Vol,-0.04369881859200419,-0.00015948473938687661,0.3029197080291971,274,182,0.6642335766423357,0.0007946916824847762,-0.0005741268494148723,0.6014998665028103,6.934306569343065,8.012048192771084,6.465968586387435,6.428571428571429,b3883b4a99a3,bollinger_bands
0.1,Low Vol,-0.06460017381312677,-0.00014013052887879994,0.48590021691973967,461,178,0.38611713665943603,0.0006149892792017139,-0.0008538302630983573,0.6807625767889086,13.579175704989154,11.808035714285714,15.253164556962025,15.589887640449438,b3883b4a99a3,bollinger_bands
0.1,Medium Vol,-0.030951284573183906,-7.875644929563335e-05,0.5470737913486005,393,148,0.37659033078880405,0.0006296305623440247,-0.0009343924465008381,0.813907291471768,13.40966921119593,12.604651162790697,14.382022471910112,13.952702702702704,b3883b4a99a3,bollinger_bands
0.1,High Vol,-0.05107898921237415,-0.00018641966865829982,0.4489051094890511,274,134,0.48905109489051096,0.0008065678206198288,-0.0009952770274742587,0.6601233200408356,11.13138686131387,9.83739837398374,12.185430463576159,12.014925373134329,b3883b4a99a3,bollinger_bands
0.15,Low Vol,-0.05560730915909306,-0.00012062323028002832,0.5488069414316703,461,124,0.26898047722342733,0.0006328390602035351,-0.0010370941893778243,0.7422193324060329,17.581344902386117,14.328063241106719,21.53846153846154,20.967741935483872,b3883b4a99a3,bollinger_bands
0.15,Medium Vol,-0.035079226397248434,-8.926011805915632e-05,0.6030534351145038,393,115,0.2926208651399491,0.0006550500903462884,-0.0012200390885212743,0.8156888266978862,16.43765903307888,13.839662447257384,20.384615384615383,19.391304347826086,b3883b4a99a3,bollinger_bands
0.15,High Vol,-0.04824274306459793,-0.0001760684053452479,0.5182481751824818,274,99,0.3613138686131387,0.0008468958222363144,-0.0012765299228951106,0.7136962325034472,14.963503649635037,11.02112676056338,19.204545454545453,16.31313131313131,b3883b4a99a3,bollinger_bands
0.2,Low Vol,-0.05879792342872728,-0.00012754430244843226,0.5726681127982647,461,95,0.20607375271149675,0.0006511360068350321,-0.0011710549707267804,0.7451301400443703,19.989154013015185,14.886363636363637,26.82741116751269,26.63157894736842,b3883b4a99a3,bollinger_bands
0.2,Medium Vol,-0.02224126785011716,-5.659355687052712e-05,0.648854961832061,393,87,0.22137404580152673,0.000674035051410104,-0.0014066681591282148,0.8854252820299643,19.681933842239186,15.686274509803921,27.065217391304348,27.413793103448278,b3883b4a99a3,bollinger_bands
0.2,High Vol,-0.03709487817851453,-0.00013538276707487053,0.5693430656934306,274,75,0.2737226277372263,0.0008748353091336162,-0.0014709253085030396,0.7862818916929789,18.32116788321168,12.948717948717949,25.423728813559322,23.2,b3883b4a99a3,bollinger_bands
0.25,Low Vol,-0.04517648122480874,-9.799670547680854e-05,0.5986984815618221,461,74,0.16052060737527116,0.0006756162507011394,-0.0012521436022612065,0.8049766852869041,22.787418655097614,15.597826086956522,33.513513513513516,37.567567567567565,b3883b4a99a3,bollinger_bands
0.25,Medium Vol,-0.023993211517554635,-6.105142879784895e-05,0.6641221374045801,393,70,0.178117048346056,0.0006845818574220901,-0.001535371790187274,0.8816138507411955,21.984732824427482,15.919540229885058,33.97727272727273,34.214285714285715,b3883b4a99a3,bollinger_bands
0.25,High Vol,-0.026369492741323816,-9.62390246033716e-05,0.5912408759124088,274,55,0.20072992700729927,0.0008935007584596247,-0.0015278269251052057,0.8458975322352739,20.93065693430657,13.364197530864198,31.875,27.727272727272727,b3883b4a99a3,bollinger_bands
0.3,Low Vol,-0.0637070827127656,-0.00013819323798864555,0.6052060737527115,461,66,0.14316702819956617,0.0006752714636539885,-0.001385207808089167,0.7473022358377623,23.839479392624728,15.985663082437275,35.879120879120876,42.57575757575758,b3883b4a99a3,bollinger_bands
0.3,Medium Vol,-0.021299141111426625,-5.419628781533493e-05,0.6743002544529262,393,54,0.13740458015267176,0.0006882267477562995,-0.0015912439786472342,0.8954280159636602,24.16030534351145,16.150943396226417,40.7421875,40.46296296296296,b3883b4a99a3,bollinger_bands
