strategy_hash,strategy_type,sharpe_ratio,total_return,win_rate,avg_return_per_trade,num_trades,total_execution_cost
572097140686,bollinger_bands,-23.23752216542219,-0.7538800121552387,0.09562788906009245,-0.0002454036497901168,3072,0.30720000000000003
3bee7e1ff576,bollinger_bands,-46.143796147868095,-0.8826429060450295,0.055518104776579355,-0.0003196823274339114,2761,0.2761
5edc43651004,bollinger_bands,-111.35249297619606,-0.9631046020977956,0.01848998459167951,-0.0006706856560569607,1436,0.1436
846869fc71e7,bollinger_bands,-238.61040512534234,-0.9826158934403689,0.004911402157164869,-0.002117706666897347,464,0.046400000000000004
79624e63fd80,bollinger_bands,0.0,0.0,0.0,0.0,0,0.0
84ad2d3299c8,bollinger_bands,-21.797071797819353,-0.7402167433484931,0.10183936825885978,-0.00023740113641709207,3118,0.3118
7ffc4afaadf1,bollinger_bands,-42.40637312252609,-0.8680494683217328,0.06042950693374422,-0.00030651464276897344,2832,0.2832
b9277649d929,bollinger_bands,-98.11506699221445,-0.9521926847585529,0.021234591679506934,-0.0006399144386818232,1488,0.14880000000000002
25d4fba7043d,bollinger_bands,-217.035932888223,-0.9807395332097669,0.005922573189522342,-0.0018028300242826597,544,0.054400000000000004
80e0a9bfbbe3,bollinger_bands,-383.9103578536425,-0.9826158369192431,0.000963020030816641,-0.01116608905590049,88,0.0088
4067c07319e8,bollinger_bands,-20.87187260222916,-0.7289275469388892,0.10814714946070879,-0.00023133213168482678,3151,0.3151
f9a95a9ec1bb,bollinger_bands,-39.5978703495957,-0.8528576655525961,0.06466679506933744,-0.0002993533399623012,2849,0.2849
3f61275abdc4,bollinger_bands,-92.36184990283023,-0.9440893891438593,0.023064329738058553,-0.0006130450578856229,1540,0.154
18377913515d,bollinger_bands,-208.0491928615798,-0.9787976009542689,0.006789291217257319,-0.0016151775593304769,606,0.0606
f211c3bbe899,bollinger_bands,-362.790063492615,-0.9821464117760496,0.0014926810477657935,-0.007117002983884417,138,0.013800000000000002
7755af75d5bf,bollinger_bands,-19.694633800442197,-0.716520567766681,0.11349191063174115,-0.00022804601138341218,3142,0.31420000000000003
6312bf78024e,bollinger_bands,-37.56825870320868,-0.8435617123300609,0.06798921417565486,-0.0002914864244402422,2894,0.2894
47f300ade5d5,bollinger_bands,-84.45736524868074,-0.9330231374947748,0.024508859784283514,-0.0006027281249966246,1548,0.15480000000000002
643f7aa63f16,bollinger_bands,-186.15580214220543,-0.9736747325498364,0.007415254237288136,-0.001516627309267658,642,0.06420000000000001
d3ced64f1e75,bollinger_bands,-324.20386628956277,-0.9828615576659774,0.001974191063174114,-0.005066296688999884,194,0.0194
b515bfeac94d,bollinger_bands,-18.69881652616547,-0.7013850569417113,0.11864406779661017,-0.00022195729650054154,3160,0.316
7ac75d9a0237,bollinger_bands,-34.81820267834194,-0.8257135684812679,0.0722746533127889,-0.00028650713687760856,2882,0.2882
f1ad6d1f3a6b,bollinger_bands,-78.83599161827645,-0.9245756123226696,0.02653120184899846,-0.0005874050904210099,1574,0.1574
0feab640ac62,bollinger_bands,-172.1505991049204,-0.9692887681602945,0.008137519260400617,-0.0014423940002385334,672,0.06720000000000001
