strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,total_execution_cost
SPY_5m_strategy_0,572097140686,bollinger_bands,SPY_5m,1m,,10,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_0.parquet,-0.7538800121552387,-23.23752216542219,-0.7538625776576265,3072,0.09562788906009245,-0.0002454036497901168,0.30720000000000003
SPY_5m_strategy_1,3bee7e1ff576,bollinger_bands,SPY_5m,1m,,10,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_1.parquet,-0.8826429060450295,-46.143796147868095,-0.8826301779193906,2761,0.055518104776579355,-0.0003196823274339114,0.2761
SPY_5m_strategy_2,5edc43651004,bollinger_bands,SPY_5m,1m,,10,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_2.parquet,-0.9631046020977956,-111.35249297619606,-0.9630987077423248,1436,0.01848998459167951,-0.0006706856560569607,0.1436
SPY_5m_strategy_3,846869fc71e7,bollinger_bands,SPY_5m,1m,,10,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_3.parquet,-0.9826158934403689,-238.61040512534234,-0.9826124893032536,464,0.004911402157164869,-0.002117706666897347,0.046400000000000004
SPY_5m_strategy_4,79624e63fd80,bollinger_bands,SPY_5m,1m,,10,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_4.parquet,0.0,0.0,0.0,0,0.0,0.0,0.0
SPY_5m_strategy_5,84ad2d3299c8,bollinger_bands,SPY_5m,1m,,11,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_5.parquet,-0.7402167433484931,-21.797071797819353,-0.7401992663541563,3118,0.10183936825885978,-0.00023740113641709207,0.3118
SPY_5m_strategy_6,7ffc4afaadf1,bollinger_bands,SPY_5m,1m,,11,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_6.parquet,-0.8680494683217328,-42.40637312252609,-0.8680358635734853,2832,0.06042950693374422,-0.00030651464276897344,0.2832
SPY_5m_strategy_7,b9277649d929,bollinger_bands,SPY_5m,1m,,11,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_7.parquet,-0.9521926847585529,-98.11506699221445,-0.9521855770801009,1488,0.021234591679506934,-0.0006399144386818232,0.14880000000000002
SPY_5m_strategy_8,25d4fba7043d,bollinger_bands,SPY_5m,1m,,11,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_8.parquet,-0.9807395332097669,-217.035932888223,-0.9807358689834477,544,0.005922573189522342,-0.0018028300242826597,0.054400000000000004
SPY_5m_strategy_9,80e0a9bfbbe3,bollinger_bands,SPY_5m,1m,,11,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_9.parquet,-0.9826158369192431,-383.9103578536425,-0.9826124366846393,88,0.000963020030816641,-0.01116608905590049,0.0088
SPY_5m_strategy_10,4067c07319e8,bollinger_bands,SPY_5m,1m,,12,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_10.parquet,-0.7289275469388892,-20.87187260222916,-0.7289101497063377,3151,0.10814714946070879,-0.00023133213168482678,0.3151
SPY_5m_strategy_11,f9a95a9ec1bb,bollinger_bands,SPY_5m,1m,,12,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_11.parquet,-0.8528576655525961,-39.5978703495957,-0.852843487368474,2849,0.06466679506933744,-0.0002993533399623012,0.2849
SPY_5m_strategy_12,3f61275abdc4,bollinger_bands,SPY_5m,1m,,12,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_12.parquet,-0.9440893891438593,-92.36184990283023,-0.9440814887303405,1540,0.023064329738058553,-0.0006130450578856229,0.154
SPY_5m_strategy_13,18377913515d,bollinger_bands,SPY_5m,1m,,12,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_13.parquet,-0.9787976009542689,-208.0491928615798,-0.978793658916632,606,0.006789291217257319,-0.0016151775593304769,0.0606
SPY_5m_strategy_14,f211c3bbe899,bollinger_bands,SPY_5m,1m,,12,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_14.parquet,-0.9821464117760496,-362.790063492615,-0.9821429409673925,138,0.0014926810477657935,-0.007117002983884417,0.013800000000000002
SPY_5m_strategy_15,7755af75d5bf,bollinger_bands,SPY_5m,1m,,13,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_15.parquet,-0.716520567766681,-19.694633800442197,-0.7165034017171183,3142,0.11349191063174115,-0.00022804601138341218,0.31420000000000003
SPY_5m_strategy_16,6312bf78024e,bollinger_bands,SPY_5m,1m,,13,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_16.parquet,-0.8435617123300609,-37.56825870320868,-0.8435471489800818,2894,0.06798921417565486,-0.0002914864244402422,0.2894
SPY_5m_strategy_17,47f300ade5d5,bollinger_bands,SPY_5m,1m,,13,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_17.parquet,-0.9330231374947748,-84.45736524868074,-0.9330143199919982,1548,0.024508859784283514,-0.0006027281249966246,0.15480000000000002
SPY_5m_strategy_18,643f7aa63f16,bollinger_bands,SPY_5m,1m,,13,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_18.parquet,-0.9736747325498364,-186.15580214220543,-0.9736701266155822,642,0.007415254237288136,-0.001516627309267658,0.06420000000000001
SPY_5m_strategy_19,d3ced64f1e75,bollinger_bands,SPY_5m,1m,,13,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_19.parquet,-0.9828615576659774,-324.20386628956277,-0.9828581985654943,194,0.001974191063174114,-0.005066296688999884,0.0194
SPY_5m_strategy_20,b515bfeac94d,bollinger_bands,SPY_5m,1m,,14,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_20.parquet,-0.7013850569417113,-18.69881652616547,-0.701367620165653,3160,0.11864406779661017,-0.00022195729650054154,0.316
SPY_5m_strategy_21,7ac75d9a0237,bollinger_bands,SPY_5m,1m,,14,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_21.parquet,-0.8257135684812679,-34.81820267834194,-0.8256982111668253,2882,0.0722746533127889,-0.00028650713687760856,0.2882
SPY_5m_strategy_22,f1ad6d1f3a6b,bollinger_bands,SPY_5m,1m,,14,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_22.parquet,-0.9245756123226696,-78.83599161827645,-0.9245660447928149,1574,0.02653120184899846,-0.0005874050904210099,0.1574
SPY_5m_strategy_23,0feab640ac62,bollinger_bands,SPY_5m,1m,,14,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_23.parquet,-0.9692887681602945,-172.1505991049204,-0.969283607806406,672,0.008137519260400617,-0.0014423940002385334,0.06720000000000001
SPY_5m_strategy_24,b1b13ffa7fb6,bollinger_bands,SPY_5m,1m,,14,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_24.parquet,-0.9825397143298995,-299.62679545450516,-0.9825363034516674,250,0.0026483050847457626,-0.003930158857319598,0.025
SPY_5m_strategy_25,db8d4e8f6787,bollinger_bands,SPY_5m,1m,,15,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_25.parquet,-0.6919138584656128,-17.89226254969313,-0.6918966145705175,3137,0.12326656394453005,-0.00022056546332980965,0.31370000000000003
SPY_5m_strategy_26,e837394fa671,bollinger_bands,SPY_5m,1m,,15,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_26.parquet,-0.8147017478618571,-33.172954607004,-0.8146860358654888,2870,0.07501926040061634,-0.0002838682048299154,0.28700000000000003
SPY_5m_strategy_27,de310b1d719c,bollinger_bands,SPY_5m,1m,,15,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_27.parquet,-0.9195872057431329,-76.13083809235891,-0.9195772661297534,1624,0.028312788906009245,-0.0005662482793984809,0.16240000000000002
SPY_5m_strategy_28,7d8028d44776,bollinger_bands,SPY_5m,1m,,15,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_28.parquet,-0.9630935042774375,-151.00318020138639,-0.9630876387515404,696,0.009100539291217258,-0.0013837550348813758,0.06960000000000001
SPY_5m_strategy_29,cc8fd5805152,bollinger_bands,SPY_5m,1m,,15,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_29.parquet,-0.9807972236412427,-281.4748770848925,-0.9807935677962163,276,0.002889060092449923,-0.0035536131291349373,0.027600000000000003
SPY_5m_strategy_30,0c2036dd8361,bollinger_bands,SPY_5m,1m,,16,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_30.parquet,-0.6807382569434656,-17.124592081554933,-0.6807214257370486,3076,0.12793721109399075,-0.00022130632540424757,0.30760000000000004
SPY_5m_strategy_31,1729defe80ec,bollinger_bands,SPY_5m,1m,,16,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_31.parquet,-0.8043109865714078,-32.128058089541526,-0.8042948099130829,2898,0.07699345146379044,-0.00027754002297150025,0.2898
SPY_5m_strategy_32,bb047773debb,bollinger_bands,SPY_5m,1m,,16,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_32.parquet,-0.904275434430004,-67.5342621612525,-0.9042643550667665,1604,0.03009437596302003,-0.0005637627396695786,0.16040000000000001
SPY_5m_strategy_33,67aab798c4c3,bollinger_bands,SPY_5m,1m,,16,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_33.parquet,-0.9576488590217909,-145.61760570312006,-0.9576424251986251,682,0.009196841294298921,-0.001404177212641922,0.0682
SPY_5m_strategy_34,2bcc376485d5,bollinger_bands,SPY_5m,1m,,16,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_34.parquet,-0.9788876838344905,-268.97667056659816,-0.9788837564821931,292,0.0033224191063174115,-0.0033523550816249676,0.0292
SPY_5m_strategy_35,3bc725799b6e,bollinger_bands,SPY_5m,1m,,17,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_35.parquet,-0.6720619076770633,-16.695800544338812,-0.6720451245220755,3070,0.1322226502311248,-0.00021891267351044406,0.307
SPY_5m_strategy_36,cc981e9ed262,bollinger_bands,SPY_5m,1m,,17,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_36.parquet,-0.795178280596519,-30.755073882673255,-0.7951619594285511,2874,0.07877503852080123,-0.00027667998628967254,0.2874
SPY_5m_strategy_37,8e87066c3723,bollinger_bands,SPY_5m,1m,,17,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_37.parquet,-0.8978979054734888,-65.55421993873328,-0.8978864320388864,1600,0.030816640986132512,-0.0005611861909209305,0.16
SPY_5m_strategy_38,aad915846c8b,bollinger_bands,SPY_5m,1m,,17,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_38.parquet,-0.9500448284021974,-133.78531862168853,-0.950037628855548,696,0.009919106317411401,-0.001365006937359479,0.06960000000000001
SPY_5m_strategy_39,c45b884a2efa,bollinger_bands,SPY_5m,1m,,17,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_39.parquet,-0.9776319948888484,-268.04486360413216,-0.9776278955691143,306,0.0034668721109399076,-0.003194875800290354,0.030600000000000002
SPY_5m_strategy_40,8bfd000951c8,bollinger_bands,SPY_5m,1m,,18,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_40.parquet,-0.6610207024395581,-16.164424413990446,-0.6610038991108984,3040,0.13607473035439138,-0.00021744102053932834,0.304
SPY_5m_strategy_41,7b6de378abb1,bollinger_bands,SPY_5m,1m,,18,1.5,traces/signals/bollinger_bands/SPY_5m_strategy_41.parquet,-0.7866501901339125,-29.219841484507814,-0.786633883072635,2824,0.08079738058551618,-0.00027855884919756105,0.28240000000000004
SPY_5m_strategy_42,5c7108270d04,bollinger_bands,SPY_5m,1m,,18,2.0,traces/signals/bollinger_bands/SPY_5m_strategy_42.parquet,-0.885743286072495,-60.17419827728541,-0.8857310700713539,1610,0.032598228043143294,-0.0005501511093617981,0.161
SPY_5m_strategy_43,1c281ff1e665,bollinger_bands,SPY_5m,1m,,18,2.5,traces/signals/bollinger_bands/SPY_5m_strategy_43.parquet,-0.9460184268396045,-128.33384812243182,-0.9460108380015726,700,0.010304314329738058,-0.0013514548954851493,0.07
SPY_5m_strategy_44,f3ee8435d51b,bollinger_bands,SPY_5m,1m,,18,3.0,traces/signals/bollinger_bands/SPY_5m_strategy_44.parquet,-0.9750830267166993,-241.7056638761447,-0.9750785805089037,314,0.003852080123266564,-0.003105359957696495,0.031400000000000004
SPY_5m_strategy_45,6060c4146778,bollinger_bands,SPY_5m,1m,,19,1.0,traces/signals/bollinger_bands/SPY_5m_strategy_45.parquet,-0.6418700434119263,-15.19579942595268,-0.6418528003479969,3011,0.13901194144838214,-0.00021317503932644514,0.30110000000000003
