trailing_stop_pct,total_return,sharpe_ratio,avg_return_per_trade,win_rate,profit_factor,num_trades,stopped_out_count,stopped_out_rate,avg_winner,avg_loser,max_winner,max_loser,strategy_hash,strategy_type,base_sharpe,base_return,base_profit_factor
0.25,-0.007702925801843619,-1.2111836680326418,-0.00017535037784642213,0.45454545454545453,0.5538858796103716,44,14,0.3181818181818182,0.00047896492497262824,-0.0007206131301956308,0.003324109156517869,-0.0022914065840102826,80e0a9bfbbe3,bollinger_bands,0.4589957126858354,0.0051111741547911205,1.3129155274642497
0.5,-0.008584201048661977,-0.9572666951688827,-0.0001951675131769336,0.5,0.5986433455572708,44,4,0.09090909090909091,0.0005822040409149558,-0.0009725390672688229,0.0041692631776052555,-0.004267196759181838,80e0a9bfbbe3,bollinger_bands,0.4589957126858354,0.0051111741547911205,1.3129155274642497
0.75,-0.0022180716332836914,-0.2530218962146773,-4.976652965659704e-05,0.5227272727272727,0.871830736307596,44,2,0.045454545454545456,0.0006476054342845413,-0.000813554871115939,0.0041692631776052555,-0.0045916425946823875,80e0a9bfbbe3,bollinger_bands,0.4589957126858354,0.0051111741547911205,1.3129155274642497
1.0,0.0051111741547911205,0.4589957126858354,0.00011704629258609793,0.5454545454545454,1.3129155274642497,44,0,0.0,0.0009003446064985563,-0.0008229116841088522,0.006713345567420903,-0.004299200907853052,80e0a9bfbbe3,bollinger_bands,0.4589957126858354,0.0051111741547911205,1.3129155274642497
1.5,0.0051111741547911205,0.4589957126858354,0.00011704629258609793,0.5454545454545454,1.3129155274642497,44,0,0.0,0.0009003446064985563,-0.0008229116841088522,0.006713345567420903,-0.004299200907853052,80e0a9bfbbe3,bollinger_bands,0.4589957126858354,0.0051111741547911205,1.3129155274642497
2.0,0.0051111741547911205,0.4589957126858354,0.00011704629258609793,0.5454545454545454,1.3129155274642497,44,0,0.0,0.0009003446064985563,-0.0008229116841088522,0.006713345567420903,-0.004299200907853052,80e0a9bfbbe3,bollinger_bands,0.4589957126858354,0.0051111741547911205,1.3129155274642497
2.5,0.0051111741547911205,0.4589957126858354,0.00011704629258609793,0.5454545454545454,1.3129155274642497,44,0,0.0,0.0009003446064985563,-0.0008229116841088522,0.006713345567420903,-0.004299200907853052,80e0a9bfbbe3,bollinger_bands,0.4589957126858354,0.0051111741547911205,1.3129155274642497
3.0,0.0051111741547911205,0.4589957126858354,0.00011704629258609793,0.5454545454545454,1.3129155274642497,44,0,0.0,0.0009003446064985563,-0.0008229116841088522,0.006713345567420903,-0.004299200907853052,80e0a9bfbbe3,bollinger_bands,0.4589957126858354,0.0051111741547911205,1.3129155274642497
4.0,0.0051111741547911205,0.4589957126858354,0.00011704629258609793,0.5454545454545454,1.3129155274642497,44,0,0.0,0.0009003446064985563,-0.0008229116841088522,0.006713345567420903,-0.004299200907853052,80e0a9bfbbe3,bollinger_bands,0.4589957126858354,0.0051111741547911205,1.3129155274642497
5.0,0.0051111741547911205,0.4589957126858354,0.00011704629258609793,0.5454545454545454,1.3129155274642497,44,0,0.0,0.0009003446064985563,-0.0008229116841088522,0.006713345567420903,-0.004299200907853052,80e0a9bfbbe3,bollinger_bands,0.4589957126858354,0.0051111741547911205,1.3129155274642497
0.25,-0.0037987788715397874,-0.4288521745860849,-5.469403937207969e-05,0.4492753623188406,0.8417770273876022,69,23,0.3333333333333333,0.0006476717070203813,-0.0006276766219554032,0.004469716679333365,-0.0022914065840102826,f211c3bbe899,bollinger_bands,0.38543468549306054,0.0045476429934605545,1.1967408950917426
0.5,-0.007384237117710524,-0.7438216349788662,-0.00010682007752341489,0.4927536231884058,0.7360759406564588,69,5,0.07246376811594203,0.0006045979952510254,-0.000797911919647157,0.0041692631776052555,-0.004267196759181838,f211c3bbe899,bollinger_bands,0.38543468549306054,0.0045476429934605545,1.1967408950917426
0.75,-0.0034853454541171613,-0.37037665757073784,-5.007698345018924e-05,0.4927536231884058,0.8566898868692349,69,3,0.043478260869565216,0.0006075123832782045,-0.0006888780825577718,0.0041692631776052555,-0.0045916425946823875,f211c3bbe899,bollinger_bands,0.38543468549306054,0.0045476429934605545,1.1967408950917426
1.0,0.0009666619475854343,0.08326383994061774,1.4918653608884501e-05,0.5072463768115942,1.039081676127497,69,1,0.014492753623188406,0.000781964759967996,-0.0007746876323490243,0.006713345567420903,-0.004671896345613508,f211c3bbe899,bollinger_bands,0.38543468549306054,0.0045476429934605545,1.1967408950917426
1.5,0.0045476429934605545,0.38543468549306054,6.66124376753342e-05,0.5217391304347826,1.1967408950917426,69,0,0.0,0.0007766179174242209,-0.0007079389947779966,0.006713345567420903,-0.004671896345613508,f211c3bbe899,bollinger_bands,0.38543468549306054,0.0045476429934605545,1.1967408950917426
2.0,0.0045476429934605545,0.38543468549306054,6.66124376753342e-05,0.5217391304347826,1.1967408950917426,69,0,0.0,0.0007766179174242209,-0.0007079389947779966,0.006713345567420903,-0.004671896345613508,f211c3bbe899,bollinger_bands,0.38543468549306054,0.0045476429934605545,1.1967408950917426
2.5,0.0045476429934605545,0.38543468549306054,6.66124376753342e-05,0.5217391304347826,1.1967408950917426,69,0,0.0,0.0007766179174242209,-0.0007079389947779966,0.006713345567420903,-0.004671896345613508,f211c3bbe899,bollinger_bands,0.38543468549306054,0.0045476429934605545,1.1967408950917426
3.0,0.0045476429934605545,0.38543468549306054,6.66124376753342e-05,0.5217391304347826,1.1967408950917426,69,0,0.0,0.0007766179174242209,-0.0007079389947779966,0.006713345567420903,-0.004671896345613508,f211c3bbe899,bollinger_bands,0.38543468549306054,0.0045476429934605545,1.1967408950917426
