stop_pct,target_pct,regime,num_trades,total_return,sharpe_ratio,win_rate,stop_hits,target_hits,avg_duration,strategy,period,std_dev,strategy_hash
0.03,0.05,Overall,3398,-0.11754401977105755,-6.1711147351956495,0.527663331371395,31.07710417892878,41.995291347851676,0.8911124190700412,P48_S1.0,48,1.0,35ec37df
0.03,0.05,Low Vol,887,-0.0805438464992958,-8.675989772149268,0.41713641488162345,0.0,0.0,1.2074408117249154,P48_S1.0,48,1.0,35ec37df
0.03,0.05,Medium Vol,1181,-0.04783980806247479,-4.11972884992992,0.5275190516511431,0.0,0.0,0.9381879762912786,P48_S1.0,48,1.0,35ec37df
0.03,0.05,High Vol,1312,0.010865868154160241,0.8429798302253848,0.604420731707317,0.0,0.0,0.631859756097561,P48_S1.0,48,1.0,35ec37df
0.03,0.05,Trending Up,276,-0.006656678478554667,-1.1567555996095835,0.5471014492753623,0.0,0.0,0.9311594202898551,P48_S1.0,48,1.0,35ec37df
0.03,0.05,Trending Down,308,0.02943499157495122,5.018217422275423,0.7207792207792207,0.0,0.0,0.4318181818181818,P48_S1.0,48,1.0,35ec37df
0.03,0.05,Ranging,2814,-0.13703188826623325,-8.021943923874927,0.5046197583511016,0.0,0.0,0.937455579246624,P48_S1.0,48,1.0,35ec37df
0.05,0.075,Overall,3398,-0.23655855342691623,-9.755011580213319,0.4532077692760447,29.78222483814008,22.307239552678045,1.7419070041200706,P48_S1.0,48,1.0,35ec37df
0.05,0.075,Low Vol,887,-0.1229360081855484,-10.450135669793207,0.35174746335963925,0.0,0.0,2.0834272829763245,P48_S1.0,48,1.0,35ec37df
0.05,0.075,Medium Vol,1181,-0.10645285304428587,-7.141365285528838,0.44961896697713805,0.0,0.0,1.8382726502963591,P48_S1.0,48,1.0,35ec37df
0.05,0.075,High Vol,1312,-0.02406626767043607,-1.2993077928657073,0.5251524390243902,0.0,0.0,1.4054878048780488,P48_S1.0,48,1.0,35ec37df
0.05,0.075,Trending Up,276,-0.021259917168299003,-2.660857161508285,0.47101449275362317,0.0,0.0,1.7065217391304348,P48_S1.0,48,1.0,35ec37df
0.05,0.075,Trending Down,308,0.027027162972391938,2.9695555322987226,0.6071428571428571,0.0,0.0,1.2597402597402598,P48_S1.0,48,1.0,35ec37df
0.05,0.075,Ranging,2814,-0.24050235927482932,-11.140294999054225,0.43461265103056146,0.0,0.0,1.7981520966595594,P48_S1.0,48,1.0,35ec37df
0.05,0.1,Overall,3398,-0.35167478035660826,-14.715005476854381,0.39582107121836374,34.84402589758682,11.183048852266039,1.9743967039434962,P48_S1.0,48,1.0,35ec37df
0.05,0.1,Low Vol,887,-0.14910023459591515,-12.630385659251328,0.3156708004509583,0.0,0.0,2.2671927846674182,P48_S1.0,48,1.0,35ec37df
0.05,0.1,Medium Vol,1181,-0.15582047758102402,-10.339468398738399,0.3988145639288738,0.0,0.0,2.031329381879763,P48_S1.0,48,1.0,35ec37df
0.05,0.1,High Vol,1312,-0.09584569079079708,-4.872782096031213,0.44664634146341464,0.0,0.0,1.704268292682927,P48_S1.0,48,1.0,35ec37df
0.05,0.1,Trending Up,276,-0.0310624004169896,-3.555052740080243,0.40942028985507245,0.0,0.0,1.8442028985507246,P48_S1.0,48,1.0,35ec37df
0.05,0.1,Trending Down,308,0.006743381320591713,0.650218172791777,0.5194805194805194,0.0,0.0,1.7012987012987013,P48_S1.0,48,1.0,35ec37df
0.05,0.1,Ranging,2814,-0.3353724742554378,-15.756140358470285,0.38095238095238093,0.0,0.0,2.0170575692963753,P48_S1.0,48,1.0,35ec37df
0.075,0.1,Overall,3398,-0.33366098914400555,-12.159479572027175,0.44084755738669806,25.16185991759859,11.977633902295468,2.6344908769864626,P48_S1.0,48,1.0,35ec37df
0.075,0.1,Low Vol,887,-0.14740733431704545,-10.921413211419603,0.3506200676437429,0.0,0.0,3.142051860202931,P48_S1.0,48,1.0,35ec37df
0.075,0.1,Medium Vol,1181,-0.15237561358142504,-8.746249380910632,0.4360711261642676,0.0,0.0,2.610499576629975,P48_S1.0,48,1.0,35ec37df
0.075,0.1,High Vol,1312,-0.07541314401392996,-3.3940499675325952,0.5060975609756098,0.0,0.0,2.2934451219512195,P48_S1.0,48,1.0,35ec37df
0.075,0.1,Trending Up,276,-0.03408521003978027,-3.4237392693438045,0.4420289855072464,0.0,0.0,2.536231884057971,P48_S1.0,48,1.0,35ec37df
0.075,0.1,Trending Down,308,0.01175764920806599,1.0294558974126973,0.5714285714285714,0.0,0.0,2.211038961038961,P48_S1.0,48,1.0,35ec37df
0.075,0.1,Ranging,2814,-0.3181640004673221,-12.960368785722343,0.42643923240938164,0.0,0.0,2.6904761904761907,P48_S1.0,48,1.0,35ec37df
0.075,0.15,Overall,3398,-0.4335453573511424,-16.513861755142646,0.4072984108298999,28.134196586227194,3.766921718658034,2.8566804002354327,P48_S1.0,48,1.0,35ec37df
0.075,0.15,Low Vol,887,-0.15814390905721687,-11.610259816474887,0.34047350620067646,0.0,0.0,3.2818489289740698,P48_S1.0,48,1.0,35ec37df
0.075,0.15,Medium Vol,1181,-0.18233658104002504,-10.387548155833057,0.4157493649449619,0.0,0.0,2.774767146486029,P48_S1.0,48,1.0,35ec37df
0.075,0.15,High Vol,1312,-0.17481709091600217,-7.94614338811035,0.44435975609756095,0.0,0.0,2.6265243902439024,P48_S1.0,48,1.0,35ec37df
0.075,0.15,Trending Up,276,-0.05716264150437045,-5.6736974684600385,0.38405797101449274,0.0,0.0,2.8840579710144927,P48_S1.0,48,1.0,35ec37df
0.075,0.15,Trending Down,308,-0.015411687663184348,-1.2054179929425128,0.4967532467532468,0.0,0.0,2.698051948051948,P48_S1.0,48,1.0,35ec37df
0.075,0.15,Ranging,2814,-0.38979792232613364,-16.394317569460796,0.3997867803837953,0.0,0.0,2.87135749822317,P48_S1.0,48,1.0,35ec37df
0.1,0.15,Overall,3398,-0.4348321304746944,-14.962662892367732,0.4305473808122425,22.160094173042964,3.9729252501471453,3.466450853443202,P48_S1.0,48,1.0,35ec37df
0.1,0.15,Low Vol,887,-0.16204469135777277,-10.762957012888307,0.3528748590755355,0.0,0.0,3.8906426155580607,P48_S1.0,48,1.0,35ec37df
0.1,0.15,Medium Vol,1181,-0.1933848931449499,-9.90831579506675,0.43183742591024554,0.0,0.0,3.384419983065199,P48_S1.0,48,1.0,35ec37df
0.1,0.15,High Vol,1312,-0.16107727633930247,-6.602198393442763,0.4817073170731707,0.0,0.0,3.2400914634146343,P48_S1.0,48,1.0,35ec37df
0.1,0.15,Trending Up,276,-0.05384439781741923,-4.776468266740283,0.427536231884058,0.0,0.0,3.6340579710144927,P48_S1.0,48,1.0,35ec37df
0.1,0.15,Trending Down,308,-0.0195493127573082,-1.401318678526098,0.5227272727272727,0.0,0.0,3.1818181818181817,P48_S1.0,48,1.0,35ec37df
0.1,0.15,Ranging,2814,-0.39075897057619835,-14.80721518403899,0.4207533759772566,0.0,0.0,3.481165600568586,P48_S1.0,48,1.0,35ec37df
0.1,0.2,Overall,3398,-0.47867434122355634,-17.071292468169496,0.41995291347851677,23.131253678634494,1.383166568569747,3.5379635079458507,P48_S1.0,48,1.0,35ec37df
0.1,0.2,Low Vol,887,-0.17246900466111226,-11.634982856336727,0.34723788049605414,0.0,0.0,3.91206313416009,P48_S1.0,48,1.0,35ec37df
0.1,0.2,Medium Vol,1181,-0.20722199394146457,-10.617072777682463,0.42506350550381033,0.0,0.0,3.441151566469094,P48_S1.0,48,1.0,35ec37df
0.1,0.2,High Vol,1312,-0.20273088421992724,-8.515856476041021,0.4641768292682927,0.0,0.0,3.3597560975609757,P48_S1.0,48,1.0,35ec37df
0.1,0.2,Trending Up,276,-0.06108781395386875,-5.413272193837314,0.41304347826086957,0.0,0.0,3.782608695652174,P48_S1.0,48,1.0,35ec37df
0.1,0.2,Trending Down,308,-0.0320105535145454,-2.287046818584445,0.5032467532467533,0.0,0.0,3.2954545454545454,P48_S1.0,48,1.0,35ec37df
0.1,0.2,Ranging,2814,-0.42639424164824324,-16.63189280365416,0.4115138592750533,0.0,0.0,3.5405117270788913,P48_S1.0,48,1.0,35ec37df
0.0,0.0,Overall,3398,-0.4946948374529164,-11.200784998117118,0.4476162448499117,0.0,0.0,6.824896998234255,P48_S1.0,48,1.0,35ec37df
0.0,0.0,Low Vol,887,-0.16731871795915676,-8.330709063659615,0.36302142051860203,0.0,0.0,6.5140924464487036,P48_S1.0,48,1.0,35ec37df
0.0,0.0,Medium Vol,1181,-0.2283367652843974,-7.056058561299666,0.45469940728196445,0.0,0.0,6.645215918712955,P48_S1.0,48,1.0,35ec37df
0.0,0.0,High Vol,1312,-0.20840679148925256,-5.41129141400162,0.49847560975609756,0.0,0.0,7.192835365853658,P48_S1.0,48,1.0,35ec37df
0.0,0.0,Trending Up,276,-0.03957812245647008,-2.3588670442017676,0.4601449275362319,0.0,0.0,7.532608695652174,P48_S1.0,48,1.0,35ec37df
0.0,0.0,Trending Down,308,-0.05485408602213193,-2.4252613575687825,0.5357142857142857,0.0,0.0,7.185064935064935,P48_S1.0,48,1.0,35ec37df
0.0,0.0,Ranging,2814,-0.4433363923979172,-10.910824624244377,0.43674484719260837,0.0,0.0,6.716062544420754,P48_S1.0,48,1.0,35ec37df
0.03,0.05,Overall,3398,-0.09203505297480263,-4.735016865047633,0.5412007062978222,30.753384343731604,44.2613301942319,0.8263684520306063,P43_S1.0,43,1.0,cf7e04d7
0.03,0.05,Low Vol,858,-0.07734579688826981,-8.281926731333506,0.4254079254079254,0.0,0.0,1.155011655011655,P43_S1.0,43,1.0,cf7e04d7
0.03,0.05,Medium Vol,1189,-0.04314031534759033,-3.6856695241891595,0.5315391084945332,0.0,0.0,0.8553406223717409,P43_S1.0,43,1.0,cf7e04d7
0.03,0.05,High Vol,1334,0.031052722613275074,2.36824784173256,0.6266866566716641,0.0,0.0,0.5899550224887556,P43_S1.0,43,1.0,cf7e04d7
0.03,0.05,Trending Up,289,-0.0015947763903590984,-0.26746258003787965,0.5674740484429066,0.0,0.0,0.8200692041522492,P43_S1.0,43,1.0,cf7e04d7
0.03,0.05,Trending Down,312,0.021839623551558773,3.537928622592103,0.6891025641025641,0.0,0.0,0.3685897435897436,P43_S1.0,43,1.0,cf7e04d7
0.03,0.05,Ranging,2797,-0.11002153366133238,-6.327308513381691,0.5219878441186986,0.0,0.0,0.8780836610654272,P43_S1.0,43,1.0,cf7e04d7
0.05,0.075,Overall,3398,-0.23696605044002161,-9.716131108339736,0.4540906415538552,30.01765744555621,22.68981753972925,1.6597998822836963,P43_S1.0,43,1.0,cf7e04d7
0.05,0.075,Low Vol,858,-0.12224998028532241,-10.3606079816499,0.3531468531468531,0.0,0.0,2.0652680652680653,P43_S1.0,43,1.0,cf7e04d7
0.05,0.075,Medium Vol,1189,-0.10637742565595643,-7.114087447132721,0.4449116904962153,0.0,0.0,1.703111858704794,P43_S1.0,43,1.0,cf7e04d7
0.05,0.075,High Vol,1334,-0.02489982696827453,-1.3323740646207742,0.5284857571214393,0.0,0.0,1.341079460269865,P43_S1.0,43,1.0,cf7e04d7
0.05,0.075,Trending Up,289,-0.023655999268779593,-2.8391172421468336,0.44982698961937717,0.0,0.0,1.6297577854671281,P43_S1.0,43,1.0,cf7e04d7
0.05,0.075,Trending Down,312,0.022702554472558534,2.4232292379460305,0.6057692307692307,0.0,0.0,1.1474358974358974,P43_S1.0,43,1.0,cf7e04d7
0.05,0.075,Ranging,2797,-0.2358270534078658,-10.895353891466959,0.4376117268501966,0.0,0.0,1.7200572041473008,P43_S1.0,43,1.0,cf7e04d7
0.05,0.1,Overall,3398,-0.3558874728439603,-14.879018907394586,0.39523248969982344,35.13831665685698,11.300765155974101,1.8934667451442024,P43_S1.0,43,1.0,cf7e04d7
0.05,0.1,Low Vol,858,-0.1506143230310043,-12.838366261319818,0.3123543123543124,0.0,0.0,2.245920745920746,P43_S1.0,43,1.0,cf7e04d7
0.05,0.1,Medium Vol,1189,-0.15897929210948136,-10.521688648198165,0.3894028595458368,0.0,0.0,1.9024390243902438,P43_S1.0,43,1.0,cf7e04d7
0.05,0.1,High Vol,1334,-0.0962465197060387,-4.864096607679197,0.4542728635682159,0.0,0.0,1.6371814092953523,P43_S1.0,43,1.0,cf7e04d7
0.05,0.1,Trending Up,289,-0.03509775580469798,-3.8384078347667487,0.39100346020761245,0.0,0.0,1.8512110726643598,P43_S1.0,43,1.0,cf7e04d7
0.05,0.1,Trending Down,312,0.005118476856727616,0.4821990175605029,0.5192307692307693,0.0,0.0,1.5416666666666667,P43_S1.0,43,1.0,cf7e04d7
0.05,0.1,Ranging,2797,-0.3358576529465178,-15.865127493301072,0.3818376832320343,0.0,0.0,1.9370754379692527,P43_S1.0,43,1.0,cf7e04d7
0.075,0.1,Overall,3398,-0.3426218528171089,-12.55695082200496,0.4355503237198352,25.309005297233668,12.007062978222484,2.4952913478516776,P43_S1.0,43,1.0,cf7e04d7
0.075,0.1,Low Vol,858,-0.14231372406964338,-10.6390415613207,0.3484848484848485,0.0,0.0,3.0256410256410255,P43_S1.0,43,1.0,cf7e04d7
0.075,0.1,Medium Vol,1189,-0.15421664561826087,-8.887839685080728,0.4272497897392767,0.0,0.0,2.4465937762825902,P43_S1.0,43,1.0,cf7e04d7
0.075,0.1,High Vol,1334,-0.09079423427906796,-4.081471465287161,0.5,0.0,0.0,2.179160419790105,P43_S1.0,43,1.0,cf7e04d7
0.075,0.1,Trending Up,289,-0.037510771302583845,-3.63916124513367,0.41522491349480967,0.0,0.0,2.397923875432526,P43_S1.0,43,1.0,cf7e04d7
0.075,0.1,Trending Down,312,0.008545222473065106,0.7348371572888368,0.5705128205128205,0.0,0.0,2.0224358974358974,P43_S1.0,43,1.0,cf7e04d7
0.075,0.1,Ranging,2797,-0.3227889925276278,-13.278762225407025,0.42259563818376833,0.0,0.0,2.5580979621022526,P43_S1.0,43,1.0,cf7e04d7
0.075,0.15,Overall,3398,-0.4431407338881307,-16.954759184991314,0.4011183048852266,28.45791642142437,3.79635079458505,2.7304296645085344,P43_S1.0,43,1.0,cf7e04d7
0.075,0.15,Low Vol,858,-0.15530071726461303,-11.557368957767883,0.3368298368298368,0.0,0.0,3.1864801864801864,P43_S1.0,43,1.0,cf7e04d7
0.075,0.15,Medium Vol,1189,-0.18241318916831517,-10.346036972748996,0.4062237174095879,0.0,0.0,2.6223717409587888,P43_S1.0,43,1.0,cf7e04d7
0.075,0.15,High Vol,1334,-0.19100849527433528,-8.679250401753878,0.43853073463268366,0.0,0.0,2.517991004497751,P43_S1.0,43,1.0,cf7e04d7
0.075,0.15,Trending Up,289,-0.05683795801701175,-5.335984506728286,0.3633217993079585,0.0,0.0,2.7681660899653977,P43_S1.0,43,1.0,cf7e04d7
0.075,0.15,Trending Down,312,-0.01959707854406112,-1.5050516780660865,0.4935897435897436,0.0,0.0,2.5256410256410255,P43_S1.0,43,1.0,cf7e04d7
0.075,0.15,Ranging,2797,-0.3977808799719691,-16.93594272449231,0.3947086163746872,0.0,0.0,2.749374329638899,P43_S1.0,43,1.0,cf7e04d7
0.1,0.15,Overall,3398,-0.4291858603125135,-14.741763969559672,0.429664508534432,21.71865803413773,4.002354326074161,3.316362566215421,P43_S1.0,43,1.0,cf7e04d7
0.1,0.15,Low Vol,858,-0.15544614176264926,-10.557416175883429,0.34965034965034963,0.0,0.0,3.7703962703962706,P43_S1.0,43,1.0,cf7e04d7
0.1,0.15,Medium Vol,1189,-0.1856130762440127,-9.45890307060891,0.4280908326324643,0.0,0.0,3.227922624053827,P43_S1.0,43,1.0,cf7e04d7
