strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,profit_factor,total_execution_cost,pf_bin
SPY_1m_strategy_28,4067c07319e8,bollinger_bands,SPY_1m,1m,,12,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_28.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_29,f9a95a9ec1bb,bollinger_bands,SPY_1m,1m,,12,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_29.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_30,3f61275abdc4,bollinger_bands,SPY_1m,1m,,12,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_30.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_31,18377913515d,bollinger_bands,SPY_1m,1m,,12,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_31.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_32,7755af75d5bf,bollinger_bands,SPY_1m,1m,,13,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_32.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_33,6312bf78024e,bollinger_bands,SPY_1m,1m,,13,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_33.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_34,47f300ade5d5,bollinger_bands,SPY_1m,1m,,13,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_34.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_35,643f7aa63f16,bollinger_bands,SPY_1m,1m,,13,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_35.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_36,b515bfeac94d,bollinger_bands,SPY_1m,1m,,14,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_36.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_37,7ac75d9a0237,bollinger_bands,SPY_1m,1m,,14,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_37.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_38,f1ad6d1f3a6b,bollinger_bands,SPY_1m,1m,,14,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_38.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_39,0feab640ac62,bollinger_bands,SPY_1m,1m,,14,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_39.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_40,db8d4e8f6787,bollinger_bands,SPY_1m,1m,,15,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_40.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_41,e837394fa671,bollinger_bands,SPY_1m,1m,,15,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_41.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_42,de310b1d719c,bollinger_bands,SPY_1m,1m,,15,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_42.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_43,7d8028d44776,bollinger_bands,SPY_1m,1m,,15,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_43.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_44,0c2036dd8361,bollinger_bands,SPY_1m,1m,,16,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_44.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_45,1729defe80ec,bollinger_bands,SPY_1m,1m,,16,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_45.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_46,bb047773debb,bollinger_bands,SPY_1m,1m,,16,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_46.parquet,0,0,0,0,0,0,0,0,
