strategy_hash,strategy_type,sharpe_ratio,total_return,win_rate,avg_return_per_trade,num_trades,total_execution_cost
975873db5ee0,bollinger_bands,0,0,0,0,0,0
f741f95b6230,bollinger_bands,0,0,0,0,0,0
88f1d72f064b,bollinger_bands,0,0,0,0,0,0
0230a823d3e5,bollinger_bands,0,0,0,0,0,0
79c61e645ec0,bollinger_bands,0,0,0,0,0,0
9782389a00fd,bollinger_bands,0,0,0,0,0,0
cf048b489742,bollinger_bands,0,0,0,0,0,0
50315506f3f2,bollinger_bands,0,0,0,0,0,0
d646f0a45e58,bollinger_bands,0,0,0,0,0,0
4e519de3bff3,bollinger_bands,0,0,0,0,0,0
59949bee051c,bollinger_bands,0,0,0,0,0,0
210c43d89150,bollinger_bands,0,0,0,0,0,0
e4da0e19b660,bollinger_bands,0,0,0,0,0,0
28a7fe05d5a6,bollinger_bands,0,0,0,0,0,0
28243fea1f01,bollinger_bands,0,0,0,0,0,0
6808a8c02a95,bollinger_bands,0,0,0,0,0,0
ffc476c190ed,bollinger_bands,0,0,0,0,0,0
8556e02be4fc,bollinger_bands,0,0,0,0,0,0
0a949be474a9,bollinger_bands,0,0,0,0,0,0
8c59e150762c,bollinger_bands,0,0,0,0,0,0
572097140686,bollinger_bands,0,0,0,0,0,0
3bee7e1ff576,bollinger_bands,0,0,0,0,0,0
5edc43651004,bollinger_bands,0,0,0,0,0,0
846869fc71e7,bollinger_bands,0,0,0,0,0,0
84ad2d3299c8,bollinger_bands,0,0,0,0,0,0
7ffc4afaadf1,bollinger_bands,0,0,0,0,0,0
b9277649d929,bollinger_bands,0,0,0,0,0,0
25d4fba7043d,bollinger_bands,0,0,0,0,0,0
4067c07319e8,bollinger_bands,0,0,0,0,0,0
f9a95a9ec1bb,bollinger_bands,0,0,0,0,0,0
3f61275abdc4,bollinger_bands,0,0,0,0,0,0
18377913515d,bollinger_bands,0,0,0,0,0,0
7755af75d5bf,bollinger_bands,0,0,0,0,0,0
6312bf78024e,bollinger_bands,0,0,0,0,0,0
47f300ade5d5,bollinger_bands,0,0,0,0,0,0
643f7aa63f16,bollinger_bands,0,0,0,0,0,0
b515bfeac94d,bollinger_bands,0,0,0,0,0,0
7ac75d9a0237,bollinger_bands,0,0,0,0,0,0
f1ad6d1f3a6b,bollinger_bands,0,0,0,0,0,0
0feab640ac62,bollinger_bands,0,0,0,0,0,0
db8d4e8f6787,bollinger_bands,0,0,0,0,0,0
e837394fa671,bollinger_bands,0,0,0,0,0,0
de310b1d719c,bollinger_bands,0,0,0,0,0,0
7d8028d44776,bollinger_bands,0,0,0,0,0,0
0c2036dd8361,bollinger_bands,0,0,0,0,0,0
1729defe80ec,bollinger_bands,0,0,0,0,0,0
bb047773debb,bollinger_bands,0,0,0,0,0,0
67aab798c4c3,bollinger_bands,0,0,0,0,0,0
3bc725799b6e,bollinger_bands,0,0,0,0,0,0
cc981e9ed262,bollinger_bands,0,0,0,0,0,0
8e87066c3723,bollinger_bands,0,0,0,0,0,0
aad915846c8b,bollinger_bands,0,0,0,0,0,0
8bfd000951c8,bollinger_bands,0,0,0,0,0,0
7b6de378abb1,bollinger_bands,0,0,0,0,0,0
5c7108270d04,bollinger_bands,0,0,0,0,0,0
1c281ff1e665,bollinger_bands,0,0,0,0,0,0
6060c4146778,bollinger_bands,0,0,0,0,0,0
77ecf32f66e5,bollinger_bands,0,0,0,0,0,0
8baa1f123457,bollinger_bands,0,0,0,0,0,0
6f8fa2fc4f01,bollinger_bands,0,0,0,0,0,0
31784fac0618,bollinger_bands,0,0,0,0,0,0
a08c8bbd5d2c,bollinger_bands,0,0,0,0,0,0
49cbed903ac4,bollinger_bands,0,0,0,0,0,0
d6203f75d335,bollinger_bands,0,0,0,0,0,0
af0897a3cbf3,bollinger_bands,0,0,0,0,0,0
e1a5b15c1c4d,bollinger_bands,0,0,0,0,0,0
6b16474082ff,bollinger_bands,0,0,0,0,0,0
4daf7ecf9645,bollinger_bands,0,0,0,0,0,0
89ba5ecaeb7e,bollinger_bands,0,0,0,0,0,0
fdd85de572ee,bollinger_bands,0,0,0,0,0,0
9b3b4bc11856,bollinger_bands,0,0,0,0,0,0
001ba0423a6e,bollinger_bands,0,0,0,0,0,0
e8fc96c15ce2,bollinger_bands,0,0,0,0,0,0
ede5e6f58198,bollinger_bands,0,0,0,0,0,0
046228e4e54b,bollinger_bands,0,0,0,0,0,0
93cba16200b6,bollinger_bands,0,0,0,0,0,0
c249cef528fb,bollinger_bands,0,0,0,0,0,0
b3bc478985c8,bollinger_bands,0,0,0,0,0,0
cc91a898fba5,bollinger_bands,0,0,0,0,0,0
a0135f1061c2,bollinger_bands,0,0,0,0,0,0
b018a6fd2f3b,bollinger_bands,0,0,0,0,0,0
9998eed964f5,bollinger_bands,0,0,0,0,0,0
a2e4b74d4249,bollinger_bands,0,0,0,0,0,0
834bed6f6b13,bollinger_bands,0,0,0,0,0,0
aee7e28d2d29,bollinger_bands,0,0,0,0,0,0
8722b4247191,bollinger_bands,0,0,0,0,0,0
f69c71178b53,bollinger_bands,0,0,0,0,0,0
7f947d4b463c,bollinger_bands,0,0,0,0,0,0
916f54433143,bollinger_bands,0,0,0,0,0,0
bff1964a1e5d,bollinger_bands,0,0,0,0,0,0
8c513a0e511c,bollinger_bands,0,0,0,0,0,0
a844edc0133c,bollinger_bands,0,0,0,0,0,0
99ba9aeafcd7,bollinger_bands,0,0,0,0,0,0
00c46ab7a34d,bollinger_bands,0,0,0,0,0,0
cb819834437d,bollinger_bands,0,0,0,0,0,0
95e25a4feb8e,bollinger_bands,0,0,0,0,0,0
569295355819,bollinger_bands,0,0,0,0,0,0
e39754500c70,bollinger_bands,0,0,0,0,0,0
ba3731f3d147,bollinger_bands,0,0,0,0,0,0
3e6c81c24d71,bollinger_bands,0,0,0,0,0,0
09ec9f49753c,bollinger_bands,0,0,0,0,0,0
13aea1255ea7,bollinger_bands,0,0,0,0,0,0
1941bec06c3a,bollinger_bands,0,0,0,0,0,0
1d7a3e053fd6,bollinger_bands,0,0,0,0,0,0
203fc1421563,bollinger_bands,0,0,0,0,0,0
9fd39ed6212b,bollinger_bands,0,0,0,0,0,0
11129fcb7fa5,bollinger_bands,0,0,0,0,0,0
5b7b08275e14,bollinger_bands,0,0,0,0,0,0
fc9943afab8c,bollinger_bands,0,0,0,0,0,0
fff5e7d20b65,bollinger_bands,0,0,0,0,0,0
d55aece22ad2,bollinger_bands,0,0,0,0,0,0
d39dbfbbb6ae,bollinger_bands,0,0,0,0,0,0
d758885db870,bollinger_bands,0,0,0,0,0,0
e8078f937503,bollinger_bands,0,0,0,0,0,0
702487ba1156,bollinger_bands,0,0,0,0,0,0
fa1bf8b05174,bollinger_bands,0,0,0,0,0,0
67e6717e7708,bollinger_bands,0,0,0,0,0,0
22cfbee2a806,bollinger_bands,0,0,0,0,0,0
05f08270acc6,bollinger_bands,0,0,0,0,0,0
ea897ab3a2f1,bollinger_bands,0,0,0,0,0,0
a09b0b058df0,bollinger_bands,0,0,0,0,0,0
d7fe20354dcb,bollinger_bands,0,0,0,0,0,0
6b1245c82ce5,bollinger_bands,0,0,0,0,0,0
61c557a6d032,bollinger_bands,0,0,0,0,0,0
