config,initial_stop,trail_stop,target,num_trades,total_return,sharpe_ratio,win_rate,avg_return_pct,stop_exits,trailing_stop_exits,target_exits,signal_exits,avg_duration_min,score
0.10/0.03/0.08,0.1,0.03,0.08,419,0.6758931824128125,47.04600203611947,0.9498806682577565,0.12336539703438211,0,419,0,0,0.011933174224343675,99.6926670293876
0.10/0.03/0.15,0.1,0.03,0.15,419,0.6758931824128125,47.04600203611947,0.9498806682577565,0.12336539703438211,0,419,0,0,0.011933174224343675,99.6926670293876
0.12/0.03/0.10,0.12,0.03,0.1,419,0.6758931824128125,47.04600203611947,0.9498806682577565,0.12336539703438211,0,419,0,0,0.011933174224343675,99.6926670293876
0.10/0.04/NoTarget,0.1,0.04,0.0,419,0.6071966471986436,43.23313437855923,0.9164677804295943,0.1133643650787805,0,419,0,0,0.02386634844868735,95.97009148081534
0.10/0.04/0.15,0.1,0.04,0.15,419,0.6071966471986436,43.23313437855923,0.9164677804295943,0.1133643650787805,0,419,0,0,0.02386634844868735,95.97009148081534
0.15/0.04/0.12,0.15,0.04,0.12,419,0.6071966471986436,43.23313437855923,0.9164677804295943,0.1133643650787805,0,419,0,0,0.02386634844868735,95.97009148081534
0.09/0.04/0.13,0.09,0.04,0.13,419,0.6071966471986436,43.23313437855923,0.9164677804295943,0.1133643650787805,0,419,0,0,0.02386634844868735,95.97009148081534
0.10/0.04/0.12,0.1,0.04,0.12,419,0.6071966471986436,43.23313437855923,0.9164677804295943,0.1133643650787805,0,419,0,0,0.02386634844868735,95.97009148081534
0.12/0.04/0.13,0.12,0.04,0.13,419,0.6071966471986436,43.23313437855923,0.9164677804295943,0.1133643650787805,0,419,0,0,0.02386634844868735,95.97009148081534
0.11/0.04/0.14,0.11,0.04,0.14,419,0.6071966471986436,43.23313437855923,0.9164677804295943,0.1133643650787805,0,419,0,0,0.02386634844868735,95.97009148081534
0.11/0.045/NoTarget,0.11,0.045,0.0,419,0.5739092165678341,41.32662887531449,0.9069212410501193,0.10836384910097399,0,419,0,0,0.03579952267303103,94.82478699254338
0.10/0.045/NoTarget,0.1,0.045,0.0,419,0.5739092165678341,41.32662887531449,0.9069212410501193,0.10836384910097399,0,419,0,0,0.03579952267303103,94.82478699254338
0.10/0.05/0.18,0.1,0.05,0.18,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
0.11/0.05/0.14,0.11,0.05,0.14,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
BEST: 0.10/0.05/0.15,0.1,0.05,0.15,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
0.10/0.05/0.16,0.1,0.05,0.16,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
0.10/0.05/0.14,0.1,0.05,0.14,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
0.10/0.05/0.13,0.1,0.05,0.13,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
0.10/0.05/0.12,0.1,0.05,0.12,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
0.12/0.05/0.15,0.12,0.05,0.15,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
0.11/0.05/0.15,0.11,0.05,0.15,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
0.09/0.05/0.15,0.09,0.05,0.15,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
0.10/0.05/0.17,0.1,0.05,0.17,419,0.5415193136312582,39.44662871935469,0.8902147971360382,0.10339579580855324,0,418,0,1,0.059665871121718374,92.96614258553929
0.08/0.05/0.15,0.08,0.05,0.15,419,0.5393416292801227,39.16339367086214,0.8878281622911695,0.10305849966080853,1,417,0,1,0.0477326968973747,92.69915559620316
0.10/0.06/0.15,0.1,0.06,0.15,419,0.47918190774650604,35.73129159077245,0.8568019093078759,0.0935340896131152,0,417,0,2,0.10739856801909307,89.25332008986483
0.10/0.07/0.15,0.1,0.07,0.15,419,0.41970740185381716,32.04788847049267,0.8233890214797136,0.08373084187409761,0,416,0,3,0.15513126491646778,85.54369099502063
