strategy_hash,strategy_type,original_sharpe,original_compound_sharpe,original_traditional_sharpe,original_return,original_win_rate,original_avg_return,optimal_stop,optimal_target,optimal_sharpe,optimal_compound_sharpe,optimal_traditional_sharpe,optimal_return,optimal_win_rate,optimal_avg_return,optimal_geometric_mean,sharpe_improvement,return_improvement,win_rate_change,avg_return_change,num_trades,period,std_dev
08ff2a4b9ccc,bollinger_bands,-3.6442730448491147,-3.6442730448491147,-3.6135565485634458,-0.23900463557861873,0.5867041857193106,-9.52560284319046e-05,0.5,1.0,-3.542515615231673,-3.542515615231673,-3.513857964194375,-0.21954678102125158,0.5867041857193106,-8.648065332353997e-05,-8.718595570333942e-05,0.10175742961744172,0.01945785455736715,0.0,8.775375108364627e-06,2843,10,1.0
c8ef2635d823,bollinger_bands,-1.448316595420481,-1.448316595420481,-1.42660239952219,-0.07396443740828851,0.5464316423043852,-3.2540546254545114e-05,0.5,1.0,-1.3127156418053356,-1.3127156418053356,-1.291609836555384,-0.06545060971743633,0.5464316423043852,-2.8633491602142676e-05,-2.9101382818419452e-05,0.13560095361514546,0.008513827690852183,0.0,3.907054652402438e-06,2326,10,1.5
e6fbf7282411,bollinger_bands,-1.7772491769741257,-1.7772491769741257,-1.7630954983570788,-0.05964115025004191,0.47876447876447875,-5.888241949794529e-05,0.2,0.4,-1.3641025448018764,-1.3641025448018764,-1.351830710885278,-0.0400934813406979,0.4777992277992278,-3.914136400360205e-05,-3.949668683689289e-05,0.41314663217224923,0.019547668909344007,-0.0009652509652509633,1.9741055494343238e-05,1036,10,2.0
edd81c3d4719,bollinger_bands,-0.6495936113352876,-0.6495936113352876,-0.6418063573307546,-0.012262972035894881,0.4940239043824701,-4.856799655849256e-05,0.2,0.4,-0.43714670125624966,-0.43714670125624966,-0.43048698661469065,-0.007047788484533246,0.4940239043824701,-2.7748580061847197e-05,-2.8177855813882324e-05,0.21244691007903793,0.005215183551361635,0.0,2.081941649664536e-05,251,10,2.5
4ff1906782e3,bollinger_bands,-3.897679421662958,-3.897679421662958,-3.8664153489375686,-0.2571022101367929,0.5950292397660819,-0.00010774741261827437,0.25,0.5,-3.699151103910844,-3.699151103910844,-3.67331634434738,-0.2082526537526962,0.5902777777777778,-8.47486121634088e-05,-8.534465666742985e-05,0.198528317752114,0.048849556384096715,-0.004751461988304118,2.299880045486557e-05,2736,11,1.0
dcf4bec3604d,bollinger_bands,-1.4985639718050796,-1.4985639718050796,-1.476725799677883,-0.07684772309480259,0.548949485918641,-3.5223253478020953e-05,0.5,1.0,-1.419906298428375,-1.419906298428375,-1.3985051963879702,-0.07154585343352104,0.548949485918641,-3.268403988214431e-05,-3.318419853326482e-05,0.0786576733767046,0.005301869661281544,0.0,2.5392135958766465e-06,2237,11,1.5
1474ef641929,bollinger_bands,-0.9727788611783981,-0.9727788611783981,-0.9582041916412348,-0.03406445216002629,0.5109628217349858,-3.254369622542508e-05,0.2,0.4,-0.5745337642262067,-0.5745337642262067,-0.5618529197982797,-0.017651367248928906,0.5090562440419447,-1.66022787030851e-05,-1.6976986933592286e-05,0.39824509695219135,0.016413084911097386,-0.0019065776930410339,1.594141752233998e-05,1049,11,2.0
61cb9743bb0b,bollinger_bands,-1.158047698768178,-1.158047698768178,-1.149449059061371,-0.023970145779756535,0.4950166112956811,-8.000327306439874e-05,0.2,0.4,-0.5381520146010321,-0.5381520146010321,-0.5308518571069701,-0.009499217652967684,0.4983388704318937,-3.127906539444276e-05,-3.170920819339784e-05,0.6198956841671459,0.014470928126788851,0.003322259136212591,4.872420766995598e-05,301,11,2.5
09fee7d64721,bollinger_bands,0.5049326401453779,0.5049326401453779,0.5095358758685852,0.005685262242799638,0.5555555555555556,0.00012713790264152068,0.2,0.4,0.6202762193166625,0.6202762193166625,0.6237131691288874,0.005094127825815864,0.5555555555555556,0.00011354755625553919,0.00011292185638023255,0.11534357917128468,-0.000591134416983774,0.0,-1.3590346385981486e-05,45,11,3.0
54c94b8df132,bollinger_bands,-4.115636284215622,-4.115636284215622,-4.083717755505111,-0.27388463172775823,0.5912408759124088,-0.00012199183566144719,0.2,0.4,-3.9551032621088833,-3.9551032621088833,-3.931067624374845,-0.20730743170042987,0.5820207452938917,-8.870444674533038e-05,-8.924681033484205e-05,0.1605330221067387,0.06657720002732836,-0.00922013061851712,3.328738891611681e-05,2603,12,1.0
bbc3f7a27dcf,bollinger_bands,-2.2809434229370695,-2.2809434229370695,-2.259018301411401,-0.11501448344924814,0.5575757575757576,-5.641309250423458e-05,0.5,1.0,-2.2465380651975324,-2.2465380651975324,-2.224926102351787,-0.11182815265232326,0.5575757575757576,-5.475335016374434e-05,-5.528520035336104e-05,0.034405357739537124,0.0031863307969248744,0.0,1.6597423404902451e-06,2145,12,1.5
39acb12f6b5f,bollinger_bands,-0.8668587846564428,-0.8668587846564428,-0.8523183415306538,-0.030342759613166792,0.5140096618357488,-2.9270857087802836e-05,0.2,0.4,-0.6178838276571663,-0.6178838276571663,-0.6051546566355346,-0.01904242762007502,0.5111111111111111,-1.8193057009559024e-05,-1.8575740232007476e-05,0.24897495699927652,0.011300331993091772,-0.0028985507246377384,1.1077800078243812e-05,1035,12,2.0
