timestamp,open,high,low,close,volume
2024-03-26 13:30:00+00:00,521.23,521.44,520.83,521.155,3137299
2024-03-26 13:45:00+00:00,521.165,521.28,520.89,521.25,1208344
2024-03-26 14:00:00+00:00,521.25,521.495,520.93,521.33,1488224
2024-03-26 14:15:00+00:00,521.34,521.58,520.965,521.07,1391223
2024-03-26 14:30:00+00:00,521.07,521.2,520.65,521.1,1694295
2024-03-26 14:45:00+00:00,521.12,521.37,520.85,521.3,1016738
2024-03-26 15:00:00+00:00,521.29,521.39,521.15,521.215,780750
2024-03-26 15:15:00+00:00,521.21,521.39,521.11,521.28,767860
2024-03-26 15:30:00+00:00,521.275,521.34,521.0699,521.19,665160
2024-03-26 15:45:00+00:00,521.185,521.4599,521.085,521.3969,773235
2024-03-26 16:00:00+00:00,521.4,521.46,521.11,521.18,1329998
2024-03-26 16:15:00+00:00,521.18,521.2525,520.915,521.14,1079293
2024-03-26 16:30:00+00:00,521.135,521.14,520.8837,520.92,667615
2024-03-26 16:45:00+00:00,520.92,521.07,520.75,520.88,1121364
2024-03-26 17:00:00+00:00,520.87,521.01,520.72,521.0,1115255
2024-03-26 17:15:00+00:00,521.0,521.01,520.745,520.86,631614
2024-03-26 17:30:00+00:00,520.8624,521.0099,520.645,520.6887,1613819
2024-03-26 17:45:00+00:00,520.68,520.8188,520.49,520.655,1123621
2024-03-26 18:00:00+00:00,520.66,520.96,520.635,520.85,873050
2024-03-26 18:15:00+00:00,520.85,521.01,520.8,520.965,847957
2024-03-26 18:30:00+00:00,520.96,521.05,520.675,520.696,1313313
2024-03-26 18:45:00+00:00,520.69,520.945,520.65,520.85,1827853
2024-03-26 19:00:00+00:00,520.86,520.91,520.675,520.7,825165
2024-03-26 19:15:00+00:00,520.705,520.77,519.955,520.21,2241207
2024-03-26 19:30:00+00:00,520.21,520.245,519.17,519.19,5052624
2024-03-26 19:45:00+00:00,519.19,519.44,518.4,518.66,15701805
2024-03-26 20:00:00+00:00,518.66,519.18,518.59,519.13,3070308
2024-03-27 13:30:00+00:00,521.71,521.78,521.14,521.44,3203089
2024-03-27 13:45:00+00:00,521.44,521.715,520.74,520.89,2359483
2024-03-27 14:00:00+00:00,520.9,520.95,519.73,520.15,3829197
2024-03-27 14:15:00+00:00,520.14,520.48,519.77,519.9398,2234804
2024-03-27 14:30:00+00:00,519.935,520.425,519.86,519.935,2220195
2024-03-27 14:45:00+00:00,519.93,520.09,519.63,519.845,2085786
2024-03-27 15:00:00+00:00,519.85,520.08,519.69,520.0,1267753
2024-03-27 15:15:00+00:00,519.999,520.16,519.69,519.69,1081197
